ISO2,ISO_3,country_agg,age,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
AO,AGO,Angola,1,2020-05-04,2020-04-25,100,27,10,0,0,0,0,0,0,0,0,0.0552725590006645,0.00938049282366182,1,0,,,0.0102605831852007,,,0.0102605831852007
AO,AGO,Angola,1,2020-05-05,2020-04-30,107,31,6,0,0,0,0,0,0,0,0,0.0110619609320737,0.00414937676135048,1,0,,,0.0103920132502337,,,0.0103920132502337
AO,AGO,Angola,1,2020-05-06,2020-05-04,101,43,3,0.0099009900990099,0.0193092777830645,0.00886001452823509,6.21432159941918e-05,0,0,0,0,0.00955425662725772,0.00397327841364381,1,0,,,0.0105159957633581,,,0.0105159957633581
AO,AGO,Angola,1,2020-05-07,2020-05-05,110,36,3,0.00909090909090909,0.0177366792474103,0.0080952373751542,5.68010505241836e-05,0,0,0,0,0.00592205989292834,0.00298803358788726,0,0,,,0.0106320852170593,,,0.0106320852170593
AO,AGO,Angola,1,2020-05-08,2020-05-06,101,22,3,0.0099009900990099,0.0193092777830645,0.00885942683234915,6.21391123793317e-05,0,0,0,0,0.00482538213497865,0.0028446779458395,0,0,,,0.0107397316462486,,,0.0107397316462486
AO,AGO,Angola,1,2020-05-09,2020-05-06,135,34,4,0.00740740740740741,0.0144643804875982,0.00650233765356785,4.56609281116026e-05,0,0,0,0,0.0039183554178774,0.0022126298298113,0,0,,,0.0108384687694595,,,0.0108384687694595
AO,AGO,Angola,1,2020-05-10,2020-05-07,124,32,4,0.00806451612903226,0.0157422976270391,0.00831843956676931,5.34270807052781e-05,0,0,0,0,0.00253332562086379,0.00187430077069765,0,0,,,0.0109283832693533,,,0.0109283832693533
AO,AGO,Angola,1,2020-05-11,2020-05-08,113,25,4,0.00884955752212389,0.0172678965081244,0.00898352643391961,5.7679401693524e-05,0,0,0,0,0.00442326695706376,0.00260814822135568,0,0,,,0.0110095953963142,,,0.0110095953963142
AO,AGO,Angola,1,2020-05-12,2020-05-09,120,29,4,0.00833333333333333,0.0162648365258355,0.00862163093673532,5.5365931042865e-05,0,0,0,0,0.00742366482304407,0.0032414058145778,0,0,,,0.0110824792688504,,,0.0110824792688504
AO,AGO,Angola,1,2020-05-13,2020-05-10,107,21,4,0.00934579439252336,0.0182316240644272,0.0084313790681794,5.41493767698196e-05,0,0,0,0,0.00835162292592458,0.00364487655104614,0,0,,,0.0111480788086672,,,0.0111480788086672
AO,AGO,Angola,1,2020-05-14,2020-05-10,126,19,5,0.0238095238095238,0.0266198409578783,0.0219759972832882,7.82627738041148e-05,0,0,0,0,0.00917999528117889,0.00351237808049417,0,0,,,0.0112072341263284,,,0.0112072341263284
