ISO2,ISO_3,country_agg,age,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,p_cli_smooth,p_cases_active
MC,MCO,Monaco,2,2020-11-18,2020-05-03,100,1,79,0,0,0,0,0,0,0,0,0.0106327580509763,0.0057491165073419,9,1,0.014448724098464,0.014448724098464
MC,MCO,Monaco,2,2020-11-23,2020-05-07,100,1,79,0.01,0.0195013954179879,0.0339047620739346,0.000196802512920375,0.01,0.0195013954179879,0.0339047620739346,0.000196802512920375,0.0113338190213703,0.00590316858338213,9,1,0.0158940579004886,0.0158940579004886
MC,MCO,Monaco,2,2020-11-25,2020-05-13,100,2,78,0.02,0.0274394957835608,0.0474528721808039,0.000230029565778057,0.02,0.0274394957835608,0.0474528721808039,0.000230029565778057,0.0113338190213703,0.00590316858338213,9,1,0.0164266499200891,0.0164266499200891
MC,MCO,Monaco,2,2020-11-27,2020-05-14,100,1,78,0.02,0.0274394957835608,0.0457283178535343,0.000221870296452101,0.02,0.0274394957835608,0.0457283178535343,0.000221870296452101,0.0145720530274761,0.00668259311381573,10,1,0.0169264039358968,0.0169264039358968
MC,MCO,Monaco,2,2020-11-29,2020-05-15,100,1,78,0.02,0.0274394957835608,0.0456179849721448,0.000221347764764202,0.02,0.0274394957835608,0.0456179849721448,0.000221347764764202,0.0137624945259497,0.00649698025173847,10,1,0.0173889549476614,0.0173889549476614
MC,MCO,Monaco,2,2020-11-30,2020-05-17,100,1,78,0.02,0.0274394957835608,0.0458582234996489,0.000222485443606299,0.02,0.0274394957835608,0.0458582234996489,0.000222485443606299,0.0137624945259497,0.00649698025173847,10,1,0.0176050355911134,0.0176050355911134
MC,MCO,Monaco,2,2020-12-07,2020-05-18,100,1,78,0.02,0.0274394957835608,0.0457114472272239,0.000221790401962073,0.02,0.0274394957835608,0.0457114472272239,0.000221790401962073,0.0137624945259497,0.00649698025173847,10,1,0.0188038864668898,0.0188038864668898
MC,MCO,Monaco,2,2020-12-08,2020-05-19,100,2,78,0.02,0.0274394957835608,0.0456444009339593,0.000221472875303611,0.02,0.0274394957835608,0.0456444009339593,0.000221472875303611,0.0137624945259497,0.00649698025173847,11,1,0.0189292306733452,0.0189292306733452
MC,MCO,Monaco,2,2020-12-13,2020-05-20,100,1,78,0.02,0.0274394957835608,0.0454843613869313,0.000220714845467511,0.02,0.0274394957835608,0.0454843613869313,0.000220714845467511,0.0137624945259497,0.00649698025173847,11,1,0.0193991365191883,0.0193991365191883
MC,MCO,Monaco,2,2020-12-14,2020-05-21,100,1,78,0.02,0.0274394957835608,0.0454607567703393,0.000220603030678735,0.02,0.0274394957835608,0.0454607567703393,0.000220603030678735,0.0137624945259497,0.00649698025173847,11,1,0.0194653421566255,0.0194653421566255
MC,MCO,Monaco,2,2020-12-16,2020-05-22,102,3,78,0.0196078431372549,0.0269068483623884,0.0444543062954276,0.000215832820896205,0.0196078431372549,0.0269068483623884,0.0444543062954276,0.000215832820896205,0.0158673466299184,0.00689865177235013,12,1,0.0195748326654869,0.0195748326654869
MC,MCO,Monaco,3,2020-12-16,2020-04-27,100,1,72,0.06,0.046546565661405,0.063947814605703,0.000291782187898263,0.04,0.0384072934108425,0.0213133309539299,0.000172243718537786,0.0671933556266954,0.013961471384192,8,3,0.0599296663650888,0.0599296663650888
MC,MCO,Monaco,3,2020-12-17,2020-04-29,100,1,72,0.06,0.046546565661405,0.0640072910972652,0.00029204428960848,0.04,0.0384072934108425,0.0213331540261718,0.000172402172718534,0.0671933556266954,0.013961471384192,9,3,0.0599256474023114,0.0599256474023114
MC,MCO,Monaco,3,2020-12-19,2020-05-02,100,1,72,0.06,0.046546565661405,0.0627536101197097,0.000286515843234675,0.04,0.0384072934108425,0.0209153114814337,0.000169061490629103,0.0671933556266954,0.013961471384192,9,3,0.0599171669335587,0.0599171669335587
MC,MCO,Monaco,3,2020-12-20,2020-05-07,100,1,72,0.06,0.046546565661405,0.0632265694463971,0.000288602400561058,0.04,0.0384072934108425,0.021072945307071,0.000170321954985699,0.0671933556266954,0.013961471384192,9,3,0.0599127112527327,0.0599127112527327
MC,MCO,Monaco,3,2020-12-26,2020-05-08,100,1,72,0.06,0.046546565661405,0.0645877975073045,0.000294601551039886,0.04,0.0384072934108425,0.0215266324947377,0.000173948556427466,0.0671933556266954,0.013961471384192,9,3,0.0598832737998679,0.0598832737998679
MC,MCO,Monaco,3,2020-12-27,2020-05-08,101,1,73,0.0594059405940594,0.0461002688546413,0.0640133815011747,0.000292071127882919,0.0396039603960396,0.0380348662281565,0.0213351839124935,0.000172418398272264,0.0665146348627894,0.0138254734637471,9,3,0.0598779818994118,0.0598779818994118
