ISO2,ISO_3,country,age,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,pos_RF_symp,pos_XGB,pos_XGB_symp,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_rf_symp,p_rf_symp_low,p_rf_symp_high,p_xgb,p_xgb_low,p_xgb_high,p_xgb_symp,p_xgb_symp_low,p_xgb_symp_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
JP,JPN,Japan,1,2020-04-26,2020-04-23,34,4,109,14664330.3685006,0,0,0,0,1,1,0,0,0,0,11,1260.73557420556,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,JPN,Japan,1,2020-04-27,2020-04-25,35,3,100,12375430.6770958,0,0,0,0,0,0,0,0,0,0,3,1155.6742763551,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,JPN,Japan,1,2020-04-28,2020-04-25,26,4,126,15453551.5686239,0,0,0,0,0,0,1,59852.7319268154,0,0,8,1459.18469236755,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,JPN,Japan,1,2020-04-29,2020-04-27,45,3,106,12156429.8239173,0,0,0,0,1,0,1,59852.7319268154,0,0,19,1225.71514158874,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,JPN,Japan,1,2020-04-30,2020-04-28,31,3,102,13999140.735121,0,0,0,0,1,0,1,59852.7319268154,0,0,28,1179.02123143298,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,JPN,Japan,1,2020-05-01,2020-04-29,32,3,108,16675126.7976836,0,0,0,0,1,0,0,0,0,0,28,1249.06209666662,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,JPN,Japan,1,2020-05-02,2020-04-30,50,3,113,17511242.3271803,0,0,0,0,0,0,1,161604.852890196,0,0,18,1307.42948436132,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,JPN,Japan,1,2020-05-03,2020-05-03,151,1,151,6657313.94081725,0,0,0,0,1,1,0,0,0,0,13,1739.34815330212,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,JPN,Japan,1,2020-05-04,2020-05-04,186,1,186,6690277.91289603,0,0,0,0,0,0,0,0,0,0,23,2171.26682224291,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,JPN,Japan,1,2020-05-05,2020-05-05,176,1,176,6557868.00161461,0,0,0,0,1,1,1,27810.7389499746,1,27810.7389499746,38,2031.18509177563,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
