ISO2,ISO_3,country_agg,age,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
IT,ITA,Italy,1,2020-04-23,2020-04-23,248,248,1,0.00403225806451613,0.00788713085802311,0.00539643121978781,7.40621176918049e-05,0,0,0,0,0.00448085499567209,0.000839306410619337,0,0,,,0.00258434077675675,0.00406139200399926,0.00324965684837832,4.32070297782316e-05,0.00170544004676705,0.00298263221247864,0.0021630804969148,3.14472301806477e-05,0.00441065956171166,0.000702327125886472,,,0.00258434077675675
IT,ITA,Italy,1,2020-04-24,2020-04-24,242,242,1,0.00413223140495868,0.00808227388483068,0.00617123401222514,8.15236987017292e-05,0.00413223140495868,0.00808227388483068,0.00617123401222514,8.15236987017292e-05,0.00657262570684978,0.0010279991473182,1,0,,,0.00258838787675376,0.00402829132566723,0.00323644788472819,4.3020463728554e-05,0.00169759552194398,0.00295342923593901,0.00214467059150837,3.12520376677815e-05,0.00434768230040811,0.000692491236986516,,,0.00258838787675376
IT,ITA,Italy,1,2020-04-25,2020-04-25,293,293,1,0,0,0,0,0,0,0,0,0.00716334246229067,0.000974695805168957,0,0,,,0.00259152275380412,0.00399396937326802,0.00322299137072984,4.28321259450773e-05,0.00168744282549958,0.00292028384997226,0.00212469352141726,3.10285427140678e-05,0.00428162987015431,0.0006822717173021,,,0.00259152275380412
IT,ITA,Italy,1,2020-04-26,2020-04-26,320,320,1,0,0,0,0,0,0,0,0,0.00353457293672078,0.000659355774343914,2,0,,,0.00259323328571457,0.00395817134686036,0.00320888412450091,4.26393973489983e-05,0.00167492919398487,0.00288324651814083,0.00210315951593253,3.07772297934152e-05,0.00421248307421448,0.00067167725732204,,,0.00259323328571457
IT,ITA,Italy,1,2020-04-27,2020-04-27,325,325,1,0.00307692307692308,0.00602137333007308,0.00776280971941611,8.77096950203472e-05,0.00307692307692308,0.00602137333007308,0.00776280971941611,8.77096950203472e-05,0.00512408620390133,0.000784612412795582,1,0,,,0.00259336714475433,0.00392078932568373,0.00319414203083042,4.24416389929625e-05,0.00165984971615389,0.00284207393478697,0.00207994619016868,3.04953790537597e-05,0.0041402443422904,0.000660719708696327,,,0.00259336714475433
IT,ITA,Italy,1,2020-04-28,2020-04-28,308,308,1,0.00324675324675325,0.00635318064294372,0.00407212011959453,6.49587640549354e-05,0.00324675324675325,0.00635318064294372,0.00407212011959453,6.49587640549354e-05,0.00577376584529577,0.000855411812568304,1,0,,,0.00259190296402828,0.00388199364166068,0.0031789400564729,4.22412168172544e-05,0.00164218968058904,0.00279689618054041,0.00205510149589924,3.01840876038618e-05,0.00406495625162435,0.000649417734787992,,,0.00259190296402828
IT,ITA,Italy,1,2020-04-29,2020-04-29,282,282,1,0,0,0,0,0,0,0,0,0.00467803023352228,0.000805374834904518,1,0,,,0.00258829139429278,0.00384141845181216,0.00316279828149113,4.20337212818172e-05,0.00162180413684002,0.00274758572438616,0.00202855028736442,2.98415098741454e-05,0.00398663924911715,0.000637786635900601,,,0.00258829139429278
IT,ITA,Italy,1,2020-04-30,2020-04-30,269,269,1,0.00371747211895911,0.00727255589873354,0.00380847793089042,6.31892116525962e-05,0.00371747211895911,0.00727255589873354,0.00380847793089042,6.31892116525962e-05,0.00507693203638076,0.000863887570077558,1,0,,,0.00258263110232928,0.00379934304766725,0.00314593968469155,4.1821929450112e-05,0.00159878907986113,0.00269442795974135,0.00200037846482635,2.94694353159835e-05,0.00390540875447886,0.000625856611628382,,,0.00258263110232928
IT,ITA,Italy,1,2020-05-01,2020-05-01,257,257,1,0,0,0,0,0,0,0,0,0.00483895084717542,0.000856576333457224,1,0,,,0.0025744310017776,0.00375548228668797,0.00312816504848059,4.16034057289173e-05,0.00157301222242695,0.00263738685547847,0.00197059106715439,2.90674519005185e-05,0.00382136884036472,0.00061365516137169,,,0.0025744310017776
IT,ITA,Italy,1,2020-05-02,2020-05-02,263,263,1,0.00760456273764259,0.0104990431295915,0.00714412590848496,8.29750840209596e-05,0.00380228136882129,0.00743815311230081,0.000877468853007677,2.91712659876051e-05,0.00425681224588849,0.000797430806314154,0,0,,,0.00256366529692099,0.00371001269834487,0.00310956350555464,4.13794458172848e-05,0.00154460734212304,0.0025768070584278,0.00193930715947308,2.86376940200233e-05,0.00373467807459368,0.000601217030670384,,,0.00256366529692099
IT,ITA,Italy,1,2020-05-03,2020-05-03,584,584,1,0,0,0,0,0,0,0,0,0.00553847131241538,0.000607041573585312,1,1,,,0.00255033139552111,0.00366318220808227,0.0030904506104887,4.11528673416253e-05,0.00151380836204434,0.00251318259436967,0.00190692200371786,2.81846400267908e-05,0.00364551539295054,0.000588580690457282,,,0.00255033139552111
IT,ITA,Italy,1,2020-05-04,2020-05-04,565,565,1,0.00176991150442478,0.00346589156635085,0.00147221926591303,3.92762824735276e-05,0.00176991150442478,0.00346589156635085,0.00147221926591303,3.92762824735276e-05,0.00321028029298677,0.00047085026348183,3,2,,,0.00253423759680674,0.00361497929254443,0.00307054405468532,4.09218001826335e-05,0.00148066530117569,0.00244678647910462,0.00187322554643243,2.77084296901523e-05,0.00355409336219418,0.000575785565458072,,,0.00253423759680674
IT,ITA,Italy,1,2020-05-05,2020-05-05,548,548,1,0.00364963503649635,0.00504880471186336,0.00198638483983115,4.52320590320674e-05,0.00364963503649635,0.00504880471186336,0.00198638483983115,4.52320590320674e-05,0.00261793917161439,0.000433086255292705,1,0,,,0.00251544853168113,0.00356567588070621,0.00305024026613544,4.06895129895117e-05,0.00144548245330911,0.00237820957736526,0.00183867474203297,2.72146715629818e-05,0.00346069122002475,0.000562881610134407,,,0.00251544853168113
IT,ITA,Italy,1,2020-05-06,2020-05-06,587,587,1,0.00340715502555366,0.0047139380417638,0.0031136494527625,5.57447079681254e-05,0.00340715502555366,0.0047139380417638,0.0031136494527625,5.57447079681254e-05,0.00405461466386723,0.000518450754518016,1,1,,,0.00249401606321919,0.00351548080084642,0.0030297107023464,4.04570544493739e-05,0.0014085409755755,0.00230800809821314,0.00180348550339574,2.67070498803559e-05,0.00336561095207551,0.000549919388928444,,,0.00249401606321919
IT,ITA,Italy,1,2020-05-07,2020-05-07,607,607,1,0.0115321252059308,0.00849355883714415,0.0141025767927098,0.000116060127327598,0.00658978583196046,0.00643655828301473,0.0085568705499396,9.06586661456093e-05,0.00273698166353971,0.000420888760843623,5,0,,,0.0024701430791606,0.00346480226711658,0.00300931961633371,4.02279056137638e-05,0.00137025358958967,0.0022369582349681,0.00176804633534967,2.61919268497673e-05,0.00326915934433013,0.000536948170816068,,,0.0024701430791606
IT,ITA,Italy,1,2020-05-08,2020-05-08,527,527,1,0,0,0,0,0,0,0,0,0.00318400326564606,0.000486527251288339,2,1,,,0.00244409121970962,0.00341405666329628,0.00298946012734297,4.00054077157152e-05,0.001331062822191,0.00216585535826868,0.00173275081106307,2.56757054084958e-05,0.00317170158793558,0.000524022433777699,,,0.00244409121970962
IT,ITA,Italy,1,2020-05-09,2020-05-09,528,528,1,0.00189393939393939,0.00370853613334457,0.00132345593949127,3.73568892098609e-05,0,0,0,0,0.00165024559499948,0.000350532724213334,0,0,,,0.00241624988168475,0.00336379608656288,0.00297063964557621,3.97943018097165e-05,0.00129150061643181,0.00209563052897965,0.00169808030661688,2.51662906925409e-05,0.00307363096029658,0.000511199271492726,,,0.00241624988168475
IT,ITA,Italy,1,2020-05-10,2020-05-10,510,510,1,0,0,0,0,0,0,0,0,0.00398901802858489,0.000554515331848721,1,0,,,0.00238704072802214,0.0033145177588122,0.00295336118367958,3.95985031790684e-05,0.00125208411907922,0.00202714789932999,0.00166448390782797,2.46707764367974e-05,0.00297536587881288,0.000498536398470452,,,0.00238704072802214
IT,ITA,Italy,1,2020-05-11,2020-05-11,548,548,1,0.00547445255474453,0.00617783253873481,0.00944172611251771,9.73965941202556e-05,0.00182481751824818,0.00357331182420222,0.00619675258836631,7.90333408171423e-05,0.00184108524396226,0.00036232995150844,0,0,,,0.00235695592098532,0.00326673982151572,0.00293811407008513,3.94215941341816e-05,0.00121334649715887,0.00196126812477814,0.00163236937188894,2.41958445357282e-05,0.00287730314232192,0.000486084538249001,,,0.00235695592098532
IT,ITA,Italy,1,2020-05-12,2020-05-12,529,529,1,0.0056710775047259,0.0063990879969604,0.0077725268930036,8.93954219176118e-05,0.00189035916824197,0.00370153230678019,0.00444815021123396,6.7740781408488e-05,0.00387272614539861,0.000534348095002844,3,0,,,0.00232662691056393,0.00322114198293085,0.0029255337671189,3.92691738660086e-05,0.00117590026384054,0.00189897697904551,0.00160226516634745,2.3750022181938e-05,0.00277988979845942,0.00047390078636729,,,0.00232662691056393
IT,ITA,Italy,1,2020-05-13,2020-05-13,513,513,1,0,0,0,0,0,0,0,0,0.00231404367866471,0.000420617732790901,1,0,,,0.00229671945478235,0.00317837136752265,0.00291621406929148,3.91461061393091e-05,0.00114032940266522,0.00184118031723673,0.00157463709647872,2.33408439261688e-05,0.00268354672328772,0.000462034246387137,,,0.00229671945478235
IT,ITA,Italy,1,2020-05-14,2020-05-14,501,501,1,0,0,0,0,0,0,0,0,0.00268599209940786,0.000457595574680602,1,0,,,0.00226794300688546,0.00313907750064157,0.00291072889160042,3.9057059468714e-05,0.00110719894499039,0.00178873012630824,0.00154991684795682,2.29753201774355e-05,0.00258871678004146,0.000450535907006193,,,0.00226794300688546
IT,ITA,Italy,1,2020-05-15,2020-05-15,530,530,1,0.00188679245283019,0.0036945548847337,0.00166641531461071,4.20575186425913e-05,0,0,0,0,0.00159313935357128,0.000342465312037716,1,0,,,0.00224102913987301,0.00310389157289664,0.0029096050048526,3.90062825180706e-05,0.00107703704366869,0.00174239755476422,0.00152848377126428,2.26596614756787e-05,0.00249577670969941,0.000439444391733045,,,0.00224102913987301
IT,ITA,Italy,1,2020-05-16,2020-05-16,479,479,1,0.00417536534446764,0.00577456146327262,0.00250117159919122,5.04889479095333e-05,0,0,0,0,0.00244799657938695,0.000446866450299479,1,0,,,0.00221670703016947,0.0030734041342614,0.00291329375579746,3.89973703797767e-05,0.00105031774182794,0.00170284768761991,0.00151064774765418,2.23990198441417e-05,0.00240511989587946,0.000428799295577607,,,0.00221670703016947
IT,ITA,Italy,1,2020-05-17,2020-05-17,491,491,1,0.00203665987780041,0.00398771298831359,0.00347306086912196,6.00743565718284e-05,0,0,0,0,0.00178941047183912,0.00037785043483127,3,1,,,0.00219567694149701,0.00304814207230581,0.00292214327280091,3.9033033378423e-05,0.00102744532403873,0.00167061733831038,0.00149663426466368,2.21972629309476e-05,0.00231710695590925,0.000418635530786696,,,0.00219567694149701
IT,ITA,Italy,1,2020-05-18,2020-05-18,527,527,1,0,0,0,0,0,0,0,0,0.00134217743490526,0.000316476766599462,1,0,,,0.00217865482820543,0.00302864537863789,0.00293642270030291,3.9115788268731e-05,0.00100877705990679,0.001646167455895,0.00148660087562658,2.20574767121089e-05,0.0022320574634933,0.000408981001354343,,,0.00217865482820543
