"date","age","ISO2","country","ISO3","population","cli","anosmia","count","cli_local","count_local","cli_14days","anosmia_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_anosmia","p_anosmia_low","p_anosmia_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-04-23,-99,"BO","Bolivia","BOL",11513102,1,1,48,17,47,NA,NA,NA,NA,NA,0.0208333333333333,0,0.0612383382477474,0.0208333333333333,0,0.0612383382477474,0.00682456844640707,0.00359152301051182,0.0100576138823023,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,-77,"BO","Bolivia","BOL",11513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,1,"BO","Bolivia","BOL",11513102,1,8,198,55,198,NA,NA,NA,NA,NA,0.00505050505050505,0,0.0149242844215166,0.0404040404040404,0.0129774323869673,0.0678306484211135,0.00524109014675052,0.00385960158083974,0.00662257871266131,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,2,"BO","Bolivia","BOL",11513102,0,4,232,89,231,NA,NA,NA,NA,NA,0,0,0,0.0172413793103448,0.000491428620803355,0.0339913299998863,0.00726946009964878,0.00576468728674632,0.00877423291255124,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,3,"BO","Bolivia","BOL",11513102,0,1,120,24,120,NA,NA,NA,NA,NA,0,0,0,0.00833333333333333,0,0.0245981698591689,0.00377358490566038,0.00226671547462667,0.00528045433669408,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,4,"BO","Bolivia","BOL",11513102,0,1,52,21,52,NA,NA,NA,NA,NA,0,0,0,0.0192307692307692,0,0.0565582055834199,0.00761973875181422,0.00437322248049695,0.0108662550231315,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,5,"BO","Bolivia","BOL",11513102,0,0,18,2,18,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00209643605870021,0,0.004998847657833,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,6,"BO","Bolivia","BOL",11513102,0,0,8,1,8,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00235849056603774,0,0.00697559278741737,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,7,"BO","Bolivia","BOL",11513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-24,-99,"BO","Bolivia","BOL",11513102,1,2,69,131,68,NA,NA,NA,NA,NA,0.0144927536231884,0,0.0426914422005333,0.0289855072463768,0,0.0685701613255478,0.0363485016648169,0.0302382519836215,0.0424587513460122,NA,NA,NA,NA,NA,NA,NA,NA,NA
