"date","age","ISO2","country","ISO3","population","cli","count","cli_local","count_local","cli_7days","count_7days","cli_local_7days","count_local_7days","cli_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_cli_7days","p_cli_7days_low","p_cli_7days_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_local_7days","p_cli_local_7days_low","p_cli_local_7days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-04-23,-99,"BO","Bolivia","BOL",11513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,-77,"BO","Bolivia","BOL",11513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,1,"BO","Bolivia","BOL",11513102,1,198,55,198,NA,NA,NA,NA,NA,NA,NA,NA,0.00505050505050505,0,0.0149242844215166,NA,NA,NA,NA,NA,NA,0.00524109014675052,0.00385960158083974,0.00662257871266131,NA,NA,NA,NA,NA,NA
2020-04-23,2,"BO","Bolivia","BOL",11513102,0,232,89,231,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00726946009964878,0.00576468728674632,0.00877423291255124,NA,NA,NA,NA,NA,NA
2020-04-23,3,"BO","Bolivia","BOL",11513102,0,120,24,120,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00377358490566038,0.00226671547462667,0.00528045433669408,NA,NA,NA,NA,NA,NA
2020-04-23,4,"BO","Bolivia","BOL",11513102,0,52,21,52,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00761973875181422,0.00437322248049695,0.0108662550231315,NA,NA,NA,NA,NA,NA
2020-04-23,5,"BO","Bolivia","BOL",11513102,0,18,2,18,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00209643605870021,0,0.004998847657833,NA,NA,NA,NA,NA,NA
2020-04-23,6,"BO","Bolivia","BOL",11513102,0,8,1,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00235849056603774,0,0.00697559278741737,NA,NA,NA,NA,NA,NA
2020-04-23,7,"BO","Bolivia","BOL",11513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-24,-99,"BO","Bolivia","BOL",11513102,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0377358490566038,0,0.0890378580531014,NA,NA,NA,NA,NA,NA
