ISO3,country,age_E4,count,cli,count_local_com,cli_local_com,date
AFG,Afghanistan,1,68,8,68,624,2020-06-11
AFG,Afghanistan,2,97,15,97,1014,2020-06-11
AFG,Afghanistan,3,45,4,45,540,2020-06-11
AFG,Afghanistan,4,12,1,12,70,2020-06-11
AFG,Afghanistan,5,4,0,4,15,2020-06-11
AFG,Afghanistan,6,3,1,3,150,2020-06-11
AFG,Afghanistan,7,7,3,7,559,2020-06-11
ALA,Aland Islands,1,1,0,1,0,2020-06-11
ALA,Aland Islands,2,4,0,4,0,2020-06-11
ALA,Aland Islands,3,1,0,1,0,2020-06-11
ALA,Aland Islands,5,2,1,2,1,2020-06-11
ALA,Aland Islands,6,1,0,1,0,2020-06-11
ALA,Aland Islands,7,1,0,1,100,2020-06-11
ALB,Albania,-99,2,1,2,1,2020-06-11
ALB,Albania,1,32,0,32,110,2020-06-11
ALB,Albania,2,65,0,65,7,2020-06-11
ALB,Albania,3,45,1,45,127,2020-06-11
ALB,Albania,4,14,0,14,1,2020-06-11
ALB,Albania,5,10,0,10,0,2020-06-11
ALB,Albania,6,3,0,3,0,2020-06-11
ALB,Albania,7,1,0,1,0,2020-06-11
DZA,Algeria,-99,1,0,1,0,2020-06-11
DZA,Algeria,1,112,3,112,130,2020-06-11
DZA,Algeria,2,211,8,210,102,2020-06-11
DZA,Algeria,3,150,1,150,43,2020-06-11
DZA,Algeria,4,85,1,85,55,2020-06-11
DZA,Algeria,5,58,0,58,16,2020-06-11
DZA,Algeria,6,27,0,27,6,2020-06-11
DZA,Algeria,7,3,0,3,0,2020-06-11
ASM,American Samoa,-99,1,0,1,0,2020-06-11
ASM,American Samoa,1,7,4,7,46,2020-06-11
ASM,American Samoa,2,3,0,3,0,2020-06-11
ASM,American Samoa,4,1,0,1,0,2020-06-11
ASM,American Samoa,5,1,0,1,0,2020-06-11
ASM,American Samoa,7,1,0,1,0,2020-06-11
AND,Andorra,1,4,1,4,4,2020-06-11
AND,Andorra,2,4,1,4,5,2020-06-11
AND,Andorra,3,2,0,2,0,2020-06-11
AND,Andorra,4,5,0,5,0,2020-06-11
AND,Andorra,5,4,0,4,0,2020-06-11
AND,Andorra,6,1,0,1,1,2020-06-11
AGO,Angola,-99,2,0,2,1,2020-06-11
AGO,Angola,1,26,1,26,14,2020-06-11
AGO,Angola,2,45,1,45,1,2020-06-11
AGO,Angola,3,25,0,25,0,2020-06-11
AGO,Angola,4,11,0,11,0,2020-06-11
AGO,Angola,5,7,0,7,0,2020-06-11
AGO,Angola,6,6,0,6,0,2020-06-11
AGO,Angola,7,1,0,1,0,2020-06-11
AIA,Anguilla,-99,1,0,1,0,2020-06-11
AIA,Anguilla,5,1,0,1,0,2020-06-11
ATA,Antarctica,1,1,0,1,0,2020-06-11
ATA,Antarctica,2,1,1,1,50,2020-06-11
ATA,Antarctica,3,1,0,1,10,2020-06-11
ATA,Antarctica,7,2,0,2,0,2020-06-11
ATG,Antigua,1,3,0,3,1,2020-06-11
ATG,Antigua,2,3,0,3,5,2020-06-11
ARG,Argentina,-99,7,0,7,0,2020-06-11
ARG,Argentina,1,592,5,592,114,2020-06-11
ARG,Argentina,2,1000,1,1000,83,2020-06-11
ARG,Argentina,3,761,2,761,298,2020-06-11
ARG,Argentina,4,552,2,552,60,2020-06-11
ARG,Argentina,5,394,1,393,39,2020-06-11
ARG,Argentina,6,185,0,185,7,2020-06-11
ARG,Argentina,7,32,2,31,1,2020-06-11
ARM,Armenia,-99,3,0,3,0,2020-06-11
ARM,Armenia,1,22,2,22,10,2020-06-11
ARM,Armenia,2,40,2,40,43,2020-06-11
ARM,Armenia,3,31,0,31,52,2020-06-11
ARM,Armenia,4,23,0,23,20,2020-06-11
ARM,Armenia,5,13,1,13,6,2020-06-11
ARM,Armenia,6,5,1,5,1,2020-06-11
ABW,Aruba,1,7,1,7,1,2020-06-11
ABW,Aruba,2,4,0,4,2,2020-06-11
ABW,Aruba,3,3,0,3,6,2020-06-11
ABW,Aruba,5,1,0,1,0,2020-06-11
ABW,Aruba,7,1,0,1,0,2020-06-11
AUS,Australia,-99,3,0,3,0,2020-06-11
AUS,Australia,1,240,1,240,231,2020-06-11
AUS,Australia,2,405,1,405,40,2020-06-11
AUS,Australia,3,323,5,323,47,2020-06-11
AUS,Australia,4,340,2,340,47,2020-06-11
AUS,Australia,5,312,2,312,15,2020-06-11
AUS,Australia,6,210,1,210,10,2020-06-11
AUS,Australia,7,58,0,58,0,2020-06-11
AUT,Austria,-99,4,0,4,8,2020-06-11
AUT,Austria,1,90,0,90,12,2020-06-11
AUT,Austria,2,162,0,162,16,2020-06-11
AUT,Austria,3,138,0,138,7,2020-06-11
AUT,Austria,4,158,0,157,11,2020-06-11
AUT,Austria,5,115,1,115,27,2020-06-11
AUT,Austria,6,46,0,46,0,2020-06-11
AUT,Austria,7,12,0,11,0,2020-06-11
AZE,Azerbaijan,1,21,0,21,5,2020-06-11
AZE,Azerbaijan,2,44,0,44,5,2020-06-11
AZE,Azerbaijan,3,45,1,45,103,2020-06-11
AZE,Azerbaijan,4,21,0,21,4,2020-06-11
AZE,Azerbaijan,5,8,0,8,4,2020-06-11
AZE,Azerbaijan,6,6,0,6,2,2020-06-11
AZE,Azerbaijan,7,1,0,1,0,2020-06-11
BHS,Bahamas,1,1,1,1,0,2020-06-11
BHS,Bahamas,7,1,0,1,0,2020-06-11
BHR,Bahrain,2,1,0,1,0,2020-06-11
BHR,Bahrain,6,1,0,1,0,2020-06-11
BGD,Bangladesh,-99,3,0,3,1,2020-06-11
BGD,Bangladesh,1,301,13,301,569,2020-06-11
BGD,Bangladesh,2,486,16,484,1069,2020-06-11
BGD,Bangladesh,3,171,5,171,570,2020-06-11
BGD,Bangladesh,4,32,0,32,30,2020-06-11
BGD,Bangladesh,5,10,0,10,8,2020-06-11
BGD,Bangladesh,6,1,0,1,0,2020-06-11
BGD,Bangladesh,7,3,1,3,101,2020-06-11
BRB,Barbados,3,1,0,1,0,2020-06-11
BLR,Belarus,-99,1,0,1,0,2020-06-11
BLR,Belarus,1,15,0,15,6,2020-06-11
BLR,Belarus,2,79,0,79,125,2020-06-11
BLR,Belarus,3,119,5,118,262,2020-06-11
BLR,Belarus,4,75,3,75,96,2020-06-11
BLR,Belarus,5,40,0,40,54,2020-06-11
BLR,Belarus,6,10,0,10,9,2020-06-11
BLR,Belarus,7,1,1,1,13,2020-06-11
BEL,Belgium,-99,1,0,1,0,2020-06-11
BEL,Belgium,1,76,1,76,26,2020-06-11
BEL,Belgium,2,142,1,142,23,2020-06-11
BEL,Belgium,3,131,0,131,11,2020-06-11
BEL,Belgium,4,144,1,144,62,2020-06-11
BEL,Belgium,5,108,0,108,13,2020-06-11
BEL,Belgium,6,55,0,55,2,2020-06-11
BEL,Belgium,7,19,0,19,0,2020-06-11
BLZ,Belize,4,1,0,1,0,2020-06-11
