"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2020/03/28","GRI",3812330,13,696,13,696,0.00718390804597701,0.00627419854168701,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/29","GRI",3812330,14,746,14,746,0.00670241286863271,0.00585509513474996,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/30","GRI",3812330,24,1245,24,1245,0.00642570281124498,0.00443837412141011,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/31","GRI",3812330,30,1475,30,1475,0.00677966101694915,0.00418773192579852,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/01","GRI",3812330,41,1929,41,1929,0.00881285640228098,0.00417078837333962,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/02","GRI",3812330,50,2820,50,2820,0.0145390070921986,0.00441784658385101,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/03","GRI",3812330,50,2645,50,2645,0.0158790170132325,0.00476399509559974,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/04","GRI",3812330,50,2455,50,2455,0.025254582484725,0.00620637539323248,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/05","GRI",3812330,50,2455,50,2455,0.025254582484725,0.00620637539323248,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/06","GRI",3812330,50,2398,44,2156,0.0266889074228524,0.00645081720700778,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/07","GRI",3812330,50,2742,50,2742,0.0237053245805981,0.00569413525967159,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/08","GRI",3812330,50,2922,50,2922,0.0212183436002738,0.00522524471825934,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/09","GRI",3812330,50,2922,33,1775,0.0212183436002738,0.00522524471825934,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/10","GRI",3812330,50,2922,33,1850,0.0212183436002738,0.00522524471825934,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/11","GRI",3812330,50,2787,33,1880,0.0175816289917474,0.00487929863684297,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/12","GRI",3812330,50,2657,34,1900,0.0165600301091457,0.0048524023290854,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/13","GRI",3812330,50,2835,34,2050,0.0130511463844797,0.00417775736292223,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/14","GRI",3812330,50,2805,19,1260,0.0135472370766488,0.00427804324644494,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/15","GRI",3812330,50,2790,12,705,0.0139784946236559,0.00435631609613306,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/16","GRI",3812330,50,2790,13,805,0.0136200716845878,0.00430088469253638,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/17","GRI",3812330,50,2760,14,835,0.0141304347826087,0.00440332805525721,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/18","GRI",3812330,50,2760,10,645,0.0141304347826087,0.00440332805525721,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/19","GRI",3812330,50,2771,10,666,0.0144352219415374,0.00444103451119154,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/20","GRI",3812330,50,2776,8,441,0.0147694524495677,0.00448734532458462,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/21","GRI",3812330,50,2776,6,321,0.0147694524495677,0.00448734532458462,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/22","GRI",3812330,50,2776,5,296,0.0147694524495677,0.00448734532458462,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/23","GRI",3812330,50,2776,4,196,0.0147694524495677,0.00448734532458462,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/24","GRI",3812330,50,2776,2,66,0.0147694524495677,0.00448734532458462,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/25","GRI",3812330,50,2776,2,66,0.0147694524495677,0.00448734532458462,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/26","GRI",3812330,50,2776,1,25,0.0147694524495677,0.00448734532458462,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/27","GRI",3812330,50,2752,1,1,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/28","GRI",3812330,50,2752,1,1,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/29","GRI",3812330,50,2752,1,1,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/30","GRI",3812330,50,2752,1,1,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/01","GRI",3812330,50,2752,1,1,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/02","GRI",3812330,50,2752,1,1,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/03","GRI",3812330,50,2752,1,1,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/04","GRI",3812330,50,2752,0,0,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/05","GRI",3812330,50,2752,0,0,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/06","GRI",3812330,50,2752,0,0,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/07","GRI",3812330,50,2752,0,0,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/08","GRI",3812330,50,2752,0,0,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/09","GRI",3812330,50,2752,0,0,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/10","GRI",3812330,50,2752,0,0,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/11","GRI",3812330,50,2752,0,0,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/12","GRI",3812330,50,2752,0,0,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/13","GRI",3812330,50,2752,0,0,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/14","GRI",3812330,50,2752,0,0,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/15","GRI",3812330,50,2752,0,0,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/16","GRI",3812330,50,2752,0,0,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/17","GRI",3812330,50,2752,0,0,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/18","GRI",3812330,50,2752,0,0,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/19","GRI",3812330,50,2752,0,0,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/20","GRI",3812330,50,2752,0,0,0.0145348837209302,0.00447146962531202,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/21","GRI",3812330,50,2742,1,15,0.0156819839533187,0.00465031728680736,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/22","GRI",3812330,50,2742,1,15,0.0156819839533187,0.00465031728680736,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/23","GRI",3812330,50,2742,1,15,0.0156819839533187,0.00465031728680736,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","GRI",3812330,50,2742,1,15,0.0156819839533187,0.00465031728680736,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/25","GRI",3812330,50,2742,1,15,0.0156819839533187,0.00465031728680736,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/26","GRI",3812330,50,2667,2,40,0.0101237345331834,0.00379924598339253,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/27","GRI",3812330,50,2667,2,40,0.0101237345331834,0.00379924598339253,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/28","GRI",3812330,50,2667,1,25,0.0101237345331834,0.00379924598339253,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/29","GRI",3812330,50,2667,1,25,0.0101237345331834,0.00379924598339253,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/30","GRI",3812330,50,2667,1,25,0.0101237345331834,0.00379924598339253,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/31","GRI",3812330,50,2667,1,25,0.0101237345331834,0.00379924598339253,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/01","GRI",3812330,50,2667,1,25,0.0101237345331834,0.00379924598339253,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/02","GRI",3812330,50,2667,0,0,0.0101237345331834,0.00379924598339253,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/03","GRI",3812330,50,2667,0,0,0.0101237345331834,0.00379924598339253,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/04","GRI",3812330,50,2667,0,0,0.0101237345331834,0.00379924598339253,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/05","GRI",3812330,50,2692,2,60,0.00965824665676077,0.00369447093477218,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/06","GRI",3812330,50,2672,3,65,0.0093562874251497,0.00365039940773309,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/07","GRI",3812330,50,2672,3,65,0.0093562874251497,0.00365039940773309,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/08","GRI",3812330,50,2672,3,65,0.0093562874251497,0.00365039940773309,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/09","GRI",3812330,50,2672,3,65,0.0093562874251497,0.00365039940773309,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/10","GRI",3812330,50,2672,3,65,0.0093562874251497,0.00365039940773309,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/11","GRI",3812330,50,2652,4,95,0.0116892911010558,0.00409074274481524,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/12","GRI",3812330,50,2652,3,75,0.0116892911010558,0.00409074274481524,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/13","GRI",3812330,50,2641,4,89,0.0117379780386217,0.00410767987073489,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/14","GRI",3812330,50,2641,4,89,0.0117379780386217,0.00410767987073489,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/15","GRI",3812330,50,2766,5,239,0.0112075198843095,0.00392309964910304,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/16","GRI",3812330,50,2766,5,239,0.0112075198843095,0.00392309964910304,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/17","GRI",3812330,50,2766,5,239,0.0112075198843095,0.00392309964910304,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/18","GRI",3812330,50,2741,5,214,0.0113097409704487,0.00395867665563407,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/19","GRI",3812330,50,2741,5,214,0.0113097409704487,0.00395867665563407,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/20","GRI",3812330,50,2741,4,200,0.0113097409704487,0.00395867665563407,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/21","GRI",3812330,50,2741,2,155,0.0113097409704487,0.00395867665563407,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/22","GRI",3812330,50,2741,1,5,0.0113097409704487,0.00395867665563407,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/23","GRI",3812330,50,2741,1,5,0.0113097409704487,0.00395867665563407,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/24","GRI",3812330,50,2681,3,85,0.0111898545318911,0.00398169840598429,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/25","GRI",3812330,50,2681,3,85,0.0111898545318911,0.00398169840598429,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/26","GRI",3812330,50,2681,3,85,0.0111898545318911,0.00398169840598429,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/27","GRI",3812330,50,2681,3,85,0.0111898545318911,0.00398169840598429,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/28","GRI",3812330,50,2681,3,85,0.0111898545318911,0.00398169840598429,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/29","GRI",3812330,50,2681,3,85,0.0111898545318911,0.00398169840598429,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/30","GRI",3812330,50,2681,2,80,0.0111898545318911,0.00398169840598429,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07/01","GRI",3812330,50,2702,4,81,0.0107327905255366,0.00388524627128838,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07/02","GRI",3812330,50,2702,4,81,0.0107327905255366,0.00388524627128838,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07/03","GRI",3812330,50,2702,4,81,0.0107327905255366,0.00388524627128838,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07/04","GRI",3812330,50,2607,5,86,0.0111238971998466,0.00402602993521697,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07/05","GRI",3812330,50,2647,6,146,0.0147336607480166,0.00458990055411921,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07/06","GRI",3812330,50,2647,6,146,0.0147336607480166,0.00458990055411921,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07/07","GRI",3812330,50,2647,6,146,0.0147336607480166,0.00458990055411921,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07/08","GRI",3812330,50,2748,31,1941,0.0476710334788937,0.00796637062608578,NA,NA,0.0012970168612192,0.00179637452972291,0.000185288123031314,0.000679343550360804,0.000661375661375661,0.00129584374411438
"2020/07/09","GRI",3812330,50,2983,35,2421,0.0449212202480724,0.00743304624477783,NA,NA,0.000989119683481701,0.0013701466294768,0.000141302811925957,0.000518086447591198,0.000502008032128514,0.000983670664634171
"2020/07/10","GRI",3812330,50,2963,36,2461,0.0448869389132636,0.0074553777296203,NA,NA,0.000969932104752667,0.00134358054799915,0.000138561729250381,0.000508036970402717,0.000492125984251968,0.000964311835919285
"2020/07/11","GRI",3812330,50,2963,35,2456,0.0448869389132636,0.0074553777296203,NA,NA,0.000972289742343218,0.00134684483273097,0.00013889853462046,0.000509271782465709,0.000493339911198816,0.000966689916461889
"2020/07/12","GRI",3812330,50,2963,34,2396,0.0448869389132636,0.0074553777296203,NA,NA,0.000500751126690035,0.000981208410618361,7.15358752414336e-05,0.000370941540955311,0.000508388408744281,0.000996169654152043
"2020/07/13","GRI",3812330,50,2963,34,2396,0.0448869389132636,0.0074553777296203,NA,NA,0.000500751126690035,0.000981208410618361,7.15358752414336e-05,0.000370941540955311,0.000508388408744281,0.000996169654152043
"2020/07/14","GRI",3812330,50,2963,33,2391,0.0448869389132636,0.0074553777296203,NA,NA,0.000502008032128514,0.000983670664634171,7.17154331612163e-05,0.000371872585731633,0.000509683995922528,0.000998707665515643
"2020/07/15","GRI",3812330,50,2963,5,520,0.0448869389132636,0.0074553777296203,NA,NA,0,0,0,0,0,0
"2020/07/16","GRI",3812330,50,2963,1,40,0.0448869389132636,0.0074553777296203,NA,NA,NA,NA,NA,NA,NA,NA
"2020/07/17","GRI",3812330,50,2943,3,40,0.0448521916411825,0.00747790745779797,NA,NA,NA,NA,NA,NA,NA,NA
