"date","ISO2","ISO3","country","Confirmed","Deaths","Recovered","Active"
2020-03-14,"SC","SYC","Seychelles",0,0,0,NA
2020-03-15,"SC","SYC","Seychelles",6,0,0,NA
2020-03-16,"SC","SYC","Seychelles",8,0,0,NA
2020-03-17,"SC","SYC","Seychelles",8,0,0,NA
2020-03-18,"SC","SYC","Seychelles",10,0,0,NA
2020-03-19,"SC","SYC","Seychelles",10,0,0,NA
2020-03-20,"SC","SYC","Seychelles",10,0,0,NA
2020-03-21,"SC","SYC","Seychelles",7,0,0,NA
2020-03-22,"SC","SYC","Seychelles",7,0,0,7
2020-03-23,"SC","SYC","Seychelles",7,0,0,7
2020-03-24,"SC","SYC","Seychelles",7,0,0,7
2020-03-25,"SC","SYC","Seychelles",7,0,0,7
2020-03-26,"SC","SYC","Seychelles",7,0,0,7
2020-03-27,"SC","SYC","Seychelles",7,0,0,7
2020-03-28,"SC","SYC","Seychelles",7,0,0,7
2020-03-29,"SC","SYC","Seychelles",8,0,0,8
2020-03-30,"SC","SYC","Seychelles",8,0,0,8
2020-03-31,"SC","SYC","Seychelles",8,0,0,8
2020-04-01,"SC","SYC","Seychelles",8,0,0,8
2020-04-02,"SC","SYC","Seychelles",10,0,0,10
2020-04-03,"SC","SYC","Seychelles",10,0,0,10
2020-04-04,"SC","SYC","Seychelles",10,0,0,10
2020-04-05,"SC","SYC","Seychelles",10,0,0,10
2020-04-06,"SC","SYC","Seychelles",10,0,0,10
2020-04-07,"SC","SYC","Seychelles",11,0,0,11
2020-04-08,"SC","SYC","Seychelles",11,0,0,11
2020-04-09,"SC","SYC","Seychelles",11,0,0,11
2020-04-10,"SC","SYC","Seychelles",11,0,0,11
2020-04-11,"SC","SYC","Seychelles",11,0,0,11
2020-04-12,"SC","SYC","Seychelles",11,0,0,11
2020-04-13,"SC","SYC","Seychelles",11,0,0,11
2020-04-14,"SC","SYC","Seychelles",11,0,0,11
2020-04-15,"SC","SYC","Seychelles",11,0,0,11
2020-04-16,"SC","SYC","Seychelles",11,0,0,11
2020-04-17,"SC","SYC","Seychelles",11,0,5,6
2020-04-18,"SC","SYC","Seychelles",11,0,5,6
2020-04-19,"SC","SYC","Seychelles",11,0,5,6
2020-04-20,"SC","SYC","Seychelles",11,0,5,6
2020-04-21,"SC","SYC","Seychelles",11,0,5,6
2020-04-22,"SC","SYC","Seychelles",11,0,5,6
2020-04-23,"SC","SYC","Seychelles",11,0,6,5
2020-04-24,"SC","SYC","Seychelles",11,0,6,5
2020-04-25,"SC","SYC","Seychelles",11,0,6,5
2020-04-26,"SC","SYC","Seychelles",11,0,6,5
2020-04-27,"SC","SYC","Seychelles",11,0,6,5
2020-04-28,"SC","SYC","Seychelles",11,0,6,5
2020-04-29,"SC","SYC","Seychelles",11,0,6,5
2020-04-30,"SC","SYC","Seychelles",11,0,6,5
2020-05-01,"SC","SYC","Seychelles",11,0,6,5
2020-05-02,"SC","SYC","Seychelles",11,0,6,5
2020-05-03,"SC","SYC","Seychelles",11,0,6,5
2020-05-04,"SC","SYC","Seychelles",11,0,6,5
2020-05-05,"SC","SYC","Seychelles",11,0,8,3
2020-05-06,"SC","SYC","Seychelles",11,0,8,3
2020-05-07,"SC","SYC","Seychelles",11,0,8,3
2020-05-08,"SC","SYC","Seychelles",11,0,8,3
2020-05-09,"SC","SYC","Seychelles",11,0,8,3
2020-05-10,"SC","SYC","Seychelles",11,0,10,1
2020-05-11,"SC","SYC","Seychelles",11,0,10,1
2020-05-12,"SC","SYC","Seychelles",11,0,10,1
2020-05-13,"SC","SYC","Seychelles",11,0,10,1
2020-05-14,"SC","SYC","Seychelles",11,0,10,1
2020-05-15,"SC","SYC","Seychelles",11,0,10,1
2020-05-16,"SC","SYC","Seychelles",11,0,10,1
2020-05-17,"SC","SYC","Seychelles",11,0,10,1
2020-05-18,"SC","SYC","Seychelles",11,0,11,0
2020-05-19,"SC","SYC","Seychelles",11,0,11,0
2020-05-20,"SC","SYC","Seychelles",11,0,11,0
2020-05-21,"SC","SYC","Seychelles",11,0,11,0
2020-05-22,"SC","SYC","Seychelles",11,0,11,0
2020-05-23,"SC","SYC","Seychelles",11,0,11,0
2020-05-24,"SC","SYC","Seychelles",11,0,11,0
2020-05-25,"SC","SYC","Seychelles",11,0,11,0
2020-05-26,"SC","SYC","Seychelles",11,0,11,0
2020-05-27,"SC","SYC","Seychelles",11,0,11,0
2020-05-28,"SC","SYC","Seychelles",11,0,11,0
2020-05-29,"SC","SYC","Seychelles",11,0,11,0
2020-05-30,"SC","SYC","Seychelles",11,0,11,0
2020-05-31,"SC","SYC","Seychelles",11,0,11,0
2020-06-01,"SC","SYC","Seychelles",11,0,11,0
2020-06-02,"SC","SYC","Seychelles",11,0,11,0
2020-06-03,"SC","SYC","Seychelles",11,0,11,0
2020-06-04,"SC","SYC","Seychelles",11,0,11,0
2020-06-05,"SC","SYC","Seychelles",11,0,11,0
2020-06-06,"SC","SYC","Seychelles",11,0,11,0
2020-06-07,"SC","SYC","Seychelles",11,0,11,0
2020-06-08,"SC","SYC","Seychelles",11,0,11,0
2020-06-09,"SC","SYC","Seychelles",11,0,11,0
2020-06-10,"SC","SYC","Seychelles",11,0,11,0
2020-06-11,"SC","SYC","Seychelles",11,0,11,0
2020-06-12,"SC","SYC","Seychelles",11,0,11,0
2020-06-13,"SC","SYC","Seychelles",11,0,11,0
2020-06-14,"SC","SYC","Seychelles",11,0,11,0
2020-06-15,"SC","SYC","Seychelles",11,0,11,0
2020-06-16,"SC","SYC","Seychelles",11,0,11,0
2020-06-17,"SC","SYC","Seychelles",11,0,11,0
2020-06-18,"SC","SYC","Seychelles",11,0,11,0
2020-06-19,"SC","SYC","Seychelles",11,0,11,0
2020-06-20,"SC","SYC","Seychelles",11,0,11,0
2020-06-21,"SC","SYC","Seychelles",11,0,11,0
2020-06-22,"SC","SYC","Seychelles",11,0,11,0
2020-06-23,"SC","SYC","Seychelles",11,0,11,0
2020-06-24,"SC","SYC","Seychelles",11,0,11,0
2020-06-25,"SC","SYC","Seychelles",11,0,11,0
2020-06-26,"SC","SYC","Seychelles",16,0,11,5
2020-06-27,"SC","SYC","Seychelles",20,0,11,9
2020-06-28,"SC","SYC","Seychelles",70,0,11,59
2020-06-29,"SC","SYC","Seychelles",77,0,11,66
2020-06-30,"SC","SYC","Seychelles",81,0,11,70
2020-07-01,"SC","SYC","Seychelles",81,0,11,70
2020-07-02,"SC","SYC","Seychelles",81,0,11,70
2020-07-03,"SC","SYC","Seychelles",81,0,11,70
2020-07-04,"SC","SYC","Seychelles",81,0,11,70
2020-07-05,"SC","SYC","Seychelles",81,0,11,70
2020-07-06,"SC","SYC","Seychelles",81,0,11,70
2020-07-07,"SC","SYC","Seychelles",81,0,11,70
2020-07-08,"SC","SYC","Seychelles",91,0,11,80
2020-07-09,"SC","SYC","Seychelles",94,0,11,83
2020-07-10,"SC","SYC","Seychelles",100,0,11,89
2020-07-11,"SC","SYC","Seychelles",100,0,11,89
2020-07-12,"SC","SYC","Seychelles",100,0,11,89
2020-07-13,"SC","SYC","Seychelles",100,0,11,89
2020-07-14,"SC","SYC","Seychelles",100,0,11,89
2020-07-15,"SC","SYC","Seychelles",100,0,27,73
2020-07-16,"SC","SYC","Seychelles",108,0,27,81
2020-07-17,"SC","SYC","Seychelles",108,0,27,81
2020-07-18,"SC","SYC","Seychelles",108,0,27,81
2020-07-19,"SC","SYC","Seychelles",108,0,27,81
2020-07-20,"SC","SYC","Seychelles",108,0,27,81
2020-07-21,"SC","SYC","Seychelles",108,0,27,81
2020-07-22,"SC","SYC","Seychelles",108,0,27,81
2020-07-23,"SC","SYC","Seychelles",107,0,27,80
2020-07-24,"SC","SYC","Seychelles",107,0,27,80
2020-07-25,"SC","SYC","Seychelles",107,0,39,68
2020-07-26,"SC","SYC","Seychelles",107,0,39,68
2020-07-27,"SC","SYC","Seychelles",107,0,39,68
2020-07-28,"SC","SYC","Seychelles",114,0,39,75
2020-07-29,"SC","SYC","Seychelles",114,0,39,75
2020-07-30,"SC","SYC","Seychelles",114,0,39,75
2020-07-31,"SC","SYC","Seychelles",114,0,39,75
2020-08-01,"SC","SYC","Seychelles",114,0,39,75
2020-08-02,"SC","SYC","Seychelles",114,0,39,75
2020-08-03,"SC","SYC","Seychelles",114,0,113,1
2020-08-04,"SC","SYC","Seychelles",114,0,113,1
2020-08-05,"SC","SYC","Seychelles",114,0,124,0
2020-08-06,"SC","SYC","Seychelles",114,0,124,0
2020-08-07,"SC","SYC","Seychelles",114,0,125,0
2020-08-08,"SC","SYC","Seychelles",126,0,125,1
2020-08-09,"SC","SYC","Seychelles",126,0,125,1
2020-08-10,"SC","SYC","Seychelles",126,0,125,1
2020-08-11,"SC","SYC","Seychelles",126,0,126,0
2020-08-12,"SC","SYC","Seychelles",126,0,126,0
2020-08-13,"SC","SYC","Seychelles",126,0,126,0
2020-08-14,"SC","SYC","Seychelles",126,0,126,0
2020-08-15,"SC","SYC","Seychelles",127,0,126,1
2020-08-16,"SC","SYC","Seychelles",127,0,126,1
2020-08-17,"SC","SYC","Seychelles",127,0,126,1
2020-08-18,"SC","SYC","Seychelles",127,0,126,1
2020-08-19,"SC","SYC","Seychelles",127,0,126,1
2020-08-20,"SC","SYC","Seychelles",127,0,126,1
2020-08-21,"SC","SYC","Seychelles",127,0,126,1
2020-08-22,"SC","SYC","Seychelles",127,0,126,1
2020-08-23,"SC","SYC","Seychelles",127,0,126,1
2020-08-24,"SC","SYC","Seychelles",127,0,126,1
2020-08-25,"SC","SYC","Seychelles",131,0,127,4
2020-08-26,"SC","SYC","Seychelles",131,0,127,4
2020-08-27,"SC","SYC","Seychelles",131,0,127,4
2020-08-28,"SC","SYC","Seychelles",131,0,127,4
2020-08-29,"SC","SYC","Seychelles",131,0,127,4
2020-08-30,"SC","SYC","Seychelles",131,0,127,4
2020-08-31,"SC","SYC","Seychelles",131,0,127,4
2020-09-01,"SC","SYC","Seychelles",135,0,127,8
2020-09-02,"SC","SYC","Seychelles",135,0,127,8
2020-09-03,"SC","SYC","Seychelles",135,0,127,8
2020-09-04,"SC","SYC","Seychelles",135,0,127,8
2020-09-05,"SC","SYC","Seychelles",135,0,127,8
2020-09-06,"SC","SYC","Seychelles",135,0,127,8
2020-09-07,"SC","SYC","Seychelles",135,0,127,8
2020-09-08,"SC","SYC","Seychelles",135,0,127,8
2020-09-09,"SC","SYC","Seychelles",135,0,127,8
2020-09-10,"SC","SYC","Seychelles",135,0,127,8
2020-09-11,"SC","SYC","Seychelles",135,0,136,0
2020-09-12,"SC","SYC","Seychelles",135,0,136,0
2020-09-13,"SC","SYC","Seychelles",135,0,136,0
2020-09-14,"SC","SYC","Seychelles",135,0,136,0
2020-09-15,"SC","SYC","Seychelles",135,0,136,0
2020-09-16,"SC","SYC","Seychelles",138,0,136,2
2020-09-17,"SC","SYC","Seychelles",138,0,136,2
2020-09-18,"SC","SYC","Seychelles",139,0,136,3
2020-09-19,"SC","SYC","Seychelles",139,0,136,3
2020-09-20,"SC","SYC","Seychelles",139,0,136,3
