"CountryName","CountryCode","Date","ConfirmedCases","ConfirmedDeaths","cases","deaths","population","iso2"
"Sierra Leone","SLE",2020-02-28,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-02-29,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-01,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-02,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-03,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-04,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-05,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-06,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-07,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-08,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-09,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-10,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-11,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-12,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-13,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-14,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-15,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-16,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-17,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-18,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-19,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-20,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-21,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-22,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-23,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-24,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-25,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-26,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-27,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-28,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-29,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-30,0,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-03-31,1,0,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-01,2,0,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-02,2,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-03,2,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-04,4,0,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-05,6,0,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-06,6,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-07,6,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-08,7,0,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-09,7,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-10,8,0,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-11,8,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-12,10,0,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-13,10,0,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-14,11,0,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-15,13,0,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-16,15,0,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-17,26,0,11,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-18,30,0,4,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-19,35,0,5,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-20,43,0,8,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-21,50,0,7,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-22,61,0,11,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-23,64,1,3,1,7813207,"SL"
"Sierra Leone","SLE",2020-04-24,82,2,18,1,7813207,"SL"
"Sierra Leone","SLE",2020-04-25,82,2,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-26,93,4,11,2,7813207,"SL"
"Sierra Leone","SLE",2020-04-27,93,4,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-28,104,4,11,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-29,104,4,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-04-30,124,7,20,3,7813207,"SL"
"Sierra Leone","SLE",2020-05-01,136,7,12,0,7813207,"SL"
"Sierra Leone","SLE",2020-05-02,155,8,19,1,7813207,"SL"
"Sierra Leone","SLE",2020-05-03,166,8,11,0,7813207,"SL"
"Sierra Leone","SLE",2020-05-04,178,9,12,1,7813207,"SL"
"Sierra Leone","SLE",2020-05-05,199,11,21,2,7813207,"SL"
"Sierra Leone","SLE",2020-05-06,225,14,26,3,7813207,"SL"
"Sierra Leone","SLE",2020-05-07,231,16,6,2,7813207,"SL"
"Sierra Leone","SLE",2020-05-08,257,17,26,1,7813207,"SL"
"Sierra Leone","SLE",2020-05-09,291,18,34,1,7813207,"SL"
"Sierra Leone","SLE",2020-05-10,307,18,16,0,7813207,"SL"
"Sierra Leone","SLE",2020-05-11,338,19,31,1,7813207,"SL"
"Sierra Leone","SLE",2020-05-12,338,19,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-05-13,387,26,49,7,7813207,"SL"
"Sierra Leone","SLE",2020-05-14,408,26,21,0,7813207,"SL"
"Sierra Leone","SLE",2020-05-15,447,27,39,1,7813207,"SL"
"Sierra Leone","SLE",2020-05-16,462,29,15,2,7813207,"SL"
"Sierra Leone","SLE",2020-05-17,505,32,43,3,7813207,"SL"
"Sierra Leone","SLE",2020-05-18,519,33,14,1,7813207,"SL"
"Sierra Leone","SLE",2020-05-19,534,33,15,0,7813207,"SL"
"Sierra Leone","SLE",2020-05-20,570,34,36,1,7813207,"SL"
"Sierra Leone","SLE",2020-05-21,585,35,15,1,7813207,"SL"
"Sierra Leone","SLE",2020-05-22,606,38,21,3,7813207,"SL"
"Sierra Leone","SLE",2020-05-23,621,39,15,1,7813207,"SL"
"Sierra Leone","SLE",2020-05-24,707,40,86,1,7813207,"SL"
"Sierra Leone","SLE",2020-05-25,735,42,28,2,7813207,"SL"
"Sierra Leone","SLE",2020-05-26,754,44,19,2,7813207,"SL"
"Sierra Leone","SLE",2020-05-27,782,45,28,1,7813207,"SL"
"Sierra Leone","SLE",2020-05-28,812,45,30,0,7813207,"SL"
"Sierra Leone","SLE",2020-05-29,829,45,17,0,7813207,"SL"
"Sierra Leone","SLE",2020-05-30,852,46,23,1,7813207,"SL"
"Sierra Leone","SLE",2020-05-31,861,46,9,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-01,865,46,4,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-02,896,46,31,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-03,909,47,13,1,7813207,"SL"
"Sierra Leone","SLE",2020-06-04,914,47,5,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-05,929,47,15,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-06,946,48,17,1,7813207,"SL"
"Sierra Leone","SLE",2020-06-07,969,48,23,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-08,1001,49,32,1,7813207,"SL"
"Sierra Leone","SLE",2020-06-09,1025,50,24,1,7813207,"SL"
"Sierra Leone","SLE",2020-06-10,1062,50,37,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-11,1085,50,23,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-12,1103,51,18,1,7813207,"SL"
"Sierra Leone","SLE",2020-06-13,1132,51,29,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-14,1169,51,37,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-15,1176,51,7,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-16,1225,51,49,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-17,1249,51,24,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-18,1272,51,23,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-19,1298,53,26,2,7813207,"SL"
"Sierra Leone","SLE",2020-06-20,1309,53,11,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-21,1327,55,18,2,7813207,"SL"
"Sierra Leone","SLE",2020-06-22,1340,55,13,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-23,1347,55,7,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-24,1354,55,7,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-25,1354,56,0,1,7813207,"SL"
"Sierra Leone","SLE",2020-06-26,1394,59,40,3,7813207,"SL"
"Sierra Leone","SLE",2020-06-27,1410,59,16,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-28,1427,60,17,1,7813207,"SL"
"Sierra Leone","SLE",2020-06-29,1450,60,23,0,7813207,"SL"
"Sierra Leone","SLE",2020-06-30,1462,60,12,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-01,1498,60,36,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-02,1518,60,20,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-03,1524,62,6,2,7813207,"SL"
"Sierra Leone","SLE",2020-07-04,1533,62,9,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-05,1542,62,9,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-06,1547,62,5,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-07,1572,63,25,1,7813207,"SL"
"Sierra Leone","SLE",2020-07-08,1584,63,12,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-09,1598,63,14,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-10,1613,63,15,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-11,1618,63,5,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-12,1635,63,17,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-13,1642,63,7,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-14,1651,64,9,1,7813207,"SL"
"Sierra Leone","SLE",2020-07-15,1668,64,17,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-16,1678,64,10,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-17,1688,65,10,1,7813207,"SL"
"Sierra Leone","SLE",2020-07-18,1701,65,13,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-19,1711,65,10,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-20,1711,66,0,1,7813207,"SL"
"Sierra Leone","SLE",2020-07-21,1727,66,16,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-22,1731,66,4,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-23,1752,66,21,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-24,1765,66,13,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-25,1768,66,3,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-26,1783,66,15,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-27,1783,66,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-28,1786,66,3,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-29,1803,67,17,1,7813207,"SL"
"Sierra Leone","SLE",2020-07-30,1818,67,15,0,7813207,"SL"
"Sierra Leone","SLE",2020-07-31,1823,67,5,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-01,1823,67,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-02,1843,67,20,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-03,1848,67,5,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-04,1855,67,7,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-05,1860,67,5,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-06,1877,67,17,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-07,1887,68,10,1,7813207,"SL"
"Sierra Leone","SLE",2020-08-08,1895,68,8,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-09,1916,68,21,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-10,1917,69,1,1,7813207,"SL"
"Sierra Leone","SLE",2020-08-11,1932,69,15,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-12,1937,69,5,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-13,1940,69,3,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-14,1947,69,7,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-15,1954,69,7,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-16,1956,69,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-17,1956,69,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-18,1959,69,3,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-19,1961,69,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-20,1969,69,8,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-21,1972,69,3,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-22,1980,69,8,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-23,1992,69,12,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-24,1997,69,5,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-25,2001,69,4,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-26,2003,69,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-27,2013,70,10,1,7813207,"SL"
"Sierra Leone","SLE",2020-08-28,2013,70,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-29,2019,70,6,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-30,2022,70,3,0,7813207,"SL"
"Sierra Leone","SLE",2020-08-31,2022,70,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-01,2028,71,6,1,7813207,"SL"
"Sierra Leone","SLE",2020-09-02,2029,71,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-03,2035,71,6,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-04,2041,71,6,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-05,2041,71,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-06,2054,71,13,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-07,2055,71,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-08,2064,72,9,1,7813207,"SL"
"Sierra Leone","SLE",2020-09-09,2067,72,3,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-10,2069,72,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-11,2087,72,18,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-12,2096,72,9,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-13,2109,72,13,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-14,2111,72,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-15,2126,72,15,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-16,2133,72,7,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-17,2133,72,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-18,2153,72,20,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-19,2159,72,6,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-20,2168,72,9,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-21,2168,72,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-22,2174,72,6,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-23,2183,72,9,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-24,2188,72,5,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-25,2199,72,11,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-26,2208,72,9,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-27,2215,72,7,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-28,2215,72,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-29,2222,72,7,0,7813207,"SL"
"Sierra Leone","SLE",2020-09-30,2231,72,9,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-01,2238,72,7,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-02,2252,72,14,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-03,2259,72,7,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-04,2269,72,10,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-05,2269,72,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-06,2277,72,8,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-07,2287,72,10,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-08,2293,72,6,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-09,2295,72,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-10,2300,72,5,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-11,2306,72,6,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-12,2306,72,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-13,2309,72,3,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-14,2315,73,6,1,7813207,"SL"
"Sierra Leone","SLE",2020-10-15,2323,73,8,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-16,2325,73,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-17,2327,73,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-18,2330,73,3,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-19,2331,73,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-20,2336,73,5,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-21,2337,73,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-22,2340,73,3,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-23,2343,74,3,1,7813207,"SL"
"Sierra Leone","SLE",2020-10-24,2345,74,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-25,2346,74,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-26,2346,74,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-27,2350,74,4,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-28,2354,74,4,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-29,2362,74,8,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-30,2365,74,3,0,7813207,"SL"
"Sierra Leone","SLE",2020-10-31,2366,74,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-01,2366,74,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-02,2366,74,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-03,2368,74,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-04,2369,74,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-05,2371,74,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-06,2373,74,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-07,2381,74,8,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-08,2381,74,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-09,2385,74,4,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-10,2386,74,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-11,2386,74,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-12,2387,74,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-13,2389,74,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-14,2391,74,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-15,2391,74,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-16,2391,74,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-17,2392,74,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-18,2397,74,5,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-19,2397,74,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-20,2399,74,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-21,2405,74,6,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-22,2405,74,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-23,2406,74,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-24,2406,74,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-25,2408,74,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-26,2409,74,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-27,2410,74,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-28,2410,74,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-29,2411,74,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-11-30,2412,74,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-01,2413,74,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-02,2416,74,3,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-03,2416,74,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-04,2420,74,4,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-05,2420,74,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-06,2426,74,6,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-07,2428,74,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-08,2428,74,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-09,2434,74,6,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-10,2435,74,1,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-11,2438,75,3,1,7813207,"SL"
"Sierra Leone","SLE",2020-12-12,2440,75,2,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-13,2440,75,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-14,2445,75,5,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-15,2451,75,6,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-16,2460,75,9,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-17,2464,75,4,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-18,2486,75,22,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-19,2497,75,11,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-20,2509,75,12,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-21,2509,75,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-22,2518,75,9,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-23,2524,76,6,1,7813207,"SL"
"Sierra Leone","SLE",2020-12-24,2531,76,7,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-25,2549,76,18,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-26,2549,76,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-27,2560,76,11,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-28,2560,76,0,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-29,2569,76,9,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-30,2583,76,14,0,7813207,"SL"
"Sierra Leone","SLE",2020-12-31,2611,76,28,0,7813207,"SL"
"Sierra Leone","SLE",2021-01-01,2635,76,24,0,7813207,"SL"
