Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Visibility,Recovered,Fatalities,RecentCases,RecentCases14,PositiveTest14Days,PositiveTest07Days,LongCovid,StillSick,Tested,Positive,Hospital,Severe,ICU,Vaccinated,RecentVaccinated,VaccineSideEffects,RefuseVaccine,ContactsDoctors,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2020/04/16,Pakistan,PK,,,,100,5996,,,,,,,,,,,,,,,,,,,,,,,world-g-sheet,,
2020/11/12,Pakistan,PK,"Federally Administered Tribal Areas",PKTA,en,14043,14043,,,14043,14043,,,,,14043,,,,,,,,,,,,Y,,limesurvey-20175,6jkevilnq4wjk5sdrq,
2020/11/12,Pakistan,PK,"Federally Administered Tribal Areas",PKTA,en,14043,14043,,,14043,14043,,,,,14043,,,,,,,,,,,,Y,,limesurvey-20173,6jkevilnq4wjk5sdrq,
2020/11/12,Pakistan,PK,"Federally Administered Tribal Areas",PKTA,en,14043,14043,,,14043,14043,,,,,14043,,,,,,,,,,,,Y,,limesurvey-20174,6jkevilnq4wjk5sdrq,
2021/08/30,Pakistan,PK,Punjab,PKPB,en,3,0,3,,0,0,,,,,0,,,1,,,5,,5,6,,,,,limesurvey-18570,kyjlhwq8c2jmhcx8jd,
2022/01/26,Pakistan,PK,Sindh,PKSD,en,90,55,5,,7,12,,,,,9,,,10,,,5,,55,12,,,,,limesurvey-22022,rupavkrdt8v98oadgn,
2022/01/26,Pakistan,PK,Sindh,PKSD,en,90,55,5,,7,12,,,,,9,,,10,,,5,,55,12,,,,,limesurvey-22021,rupavkrdt8v98oadgn,
2022/01/26,Pakistan,PK,Sindh,PKSD,en,90,55,5,,7,12,,,,,9,,,10,,,5,,55,12,,,,,limesurvey-22023,rupavkrdt8v98oadgn,
2022/01/26,Pakistan,PK,Sindh,PKSD,en,90,55,5,,7,12,,,,,9,,,10,,,5,,55,12,,,,,limesurvey-22024,rupavkrdt8v98oadgn,
2022/07/22,Pakistan,PK,Punjab,PKPB,en,50,20,50,,1,0,,,,,0,,,0,,,50,,,,,,,,limesurvey-34319,key9iok0pmdoxj9hdb,20220721
2022/09/02,Pakistan,PK,Islamabad,PKIS,en,10,6,10,,0,0,,,,,0,,,5,,,10,,,,,,,,limesurvey-47660,key9iok0pmdoxj9hdb,20220902
2022/11/24,Pakistan,PK,Punjab,PKPB,en,3,2,1,,,0,,,,,0,,,,,,7,,,,,,,,limesurvey-80342,u0ui5eo2jig5s3tlhk,
2023/01/09,Pakistan,PK,Punjab,PKPB,en,9,5,9,,0,0,,,,,2,,,4,,,9,,,,,,,,limesurvey-97301,6zebkzz97ch87ete0c,20230105
2023/08/14,Pakistan,PK,Punjab,PKPB,en,8,0,0,,0,0,,,,,0,,,0,,,2,,,,,,,,limesurvey-121773,oe9x9rlm3cm7e1czit,
2023/12/25,Pakistan,PK,Punjab,PKPB,en,50,8,6,,1,2,,,,,0,,,1,,,5,,,,,,,,limesurvey-131758,ya1bb60slvzm8wigs1,20231225
2024/04/01,Pakistan,PK,Punjab,PKPB,en,150,35,8,,2000,1,,,,,3,,,15000,,,65,,,,,,,,limesurvey-138373,hpzuopnwuze6fo047q,20240401
2024/04/29,Pakistan,PK,Punjab,PKPB,en,35,10000,25,,7000,0,,,,,0,,,50000,,,5000,,,,,,,,limesurvey-140445,ilybx7vgozra3db92f,20240429
2024/05/27,Pakistan,PK,Punjab,PKPB,en,5000,2000,9,,900,1,,,,,7,,,1000,,,500,,,,,,,,limesurvey-142384,0yhr6v130tdr873o7c,20240527
2024/05/27,Pakistan,PK,Punjab,PKPB,en,5000,2000,9,,900,1,,,,,7,,,1000,,,500,,,,,,,,limesurvey-142385,0yhr6v130tdr873o7c,20240527
2024/07/15,Pakistan,PK,"Khyber Pakhtunkhwa",PKKP,en,8,8,15,,57,6,,,,,0,,,500,,,5,,,,,,,,limesurvey-146175,tg8h114278rzk838db,20240715
2024/07/29,Pakistan,PK,Punjab,PKPB,en,500,200,25,,2000,0,,,,,2,,,10000,,,200,,,,,,,,limesurvey-147275,fgk0gmeayei5peypn1,20240729
2024/07/29,Pakistan,PK,Punjab,PKPB,en,500,200,25,,2000,0,,,,,2,,,10000,,,200,,,,,,,,limesurvey-147276,fgk0gmeayei5peypn1,20240729
2024/08/12,Pakistan,PK,Islamabad,PKIS,en,30,8,30,,0,0,,,,,0,,,0,,,25,,,,,,,,limesurvey-148631,4sf2oeq7z5av9uohio,20240812
2024/09/30,Pakistan,PK,Punjab,PKPB,en,1200,600,7,,8000,1,,,,,7,,,10000,,,800,,,,,,,,limesurvey-152317,v8solhfmnsop2zvrku,20240930
2024/09/30,Pakistan,PK,Punjab,PKPB,en,1200,600,7,,8000,1,,,,,7,,,10000,,,800,,,,,,,,limesurvey-152318,v8solhfmnsop2zvrku,20240930
2024/10/28,Pakistan,PK,Punjab,PKPB,en,15,700,7,,700,5,,,,,1,,,1000,,,5,,,,,,,,limesurvey-154268,v8solhfmnsop2zvrku,20241028
2024/10/28,Pakistan,PK,Punjab,PKPB,en,15,700,7,,700,5,,,,,1,,,1000,,,5,,,,,,,,limesurvey-154267,v8solhfmnsop2zvrku,20241028
2024/11/25,Pakistan,PK,Punjab,PKPB,en,1000,250,9,,300,0,,,,,2,,,400,,,700,,,,,,,,limesurvey-156334,v8solhfmnsop2zvrku,20241125
2024/12/23,Pakistan,PK,Punjab,PKPB,en,15,8000,7,,4000,0,,,,,3,,,15000,,,6000,,,,,,,,limesurvey-158329,v8solhfmnsop2zvrku,20241223
