Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Visibility,Recovered,Fatalities,RecentCases,RecentCases14,PositiveTest14Days,PositiveTest07Days,LongCovid,StillSick,Tested,Positive,Hospital,Severe,ICU,Vaccinated,RecentVaccinated,VaccineSideEffects,RefuseVaccine,ContactsDoctors,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2020/04/16,Pakistan,PK,,,,100,5996,,,,,,,,,,,,,,,,,,,,,,,world-g-sheet,,
2020/11/12,Pakistan,PK,"Federally Administered Tribal Areas",PKTA,en,14043,14043,,,14043,14043,,,,,14043,,,,,,,,,,,,Y,,limesurvey-20175,6jkevilnq4wjk5sdrq,
2020/11/12,Pakistan,PK,"Federally Administered Tribal Areas",PKTA,en,14043,14043,,,14043,14043,,,,,14043,,,,,,,,,,,,Y,,limesurvey-20173,6jkevilnq4wjk5sdrq,
2020/11/12,Pakistan,PK,"Federally Administered Tribal Areas",PKTA,en,14043,14043,,,14043,14043,,,,,14043,,,,,,,,,,,,Y,,limesurvey-20174,6jkevilnq4wjk5sdrq,
2021/08/30,Pakistan,PK,Punjab,PKPB,en,3,0,3,,0,0,,,,,0,,,1,,,5,,5,6,,,,,limesurvey-18570,kyjlhwq8c2jmhcx8jd,
2022/01/26,Pakistan,PK,Sindh,PKSD,en,90,55,5,,7,12,,,,,9,,,10,,,5,,55,12,,,,,limesurvey-22022,rupavkrdt8v98oadgn,
2022/01/26,Pakistan,PK,Sindh,PKSD,en,90,55,5,,7,12,,,,,9,,,10,,,5,,55,12,,,,,limesurvey-22021,rupavkrdt8v98oadgn,
2022/01/26,Pakistan,PK,Sindh,PKSD,en,90,55,5,,7,12,,,,,9,,,10,,,5,,55,12,,,,,limesurvey-22023,rupavkrdt8v98oadgn,
2022/01/26,Pakistan,PK,Sindh,PKSD,en,90,55,5,,7,12,,,,,9,,,10,,,5,,55,12,,,,,limesurvey-22024,rupavkrdt8v98oadgn,
2022/07/22,Pakistan,PK,Punjab,PKPB,en,50,20,50,,1,0,,,,,0,,,0,,,50,,,,,,,,limesurvey-34319,key9iok0pmdoxj9hdb,20220721
2022/09/02,Pakistan,PK,Islamabad,PKIS,en,10,6,10,,0,0,,,,,0,,,5,,,10,,,,,,,,limesurvey-47660,key9iok0pmdoxj9hdb,20220902
2022/11/24,Pakistan,PK,Punjab,PKPB,en,3,2,1,,,0,,,,,0,,,,,,7,,,,,,,,limesurvey-80342,u0ui5eo2jig5s3tlhk,
2023/01/09,Pakistan,PK,Punjab,PKPB,en,9,5,9,,0,0,,,,,2,,,4,,,9,,,,,,,,limesurvey-97301,6zebkzz97ch87ete0c,20230105
2023/08/14,Pakistan,PK,Punjab,PKPB,en,8,0,0,,0,0,,,,,0,,,0,,,2,,,,,,,,limesurvey-121773,oe9x9rlm3cm7e1czit,
