Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Visibility,Recovered,Fatalities,RecentCases,RecentCases14,PositiveTest14Days,PositiveTest07Days,LongCovid,StillSick,Tested,Positive,Hospital,Severe,ICU,Vaccinated,RecentVaccinated,VaccineSideEffects,RefuseVaccine,ContactsDoctors,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2020/03/22,Chile,CL,"Región Metropolitana de Santiago",CLRM,,30,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/22,Chile,CL,,,,200,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/22,Chile,CL,,,,20,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/22,Chile,CL,"Región Metropolitana de Santiago",CLRM,,100,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/22,Chile,CL,"Región Metropolitana de Santiago",CLRM,,100,2,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/22,Chile,CL,"Región Metropolitana de Santiago",CLRM,,150,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/22,Chile,CL,"Región Metropolitana de Santiago",CLRM,,300,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/22,Chile,CL,"Región Metropolitana de Santiago",CLRM,,100,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/22,Chile,CL,"Región Metropolitana de Santiago",CLRM,,300,1,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/22,Chile,CL,"Región Metropolitana de Santiago",CLRM,,100,2,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/22,Chile,CL,"Región Metropolitana de Santiago",CLRM,,500,2,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/22,Chile,CL,"Región Metropolitana de Santiago",CLRM,,70,1,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/22,Chile,CL,"Región Metropolitana de Santiago",CLRM,,150,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/23,Chile,CL,"Región Metropolitana de Santiago",CLRM,,50,3,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/23,Chile,CL,"Región Metropolitana de Santiago",CLRM,,100,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/23,Chile,CL,"Región Metropolitana de Santiago",CLRM,,46,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/23,Chile,CL,"Región de los Ríos",CLLR,,5,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/23,Chile,CL,"Región del Biobío",CLBI,,7,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/23,Chile,CL,"Región Metropolitana de Santiago",CLRM,,100,1,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/23,Chile,CL,"Región Metropolitana de Santiago",CLRM,,100,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/23,Chile,CL,"Región Metropolitana de Santiago",CLRM,,60,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/25,Chile,CL,"Región Metropolitana de Santiago",CLRM,,300,2,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/25,Chile,CL,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/25,Chile,CL,"Región Metropolitana de Santiago",CLRM,,100,1,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/25,Chile,CL,"Región Metropolitana de Santiago",CLRM,,30,1,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/25,Chile,CL,"Región del Biobío",CLBI,,120,2,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/25,Chile,CL,"Región Metropolitana de Santiago",CLRM,,100,3,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/25,Chile,CL,"Región Metropolitana de Santiago",CLRM,,500,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/25,Chile,CL,"Región de Coquimbo",CLCO,,50,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/25,Chile,CL,"Región de Coquimbo",CLCO,,50,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/25,Chile,CL,"Región Metropolitana de Santiago",CLRM,,100,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
2020/03/25,Chile,CL,"Región Metropolitana de Santiago",CLRM,,800,0,,,,,,,,,,,,,,,,,,,,,,,CL-raw-csv,,
