"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_infected","p_infected_low","p_infected_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_recent","p_recent_low","p_recent_high","p_daily","p_daily_low","p_daily_high","p_active","p_active_low","p_active_high"
"2022/07/01","FR22",612383,1,10,1,10,0.5,0.190102483847719,0.809897516152281,0,0,0,0,0,0,0,0,0,0.2,0,0.447918012921825
"2022/07/02","FR22",612383,2,20,2,20,0.75,0.560227303217751,0.939772696782249,0,0,0,0,0,0,0,0,0,0.1,0,0.231478381086487
"2022/07/03","FR22",612383,2,20,2,20,0.75,0.560227303217751,0.939772696782249,0,0,0,0,0,0,0,0,0,0.1,0,0.231478381086487
"2022/07/04","FR22",612383,2,20,2,20,0.75,0.560227303217751,0.939772696782249,0,0,0,0,0,0,0,0,0,0.1,0,0.231478381086487
"2022/07/05","FR22",612383,2,20,2,20,0.75,0.560227303217751,0.939772696782249,0,0,0,0,0,0,0,0,0,0.1,0,0.231478381086487
"2022/07/06","FR22",612383,2,20,2,20,0.75,0.560227303217751,0.939772696782249,0,0,0,0,0,0,0,0,0,0.1,0,0.231478381086487
"2022/07/07","FR22",612383,3,24,3,24,0.791666666666667,0.629189240357544,0.954144092975789,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.193908490847963
"2022/07/08","FR22",612383,4,59,4,59,0.525423728813559,0.398005977552293,0.652841480074826,0,0,0,0.0169491525423729,0,0.049886154858338,0.00242130750605327,0,0.0149619746690698,0.0677966101694915,0.00364886223906848,0.131944358099915
"2022/07/09","FR22",612383,4,59,4,59,0.525423728813559,0.398005977552293,0.652841480074826,0,0,0,0.0169491525423729,0,0.049886154858338,0.00242130750605327,0,0.0149619746690698,0.0677966101694915,0.00364886223906848,0.131944358099915
"2022/07/10","FR22",612383,4,59,4,59,0.525423728813559,0.398005977552293,0.652841480074826,0,0,0,0.0169491525423729,0,0.049886154858338,0.00242130750605327,0,0.0149619746690698,0.0677966101694915,0.00364886223906848,0.131944358099915
"2022/07/11","FR22",612383,4,59,4,59,0.525423728813559,0.398005977552293,0.652841480074826,0,0,0,0.0169491525423729,0,0.049886154858338,0.00242130750605327,0,0.0149619746690698,0.0677966101694915,0.00364886223906848,0.131944358099915
"2022/07/12","FR22",612383,4,59,4,59,0.525423728813559,0.398005977552293,0.652841480074826,0,0,0,0.0169491525423729,0,0.049886154858338,0.00242130750605327,0,0.0149619746690698,0.0677966101694915,0.00364886223906848,0.131944358099915
