"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","ES","ESAN","ESAL",716820,NA,NA,NA,NA,0,8414240,0,0,NA,NA,50,0,0,0,0,0,0,2.98496960921236,2.98496960921236,0.0266666666666667,0.0266666666666667,47026208,0.02,0.02,0,0,100,2.98496960921236,2.98496960921236,1187,0.0266666666666667,0.0266666666666667,1187,2.75459124019819,2.75459124019819,0.0245946645946646,0.0245946645946646
"2","ES","ESAN","ESCO",782979,NA,NA,NA,NA,0,8414240,0,0,NA,NA,50,0,0,0,0,0,0,2.98496960921236,2.98496960921236,0.0266666666666667,0.0266666666666667,47026208,0.02,0.02,0,0,100,2.98496960921236,2.98496960921236,1187,0.0266666666666667,0.0266666666666667,1187,2.75459124019819,2.75459124019819,0.0245946645946646,0.0245946645946646
"3","ES","ESAN","ESGR",914678,NA,NA,NA,NA,0,8414240,0,0,NA,NA,50,0,0,0,0,0,0,2.98496960921236,2.98496960921236,0.0266666666666667,0.0266666666666667,47026208,0.02,0.02,0,0,100,2.98496960921236,2.98496960921236,1187,0.0266666666666667,0.0266666666666667,1187,2.75459124019819,2.75459124019819,0.0245946645946646,0.0245946645946646
"4","ES","ESAN","ESH",521870,NA,NA,NA,NA,0,8414240,0,0,NA,NA,50,0,0,0,0,0,0,2.98496960921236,2.98496960921236,0.0266666666666667,0.0266666666666667,47026208,0.02,0.02,0,0,100,2.98496960921236,2.98496960921236,1187,0.0266666666666667,0.0266666666666667,1187,2.75459124019819,2.75459124019819,0.0245946645946646,0.0245946645946646
"5","ES","ESAN","ESCA",1240155,0,0,NA,NA,20,8414240,0,0,NA,NA,50,0,0,0,0,0,0,2.98496960921236,2.98496960921236,0.0266666666666667,0.0266666666666667,47026208,0.02,0.02,0,0,100,2.98496960921236,2.98496960921236,1187,0.0266666666666667,0.0266666666666667,1187,2.75459124019819,2.75459124019819,0.0245946645946646,0.0245946645946646
"6","ES","ESAN","ESJ",633564,NA,NA,NA,NA,0,8414240,0,0,NA,NA,50,0,0,0,0,0,0,2.98496960921236,2.98496960921236,0.0266666666666667,0.0266666666666667,47026208,0.02,0.02,0,0,100,2.98496960921236,2.98496960921236,1187,0.0266666666666667,0.0266666666666667,1187,2.75459124019819,2.75459124019819,0.0245946645946646,0.0245946645946646
"7","ES","ESAN","ESMA",1661785,NA,NA,NA,NA,0,8414240,0,0,NA,NA,50,0,0,0,0,0,0,2.98496960921236,2.98496960921236,0.0266666666666667,0.0266666666666667,47026208,0.02,0.02,0,0,100,2.98496960921236,2.98496960921236,1187,0.0266666666666667,0.0266666666666667,1187,2.75459124019819,2.75459124019819,0.0245946645946646,0.0245946645946646
"8","ES","ESAN","ESSE",1942389,0.0125,0.0125,0,0,80,8414240,0,0,NA,NA,50,0,0,0,0,0,0,2.98496960921236,2.98496960921236,0.0266666666666667,0.0266666666666667,47026208,0.02,0.02,0,0,100,2.98496960921236,2.98496960921236,1187,0.0266666666666667,0.0266666666666667,1187,2.75459124019819,2.75459124019819,0.0245946645946646,0.0245946645946646
"9","ES","ESAR","ESTE",134137,NA,NA,NA,NA,0,1319291,0.025,0.025,0,0,80,0.02,0.02,0,0,50,50,2.98496960921236,2.98496960921236,0.0266666666666667,0.0266666666666667,47026208,0.02,0.02,0,0,100,2.98496960921236,2.98496960921236,1187,0.0266666666666667,0.0266666666666667,1187,2.75459124019819,2.75459124019819,0.0245946645946646,0.0245946645946646
"10","ES","ESAR","ESHU",220461,0.02,0.02,0,0,50,1319291,0.025,0.025,0,0,80,0.02,0.02,0,0,50,50,2.98496960921236,2.98496960921236,0.0266666666666667,0.0266666666666667,47026208,0.02,0.02,0,0,100,2.98496960921236,2.98496960921236,1187,0.0266666666666667,0.0266666666666667,1187,2.75459124019819,2.75459124019819,0.0245946645946646,0.0245946645946646
