"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"1","2020/01/01","AU",25203200,0,0,0,0,0,0,0,0,0,0
"2","2020/01/02","AU",25203200,0,0,0,0,0,0,0,0,0,0
"3","2020/01/03","AU",25203200,0,0,0,0,0,0,0,0,0,0
"4","2020/01/04","AU",25203200,0,0,0,0,0,0,0,0,0,0
"5","2020/01/05","AU",25203200,0,0,0,0,0,0,0,0,0,0
"6","2020/01/06","AU",25203200,0,0,0,0,0,0,0,0,0,0
"7","2020/01/07","AU",25203200,0,0,0,0,0,0,0,0,0,0
"8","2020/01/08","AU",25203200,0,0,0,0,0,0,0,0,0,0
"9","2020/01/09","AU",25203200,0,0,0,0,0,0,0,0,0,0
"10","2020/01/10","AU",25203200,0,0,0,0,0,0,0,0,0,0
"11","2020/01/11","AU",25203200,0,0,0,0,0,0,0,0,0,0
"12","2020/01/12","AU",25203200,0,0,0,0,0,0,0,0,0,0
"13","2020/01/13","AU",25203200,0,0,0,0,0,0,0,0,0,0
"14","2020/01/14","AU",25203200,0,0,0,0,0,0,0,0,0,0
"15","2020/01/15","AU",25203200,0,0,0,0,0,0,0,0,0,0
"16","2020/01/16","AU",25203200,0,0,0,0,0,0,0,0,0,0
"17","2020/01/17","AU",25203200,0,0,0,0,0,0,0,0,0,0
"18","2020/01/18","AU",25203200,0,0,0,0,0,0,0,0,0,0
"19","2020/01/19","AU",25203200,0,0,0,0,0,0,0,0,0,0
"20","2020/01/20","AU",25203200,0,0,0,0,0,0,0,0,0,0
"21","2020/01/21","AU",25203200,0,0,0,0,0,0,0,0,0,0
"22","2020/01/22","AU",25203200,0,0,0,0,0,0,0,0,0,0
"23","2020/01/23","AU",25203200,0,0,0,0,0,0,0,0,0,0
"24","2020/01/24","AU",25203200,0,0,0,0,0,0,0,0,0,0
"25","2020/01/25","AU",25203200,0,0,0,0,0,0,0,0,0,0
"26","2020/01/26","AU",25203200,4,0,4,0,4,4,1.5871000507872e-07,1.5871000507872e-07,1.5871000507872e-07,1.5871000507872e-07
"27","2020/01/27","AU",25203200,1,0,5,0,5,5,1.983875063484e-07,3.967750126968e-08,1.983875063484e-07,1.983875063484e-07
"28","2020/01/28","AU",25203200,0,0,5,0,5,5,1.983875063484e-07,0,1.983875063484e-07,1.983875063484e-07
"29","2020/01/29","AU",25203200,1,0,6,0,6,6,2.3806500761808e-07,3.967750126968e-08,2.3806500761808e-07,2.3806500761808e-07
"30","2020/01/30","AU",25203200,3,0,9,0,9,9,3.5709751142712e-07,1.1903250380904e-07,3.5709751142712e-07,3.5709751142712e-07
