"date","country","ISO3","ISO2","cases","deaths","cum_cases","cum_deaths","countrycode","population","cases_daily","cases_infected","cases_active","p_cases_infected","p_cases_daily","p_cases_active","p_infected","p_daily","p_active"
2021-02-28,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-01,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-02,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-03,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-04,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-05,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-06,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-07,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-08,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-09,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-10,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-11,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-12,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-13,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-14,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-15,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-16,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-17,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-18,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-19,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-20,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-21,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-22,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-23,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-24,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-25,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-26,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-27,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-28,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-29,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-30,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-03-31,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-01,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-02,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-03,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-04,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-05,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-06,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-07,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-08,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-09,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-10,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-11,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-12,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-13,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-14,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-15,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-16,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-17,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-18,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-19,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
2021-04-20,"Turkmenistan","TKM","TM",0,0,0,0,"TM",6118000,0,0,0,0,0,0,0,0,0
