"date","country","ISO3","ISO2","cases","deaths","cum_cases","cum_deaths","population","cases_daily","cases_infected","cases_active","p_cases_infected","p_cases_daily","p_cases_active"
2020-01-22,"World","OWID_WRL",NA,0,0,557,17,NA,0,0,0,NA,NA,NA
2020-01-23,"World","OWID_WRL",NA,98,1,655,18,NA,0,0,0,NA,NA,NA
2020-01-24,"World","OWID_WRL",NA,286,8,941,26,NA,0,0,0,NA,NA,NA
2020-01-25,"World","OWID_WRL",NA,493,16,1434,42,NA,0,0,0,NA,NA,NA
2020-01-26,"World","OWID_WRL",NA,684,14,2118,56,NA,0,0,0,NA,NA,NA
2020-01-27,"World","OWID_WRL",NA,809,26,2927,82,NA,0,0,0,NA,NA,NA
2020-01-28,"World","OWID_WRL",NA,2651,49,5578,131,NA,0,0,0,NA,NA,NA
2020-01-29,"World","OWID_WRL",NA,589,2,6167,133,NA,0,0,0,NA,NA,NA
2020-01-30,"World","OWID_WRL",NA,2068,38,8235,171,NA,0,0,0,NA,NA,NA
2020-01-31,"World","OWID_WRL",NA,1692,42,9927,213,NA,0,0,0,NA,NA,NA
2020-02-01,"World","OWID_WRL",NA,2111,46,12038,259,NA,0,0,0,NA,NA,NA
2020-02-02,"World","OWID_WRL",NA,4749,103,16787,362,NA,0,0,0,NA,NA,NA
2020-02-03,"World","OWID_WRL",NA,3100,64,19887,426,NA,0,0,0,NA,NA,NA
2020-02-04,"World","OWID_WRL",NA,4011,66,23898,492,NA,1667.21428571429,7939.21428571429,16672.1428571429,NA,NA,NA
2020-02-05,"World","OWID_WRL",NA,3745,72,27643,564,NA,1934.71428571429,9873.92857142857,19347.1428571429,NA,NA,NA
2020-02-06,"World","OWID_WRL",NA,3162,70,30805,634,NA,2153.57142857143,12027.5,21535.7142857143,NA,NA,NA
2020-02-07,"World","OWID_WRL",NA,3594,85,34399,719,NA,2389.85714285714,14417.3571428571,23898.5714285714,NA,NA,NA
2020-02-08,"World","OWID_WRL",NA,2731,87,37130,806,NA,2549.71428571429,16967.0714285714,25497.1428571429,NA,NA,NA
2020-02-09,"World","OWID_WRL",NA,3031,100,40161,906,NA,2717.35714285714,19684.4285714286,27173.5714285714,NA,NA,NA
2020-02-10,"World","OWID_WRL",NA,2608,107,42769,1013,NA,2845.85714285714,22530.2857142857,28458.5714285714,NA,NA,NA
2020-02-11,"World","OWID_WRL",NA,2043,100,44812,1113,NA,2802.42857142857,25332.7142857143,28024.2857142857,NA,NA,NA
2020-02-12,"World","OWID_WRL",NA,418,5,45230,1118,NA,2790.21428571429,28122.9285714286,27902.1428571429,NA,NA,NA
2020-02-13,"World","OWID_WRL",NA,15152,253,60382,1371,NA,3724.78571428571,31847.7142857143,37247.8571428571,NA,NA,NA
2020-02-14,"World","OWID_WRL",NA,6528,152,66910,1523,NA,4070.21428571429,35917.9285714286,40702.1428571429,NA,NA,NA
2020-02-15,"World","OWID_WRL",NA,2143,143,69053,1666,NA,4072.5,39990.4285714286,40725,NA,NA,NA
2020-02-16,"World","OWID_WRL",NA,2183,104,71236,1770,NA,3889.21428571429,43879.6428571429,38892.1428571429,NA,NA,NA
2020-02-17,"World","OWID_WRL",NA,2035,98,73271,1868,NA,3813.14285714286,47692.7857142857,38131.4285714286,NA,NA,NA
2020-02-18,"World","OWID_WRL",NA,1882,140,75153,2008,NA,3661.07142857143,51353.8571428571,36610.7142857143,NA,NA,NA
