"date","country","ISO3","ISO2","cases","deaths","cum_cases","cum_deaths","population","cases_daily","cases_infected","cases_active","p_cases_infected","p_cases_daily","p_cases_active"
2020-01-22,"Lower middle income","OWID_LMC",NA,0,0,NA,NA,NA,0,0,0,NA,NA,NA
2020-01-23,"Lower middle income","OWID_LMC",NA,2,0,2,NA,NA,0,0,0,NA,NA,NA
2020-01-24,"Lower middle income","OWID_LMC",NA,0,0,2,NA,NA,0,0,0,NA,NA,NA
2020-01-25,"Lower middle income","OWID_LMC",NA,1,0,3,NA,NA,0,0,0,NA,NA,NA
2020-01-26,"Lower middle income","OWID_LMC",NA,0,0,3,NA,NA,0,0,0,NA,NA,NA
2020-01-27,"Lower middle income","OWID_LMC",NA,2,0,5,NA,NA,0,0,0,NA,NA,NA
2020-01-28,"Lower middle income","OWID_LMC",NA,0,0,5,NA,NA,0,0,0,NA,NA,NA
2020-01-29,"Lower middle income","OWID_LMC",NA,0,0,5,NA,NA,0,0,0,NA,NA,NA
2020-01-30,"Lower middle income","OWID_LMC",NA,2,0,7,NA,NA,0,0,0,NA,NA,NA
2020-01-31,"Lower middle income","OWID_LMC",NA,0,0,7,NA,NA,0,0,0,NA,NA,NA
2020-02-01,"Lower middle income","OWID_LMC",NA,4,0,11,NA,NA,0,0,0,NA,NA,NA
2020-02-02,"Lower middle income","OWID_LMC",NA,2,1,13,1,NA,0,0,0,NA,NA,NA
2020-02-03,"Lower middle income","OWID_LMC",NA,3,0,16,1,NA,0,0,0,NA,NA,NA
2020-02-04,"Lower middle income","OWID_LMC",NA,0,0,16,1,NA,1.14285714285714,NA,11.4285714285714,NA,NA,NA
2020-02-05,"Lower middle income","OWID_LMC",NA,0,0,16,1,NA,1.14285714285714,7.92857142857143,11.4285714285714,NA,NA,NA
2020-02-06,"Lower middle income","OWID_LMC",NA,2,0,18,1,NA,1.14285714285714,9.07142857142857,11.4285714285714,NA,NA,NA
2020-02-07,"Lower middle income","OWID_LMC",NA,1,0,19,1,NA,1.21428571428571,10.2857142857143,12.1428571428571,NA,NA,NA
2020-02-08,"Lower middle income","OWID_LMC",NA,3,0,22,1,NA,1.35714285714286,11.6428571428571,13.5714285714286,NA,NA,NA
2020-02-09,"Lower middle income","OWID_LMC",NA,0,0,22,1,NA,1.35714285714286,13,13.5714285714286,NA,NA,NA
2020-02-10,"Lower middle income","OWID_LMC",NA,1,0,23,1,NA,1.28571428571429,14.2857142857143,12.8571428571429,NA,NA,NA
2020-02-11,"Lower middle income","OWID_LMC",NA,1,0,24,1,NA,1.35714285714286,15.6428571428571,13.5714285714286,NA,NA,NA
2020-02-12,"Lower middle income","OWID_LMC",NA,0,0,24,1,NA,1.35714285714286,17,13.5714285714286,NA,NA,NA
2020-02-13,"Lower middle income","OWID_LMC",NA,1,0,25,1,NA,1.28571428571429,18.2857142857143,12.8571428571429,NA,NA,NA
2020-02-14,"Lower middle income","OWID_LMC",NA,1,0,26,1,NA,1.35714285714286,19.6428571428571,13.5714285714286,NA,NA,NA
2020-02-15,"Lower middle income","OWID_LMC",NA,0,0,26,1,NA,1.07142857142857,20.7142857142857,10.7142857142857,NA,NA,NA
2020-02-16,"Lower middle income","OWID_LMC",NA,0,0,26,1,NA,0.928571428571429,21.6428571428571,9.28571428571429,NA,NA,NA
2020-02-17,"Lower middle income","OWID_LMC",NA,0,0,26,1,NA,0.714285714285714,22.3571428571429,7.14285714285714,NA,NA,NA
2020-02-18,"Lower middle income","OWID_LMC",NA,0,0,26,1,NA,0.714285714285714,23.0714285714286,7.14285714285714,NA,NA,NA
2020-02-19,"Lower middle income","OWID_LMC",NA,2,2,28,3,NA,0.857142857142857,23.9285714285714,8.57142857142857,NA,NA,NA
2020-02-20,"Lower middle income","OWID_LMC",NA,3,0,31,3,NA,0.928571428571429,24.8571428571429,9.28571428571429,NA,NA,NA
2020-02-21,"Lower middle income","OWID_LMC",NA,13,2,44,5,NA,1.78571428571429,26.6428571428571,17.8571428571429,NA,NA,NA
2020-02-22,"Lower middle income","OWID_LMC",NA,10,1,54,6,NA,2.28571428571429,28.9285714285714,22.8571428571429,NA,NA,NA
2020-02-23,"Lower middle income","OWID_LMC",NA,15,3,69,9,NA,3.35714285714286,32.2857142857143,33.5714285714286,NA,NA,NA
2020-02-24,"Lower middle income","OWID_LMC",NA,18,4,87,13,NA,4.57142857142857,36.8571428571429,45.7142857142857,NA,NA,NA
2020-02-25,"Lower middle income","OWID_LMC",NA,37,4,124,17,NA,7.14285714285714,44,71.4285714285714,NA,NA,NA
2020-02-26,"Lower middle income","OWID_LMC",NA,44,3,168,20,NA,10.2857142857143,54.2857142857143,102.857142857143,NA,NA,NA
2020-02-27,"Lower middle income","OWID_LMC",NA,106,7,274,27,NA,17.7857142857143,72.0714285714286,177.857142857143,NA,NA,NA
2020-02-28,"Lower middle income","OWID_LMC",NA,146,8,420,35,NA,28.1428571428571,100.214285714286,281.428571428571,NA,NA,NA
2020-02-29,"Lower middle income","OWID_LMC",NA,205,9,625,44,NA,42.7857142857143,143,427.857142857143,NA,NA,NA
2020-03-01,"Lower middle income","OWID_LMC",NA,386,11,1011,55,NA,70.3571428571429,213.357142857143,703.571428571429,NA,NA,NA
2020-03-02,"Lower middle income","OWID_LMC",NA,532,12,1543,67,NA,108.357142857143,321.714285714286,1083.57142857143,NA,NA,NA
2020-03-03,"Lower middle income","OWID_LMC",NA,839,11,2382,78,NA,168.285714285714,490,1682.85714285714,NA,NA,NA
2020-03-04,"Lower middle income","OWID_LMC",NA,619,15,3001,93,NA,212.357142857143,702.357142857143,2123.57142857143,NA,NA,NA
2020-03-05,"Lower middle income","OWID_LMC",NA,600,15,3601,108,NA,255,957.357142857143,2550,NA,NA,NA
2020-03-06,"Lower middle income","OWID_LMC",NA,1261,17,4862,125,NA,344.142857142857,1301.5,3441.42857142857,NA,NA,NA
2020-03-07,"Lower middle income","OWID_LMC",NA,1091,21,5953,146,NA,421.357142857143,1722.85714285714,4213.57142857143,NA,NA,NA
2020-03-08,"Lower middle income","OWID_LMC",NA,808,50,6761,196,NA,478,2200.85714285714,4780,NA,NA,NA
2020-03-09,"Lower middle income","OWID_LMC",NA,643,43,7404,239,NA,522.642857142857,2723.5,5226.42857142857,NA,NA,NA
2020-03-10,"Lower middle income","OWID_LMC",NA,935,55,8339,294,NA,586.785714285714,3310.28571428571,5867.85714285714,NA,NA,NA
2020-03-11,"Lower middle income","OWID_LMC",NA,1011,65,9350,359,NA,655.857142857143,3966.14285714286,6558.57142857143,NA,NA,NA
2020-03-12,"Lower middle income","OWID_LMC",NA,1110,77,10460,436,NA,727.571428571429,4693.71428571429,7275.71428571429,NA,NA,NA
2020-03-13,"Lower middle income","OWID_LMC",NA,1398,95,11858,531,NA,817,5510.71428571429,8170,NA,NA,NA
2020-03-14,"Lower middle income","OWID_LMC",NA,1561,102,13419,633,NA,913.857142857143,6424.57142857143,9138.57142857143,NA,NA,NA
2020-03-15,"Lower middle income","OWID_LMC",NA,1414,117,14833,750,NA,987.285714285714,7411.85714285714,9872.85714285714,NA,NA,NA
2020-03-16,"Lower middle income","OWID_LMC",NA,1262,130,16095,880,NA,1039.42857142857,8451.28571428571,10394.2857142857,NA,NA,NA
2020-03-17,"Lower middle income","OWID_LMC",NA,1493,140,17588,1020,NA,1086.14285714286,9537.42857142857,10861.4285714286,NA,NA,NA
2020-03-18,"Lower middle income","OWID_LMC",NA,1513,176,19101,1196,NA,1150,10687.4285714286,11500,NA,NA,NA
2020-03-19,"Lower middle income","OWID_LMC",NA,1389,158,20490,1354,NA,1206.35714285714,11893.7857142857,12063.5714285714,NA,NA,NA
2020-03-20,"Lower middle income","OWID_LMC",NA,1758,164,22248,1518,NA,1241.85714285714,13135.6428571429,12418.5714285714,NA,NA,NA
2020-03-21,"Lower middle income","OWID_LMC",NA,1440,139,23688,1657,NA,1266.78571428571,14402.4285714286,12667.8571428571,NA,NA,NA
2020-03-22,"Lower middle income","OWID_LMC",NA,1617,158,25305,1815,NA,1324.57142857143,15727,13245.7142857143,NA,NA,NA
2020-03-23,"Lower middle income","OWID_LMC",NA,1984,149,27289,1964,NA,1420.35714285714,17147.3571428571,14203.5714285714,NA,NA,NA
2020-03-24,"Lower middle income","OWID_LMC",NA,2405,138,29694,2102,NA,1525.35714285714,18672.7142857143,15253.5714285714,NA,NA,NA
2020-03-25,"Lower middle income","OWID_LMC",NA,3044,163,32738,2265,NA,1670.57142857143,20343.2857142857,16705.7142857143,NA,NA,NA
2020-03-26,"Lower middle income","OWID_LMC",NA,3218,210,35956,2475,NA,1821.14285714286,22164.4285714286,18211.4285714286,NA,NA,NA
2020-03-27,"Lower middle income","OWID_LMC",NA,3907,185,39863,2660,NA,2000.35714285714,24164.7857142857,20003.5714285714,NA,NA,NA
2020-03-28,"Lower middle income","OWID_LMC",NA,4046,194,43909,2854,NA,2177.85714285714,26342.6428571429,21778.5714285714,NA,NA,NA
2020-03-29,"Lower middle income","OWID_LMC",NA,4164,166,48073,3020,NA,2374.28571428571,28716.9285714286,23742.8571428571,NA,NA,NA
2020-03-30,"Lower middle income","OWID_LMC",NA,4333,167,52406,3187,NA,2593.64285714286,31310.5714285714,25936.4285714286,NA,NA,NA
2020-03-31,"Lower middle income","OWID_LMC",NA,4721,197,57127,3384,NA,2824.21428571429,34134.7857142857,28242.1428571429,NA,NA,NA
2020-04-01,"Lower middle income","OWID_LMC",NA,4936,232,62063,3616,NA,3068.71428571429,37203.5,30687.1428571429,NA,NA,NA
2020-04-02,"Lower middle income","OWID_LMC",NA,4829,224,66892,3840,NA,3314.42857142857,40517.9285714286,33144.2857142857,NA,NA,NA
2020-04-03,"Lower middle income","OWID_LMC",NA,4453,222,71345,4062,NA,3506.92857142857,44024.8571428571,35069.2857142857,NA,NA,NA
2020-04-04,"Lower middle income","OWID_LMC",NA,4357,249,75702,4311,NA,3715.28571428571,47740.1428571429,37152.8571428571,NA,NA,NA
2020-04-05,"Lower middle income","OWID_LMC",NA,4669,248,80371,4559,NA,3933.28571428571,51673.4285714286,39332.8571428571,NA,NA,NA
2020-04-06,"Lower middle income","OWID_LMC",NA,5204,250,85575,4809,NA,4163.28571428571,55836.7142857143,41632.8571428571,NA,NA,NA
2020-04-07,"Lower middle income","OWID_LMC",NA,3917,236,89492,5045,NA,4271.28571428571,60108,42712.8571428571,NA,NA,NA
2020-04-08,"Lower middle income","OWID_LMC",NA,4060,221,93552,5266,NA,4343.85714285714,64451.8571428571,43438.5714285714,NA,NA,NA
2020-04-09,"Lower middle income","OWID_LMC",NA,4194,290,97746,5556,NA,4413.57142857143,68865.4285714286,44135.7142857143,NA,NA,NA
2020-04-10,"Lower middle income","OWID_LMC",NA,4489,283,102235,5839,NA,4455.14285714286,73320.5714285714,44551.4285714286,NA,NA,NA
2020-04-11,"Lower middle income","OWID_LMC",NA,4569,273,106804,6112,NA,4492.5,77813.0714285714,44925,NA,NA,NA
2020-04-12,"Lower middle income","OWID_LMC",NA,4503,321,111307,6433,NA,4516.71428571429,82329.7857142857,45167.1428571429,NA,NA,NA
2020-04-13,"Lower middle income","OWID_LMC",NA,5094,241,116401,6674,NA,4571.07142857143,86900.8571428571,45710.7142857143,NA,NA,NA
