"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2020/03/22","USIN",6732219,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/23","USIN",6732219,1,21,1,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/24","USIN",6732219,1,21,1,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/25","USIN",6732219,1,21,1,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/26","USIN",6732219,2,28,2,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/27","USIN",6732219,2,28,2,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/28","USIN",6732219,2,28,2,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/29","USIN",6732219,2,28,2,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/30","USIN",6732219,2,28,2,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/31","USIN",6732219,2,28,2,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/01","USIN",6732219,2,28,2,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/02","USIN",6732219,2,28,2,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/03","USIN",6732219,2,28,2,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/04","USIN",6732219,2,28,2,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/05","USIN",6732219,2,28,2,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/06","USIN",6732219,2,28,1,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/07","USIN",6732219,2,28,1,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/08","USIN",6732219,2,28,1,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/09","USIN",6732219,2,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/10","USIN",6732219,2,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/11","USIN",6732219,2,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/12","USIN",6732219,2,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/13","USIN",6732219,2,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/14","USIN",6732219,2,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/15","USIN",6732219,2,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/16","USIN",6732219,2,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/17","USIN",6732219,2,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/18","USIN",6732219,2,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/19","USIN",6732219,2,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/20","USIN",6732219,2,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/21","USIN",6732219,2,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/22","USIN",6732219,2,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/23","USIN",6732219,2,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/24","USIN",6732219,2,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
