"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"BR",2021-03-10,204453710,0.0508744038155803,0.0294117647058824,0.00874403815580286,1258,9,0.095961240712147,18240,0.0776942995620816,0.025958628321679,18240,0.0930522633392944,0.0745791375532038,0.0745791375532038,"BRAC",803513,0.0657142857142857,0.0657142857142857,0,0,0,0,350,1,0.0657142857142857,0.0657142857142857,0,0,0,0
"BR",2021-03-10,204453710,0.0508744038155803,0.0294117647058824,0.00874403815580286,1258,9,0.095961240712147,18240,0.0776942995620816,0.025958628321679,18240,0.0930522633392944,0.0745791375532038,0.0745791375532038,"BRAL",3340932,0.25,0.25,0.01,0.01,0.015,0.015,200,1,0.25,0.25,0.01,0.01,0.015,0.015
"BR",2021-03-10,204453710,0.0508744038155803,0.0294117647058824,0.00874403815580286,1258,9,0.095961240712147,18240,0.0776942995620816,0.025958628321679,18240,0.0930522633392944,0.0745791375532038,0.0745791375532038,"BRAM",3938336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2021-03-10,204453710,0.0508744038155803,0.0294117647058824,0.00874403815580286,1258,9,0.095961240712147,18240,0.0776942995620816,0.025958628321679,18240,0.0930522633392944,0.0745791375532038,0.0745791375532038,"BRAP",766679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2021-03-10,204453710,0.0508744038155803,0.0294117647058824,0.00874403815580286,1258,9,0.095961240712147,18240,0.0776942995620816,0.025958628321679,18240,0.0930522633392944,0.0745791375532038,0.0745791375532038,"BRBA",15203934,0.0484903934126258,0.0968773946360153,0.00731930466605672,0.0824074074074074,0.00457456541628545,0.0425925925925926,1093,9,0.0484903934126258,0.0968773946360153,0.00731930466605672,0.0824074074074074,0.00457456541628545,0.0425925925925926
"BR",2021-03-10,204453710,0.0508744038155803,0.0294117647058824,0.00874403815580286,1258,9,0.095961240712147,18240,0.0776942995620816,0.025958628321679,18240,0.0930522633392944,0.0745791375532038,0.0745791375532038,"BRCE",8904459,0,0,0,0,0,0,12,1,0,0,0,0,0,0
"BR",2021-03-10,204453710,0.0508744038155803,0.0294117647058824,0.00874403815580286,1258,9,0.095961240712147,18240,0.0776942995620816,0.025958628321679,18240,0.0930522633392944,0.0745791375532038,0.0745791375532038,"BRDF",2914830,0.158918918918919,0.104345238095238,0,0,0,0,925,8,0.158918918918919,0.104345238095238,0,0,0,0
"BR",2021-03-10,204453710,0.0508744038155803,0.0294117647058824,0.00874403815580286,1258,9,0.095961240712147,18240,0.0776942995620816,0.025958628321679,18240,0.0930522633392944,0.0745791375532038,0.0745791375532038,"BRES",3929911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2021-03-10,204453710,0.0508744038155803,0.0294117647058824,0.00874403815580286,1258,9,0.095961240712147,18240,0.0776942995620816,0.025958628321679,18240,0.0930522633392944,0.0745791375532038,0.0745791375532038,"BRFN",3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2021-03-10,204453710,0.0508744038155803,0.0294117647058824,0.00874403815580286,1258,9,0.095961240712147,18240,0.0776942995620816,0.025958628321679,18240,0.0930522633392944,0.0745791375532038,0.0745791375532038,"BRGO",6610681,0.118461538461538,0.141111111111111,0.155384615384615,0.112222222222222,0.0353846153846154,0.0366666666666667,650,3,0.118461538461538,0.141111111111111,0.155384615384615,0.112222222222222,0.0353846153846154,0.0366666666666667
