"","date","p_cases","p_cases_recent","p_m_country","recent_p_m_country"
"1","2020/04/16",NA,NA,NA,NA
"2","2020/04/17",NA,NA,NA,NA
"3","2020/04/20",NA,NA,NA,NA
"4","2020/04/23",NA,NA,NA,NA
"5","2020/04/28",NA,NA,NA,NA
"6","2020/05/01",NA,NA,NA,NA
"7","2020/05/09",0,NA,0,NA
"8","2020/05/15",0.0119942343987362,0.00384615384615385,0.0119942343987362,0.00384615384615385
"9","2020/05/16",0.0125405833475267,0.00321604635331027,0.0125405833475267,0.00321604635331027
"10","2020/05/17",0.0237419060628706,0.00280495574079467,0.0237419060628706,0.00280495574079467
"11","2020/05/18",0.083684080812565,0.0268617008510857,0.083684080812565,0.0268617008510857
"12","2020/05/19",0.0292991459266816,0.00248027311392528,0.0292991459266816,0.00248027311392528
"13","2020/05/20",0.0232797729268171,0.000964529428820172,0.0232797729268171,0.000964529428820172
"14","2020/05/21",0.0308113369850121,0.000800002176298449,0.0308113369850121,0.000800002176298449
"15","2020/05/22",0.0407531523920228,0.00298014426332084,0.0407531523920228,0.00298014426332084
"16","2020/05/23",0.0385704294229295,0.00313465050001741,0.0385704294229295,0.00313465050001741
"17","2020/05/24",0.0385704294229295,0.000807519532800105,0.0385704294229295,0.000807519532800105
"18","2020/05/25",0.0356069130323267,0.000941763970525913,0.0356069130323267,0.000941763970525913
"19","2020/05/26",0.09675700949498,0.00879134750298551,0.09675700949498,0.00879134750298551
"20","2020/05/27",0.0415102413521891,0.000839213739423403,0.0415102413521891,0.000839213739423403
"21","2020/05/28",0.0415102413521891,0.000839213739423403,0.0415102413521891,0.000839213739423403
"22","2020/05/29",0.0437905945706675,0.00117475621703693,0.0437905945706675,0.00117475621703693
"23","2020/06/01",0.0437905945706675,0.000843065552341009,0.0437905945706675,0.000843065552341009
"24","2020/06/02",0.0456852332122926,0.00233119162266831,0.0456852332122926,0.00233119162266831
"25","2020/06/03",0.0483564413670802,0.00170687296807297,0.0483564413670802,0.00170687296807297
"26","2020/06/04",0.0483724389406722,0.00170663325656721,0.0483724389406722,0.00170663325656721
"27","2020/06/05",0.0529416521593749,0.0101600103302218,0.0529416521593749,0.0101600103302218
"28","2020/06/06",0.0431476254463761,0.0055606570079969,0.0431476254463761,0.0055606570079969
"29","2020/06/07",0.0716443824830479,0.0384719517738744,0.0716443824830479,0.0384719517738744
"30","2020/06/08",0.0408841648322249,0.00701024575564165,0.0408841648322249,0.00701024575564165
"31","2020/06/09",0.0365788237676274,0.00758049275697,0.0365788237676274,0.00758049275697
"32","2020/06/10",0.0607000235406917,0.0109335391123082,0.0607000235406917,0.0109335391123082
"33","2020/06/11",0.0602198851111013,0.00322967974367221,0.0602198851111013,0.00322967974367221
"34","2020/06/12",0.0550594212396438,0.0103243042776383,0.0550594212396438,0.0103243042776383
"35","2020/06/13",0.0521195063175106,0.00449425076468671,0.0510963414885497,0.00449425076468671
"36","2020/06/14",0.0552418696443155,0.00311754601069699,0.0552418696443155,0.00311754601069699
"37","2020/06/15",0.045384856093743,0.00315355809360574,0.045384856093743,0.00315355809360574
"38","2020/06/16",0.0572579802310094,0.00416072570003243,0.0572579802310094,0.00416072570003243
"39","2020/06/17",0.0582869224798689,0.00436585471958942,0.0582869224798689,0.00436585471958942
"40","2020/06/18",0.0582869224798689,0.00569217654751485,0.0582869224798689,0.00569217654751485
"41","2020/06/19",0.0680144884921742,0.0043803966724309,0.0680144884921742,0.0043803966724309
"42","2020/06/20",0.0731866699322817,0.00454836290247749,0.0731866699322817,0.00454836290247749
"43","2020/06/21",0.0664673095398394,0.00586412837514446,0.0664673095398394,0.00586412837514446
"44","2020/06/22",0.0604383191542447,0.00598978921600647,0.0604383191542447,0.00598978921600647
"45","2020/06/23",0.0711902564315435,0.00296859205613092,0.0711902564315435,0.00296859205613092
"46","2020/06/24",0.0661093864692786,0.00328931607504858,0.0661093864692786,0.00328931607504858
"47","2020/06/25",0.0477782631319941,0.0024801970290276,0.0477782631319941,0.0024801970290276
"48","2020/06/26",0.0519741036793882,0.00186998820056585,0.0519741036793882,0.00186998820056585
"49","2020/06/27",0.0637631598196148,0.00591896033855256,0.0637631598196148,0.00591896033855256
"50","2020/06/28",0.073195602349542,0.00774990604450588,0.073195602349542,0.00774990604450588
"51","2020/06/29",0.060912330518554,0.00769169479262203,0.060912330518554,0.00769169479262203
"52","2020/06/30",0.0474592846886593,0.00143437977183721,0.0474592846886593,0.00143437977183721
"53","2020/07/02",0.047195817169627,0.00143806525890143,0.047195817169627,0.00143806525890143
"54","2020/07/03",0.043923063268603,0.00361677822495319,0.043923063268603,0.00361677822495319
"55","2020/07/04",0.0657548535379468,0.00233047059418464,0.0657548535379468,0.00233047059418464
"56","2020/07/05",0.0479102740409127,0.00255727902672101,0.0479102740409127,0.00255727902672101
"57","2020/07/06",0.0438264431250508,0.0033727078327922,0.0418183102041792,0.0023686413723564
"58","2020/07/07",0.0445233486291014,0.00130099587041338,0.0445233486291014,0.00130099587041338
"59","2020/07/08",0.0351309069721068,0.00170918057314533,0.0351309069721068,0.00170918057314533
"60","2020/07/09",0.0349910211383068,0.00185813788834468,0.0349910211383068,0.00185813788834468
"61","2020/07/10",0.0492459267375093,0.00130610536843822,0.0492459267375093,0.00130610536843822
"62","2020/07/13",NA,NA,NA,NA
"63","2020/07/14",NA,NA,NA,NA
"64","2020/07/16",NA,NA,NA,NA
"65","2020/07/17",NA,NA,NA,NA
"66","2020/07/19",NA,NA,NA,NA
"67","2020/07/21",NA,NA,NA,NA
"68","2020/07/23",NA,NA,NA,NA
"69","2020/07/25",NA,NA,NA,NA
"70","2020/07/27",NA,NA,NA,NA
"71","2020/07/28",NA,NA,NA,NA
"72","2020/07/29",NA,NA,NA,NA
"73","2020/07/30",NA,NA,NA,NA
"74","2020/07/31",NA,NA,NA,NA
"75","2020/08/01",NA,NA,NA,NA
"76","2020/08/03",NA,NA,NA,NA
"77","2020/08/04",NA,NA,NA,NA
"78","2020/08/05",NA,NA,NA,NA
"79","2020/08/06",NA,NA,NA,NA
"80","2020/08/07",0.0530168893533752,0.00943969310618135,0.0530168893533752,0.00943969310618135
"81","2020/08/10",0.0383340297210789,0.00943224187161048,0.0383340297210789,0.00943224187161048
"82","2020/08/11",0.0533324545259073,0.00638211197102822,0.0533324545259073,0.00638211197102822
