"","date","p_w_country","p_m_country"
"1","2020/03/23",NA,NA
"2","2020/03/24",NA,NA
"3","2020/03/25",NA,NA
"4","2020/03/27",NA,NA
"5","2020/03/29",NA,NA
"6","2020/03/30",NA,NA
"7","2020/04/02",NA,NA
"8","2020/04/06",NA,NA
"9","2020/04/07",NA,NA
"10","2020/04/08",NA,NA
"11","2020/04/09",NA,NA
"12","2020/04/10",NA,NA
"13","2020/04/11",NA,NA
"14","2020/04/12",NA,NA
"15","2020/04/13",NA,NA
"16","2020/04/15",NA,NA
"17","2020/04/16",NA,NA
"18","2020/04/18",NA,NA
"19","2020/04/19",NA,NA
"20","2020/04/20",NA,NA
"21","2020/04/23",NA,NA
"22","2020/04/27",NA,NA
"23","2020/04/30",NA,NA
"24","2020/05/02",NA,NA
"25","2020/05/10",NA,NA
"26","2020/05/14",NA,NA
"27","2020/05/15",NA,NA
"28","2020/05/26",NA,NA
"29","2020/05/31",NA,NA
"30","2020/06/02",NA,NA
"31","2020/06/05",NA,NA
"32","2020/06/06",NA,NA
"33","2020/06/08",NA,NA
"34","2020/06/09",NA,NA
"35","2020/06/10",NA,NA
"36","2020/06/11",NA,NA
"37","2020/06/13",NA,NA
"38","2020/06/15",NA,NA
"39","2020/06/20",NA,NA
"40","2020/06/26",NA,NA
"41","2020/07/03",NA,NA
"42","2020/07/04",NA,NA
"43","2020/07/05",NA,NA
"44","2020/07/06",NA,NA
"45","2020/07/31",NA,NA
"46","2020/08/17",NA,NA
"47","2020/08/24",NA,NA
"48","2020/09/10",NA,NA
"49","2020/09/14",NA,NA
"50","2020/09/15",NA,NA
"51","2020/10/07",NA,NA
"52","2020/11/20",NA,NA
"53","2020/12/07",NA,NA
