"","date","p_w_country","p_m_country"
"1","2020/04/01",NA,NA
"2","2020/04/02",NA,NA
"3","2020/04/03",NA,NA
"4","2020/04/04",NA,NA
"5","2020/04/05",NA,NA
"6","2020/04/06",NA,NA
"7","2020/04/07",NA,NA
"8","2020/04/08",NA,NA
"9","2020/04/09",NA,NA
"10","2020/04/10",NA,NA
"11","2020/04/11",NA,NA
"12","2020/04/12",NA,NA
"13","2020/04/13",NA,NA
"14","2020/04/14",0.0236990631323415,0.0254704354235088
"15","2020/04/15",0.0270764561327543,0.0279297341547113
"16","2020/04/16",0.0270764561327543,0.0279297341547113
"17","2020/04/17",0.0278267460236045,0.0286800240455616
"18","2020/04/19",0.0282018909690297,0.0290551689909867
"19","2020/04/20",0.0334949545833165,0.0319502711243994
"20","2020/04/22",0.0381691083039486,0.0366244248450314
"21","2020/04/23",0.0405061851642646,0.0389615017053474
"22","2020/04/24",0.0405061851642646,0.0389615017053474
"23","2020/04/25",0.0405061851642646,0.0389615017053474
"24","2020/04/27",0.0405061851642646,0.0389615017053474
"25","2020/05/02",0.0405061851642646,0.0389615017053474
"26","2020/05/09",NA,NA
"27","2020/05/15",NA,NA
"28","2020/05/21",NA,NA
"29","2020/05/23",NA,NA
"30","2020/05/24",NA,NA
"31","2020/05/25",NA,NA
"32","2020/05/26",NA,NA
"33","2020/05/27",NA,NA
"34","2020/05/31",NA,NA
"35","2020/06/01",NA,NA
"36","2020/06/02",NA,NA
"37","2020/08/23",NA,NA
"38","2020/08/24",NA,NA
"39","2020/08/25",NA,NA
"40","2020/08/26",NA,NA
"41","2020/08/27",NA,NA
"42","2020/09/15",NA,NA
