"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","BR","BRAC",803513,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.116876056553027,0.116876056553027,1915,0.0207402371701419,0.0207402371701419,1780,0.116038535136004,0.116038535136004,0.0196370330653471,0.0196370330653471
"2","BR","BRAL",3340932,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.116876056553027,0.116876056553027,1915,0.0207402371701419,0.0207402371701419,1780,0.116038535136004,0.116038535136004,0.0196370330653471,0.0196370330653471
"3","BR","BRAM",3938336,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.116876056553027,0.116876056553027,1915,0.0207402371701419,0.0207402371701419,1780,0.116038535136004,0.116038535136004,0.0196370330653471,0.0196370330653471
"4","BR","BRAP",766679,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.116876056553027,0.116876056553027,1915,0.0207402371701419,0.0207402371701419,1780,0.116038535136004,0.116038535136004,0.0196370330653471,0.0196370330653471
"5","BR","BRBA",15203934,0.02,0.02,0,0,50,0.02,0.02,0,0,204453710,0.1,0.1,0,0,100,0.116876056553027,0.116876056553027,1915,0.0207402371701419,0.0207402371701419,1780,0.116038535136004,0.116038535136004,0.0196370330653471,0.0196370330653471
"6","BR","BRCE",8904459,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.116876056553027,0.116876056553027,1915,0.0207402371701419,0.0207402371701419,1780,0.116038535136004,0.116038535136004,0.0196370330653471,0.0196370330653471
"7","BR","BRDF",2914830,0.15,0.15,0,0,100,0.15,0.15,0,0,204453710,0.1,0.1,0,0,100,0.116876056553027,0.116876056553027,1915,0.0207402371701419,0.0207402371701419,1780,0.116038535136004,0.116038535136004,0.0196370330653471,0.0196370330653471
"8","BR","BRES",3929911,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.116876056553027,0.116876056553027,1915,0.0207402371701419,0.0207402371701419,1780,0.116038535136004,0.116038535136004,0.0196370330653471,0.0196370330653471
"9","BR","BRFN",3061,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.116876056553027,0.116876056553027,1915,0.0207402371701419,0.0207402371701419,1780,0.116038535136004,0.116038535136004,0.0196370330653471,0.0196370330653471
"10","BR","BRGO",6610681,0.183333333333333,0.183333333333333,0.336666666666667,0.336666666666667,300,0.183333333333333,0.183333333333333,0.336666666666667,0.336666666666667,204453710,0.1,0.1,0,0,100,0.116876056553027,0.116876056553027,1915,0.0207402371701419,0.0207402371701419,1780,0.116038535136004,0.116038535136004,0.0196370330653471,0.0196370330653471
