"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","BR","BRAC",803513,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"2","BR","BRAL",3340932,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"3","BR","BRAM",3938336,0.1,0.1,0.015,0.015,200,0.1,0.1,0.015,0.015,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"4","BR","BRAP",766679,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"5","BR","BRBA",15203934,0.005,0.005,0,0,200,0.005,0.005,0,0,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"6","BR","BRCE",8904459,0.208333333333333,0.208333333333333,0.00833333333333333,0.00833333333333333,120,0.208333333333333,0.208333333333333,0.00833333333333333,0.00833333333333333,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"7","BR","BRDF",2914830,0,0,0,0,40,0,0,0,0,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"8","BR","BRES",3929911,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"9","BR","BRFN",3061,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"10","BR","BRGO",6610681,0.166666666666667,0.166666666666667,0,0,6,0.166666666666667,0.166666666666667,0,0,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"11","BR","BRMA",6904241,0.133333333333333,0.133333333333333,0,0,30,0.133333333333333,0.133333333333333,0,0,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"12","BR","BRMG",20869101,0,0,0,0,5,0,0,0,0,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"13","BR","BRMS",2651235,0,0,0,0,15,0,0,0,0,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"14","BR","BRMT",3265486,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"15","BR","BRPA",8175113,0.11,0.11,0.05,0.05,100,0.11,0.11,0.05,0.05,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"16","BR","BRPB",3972202,0,0,0.5,0.5,10,0,0,0.5,0.5,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"17","BR","BRPE",9345173,0,0,0,0,80,0,0,0,0,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"18","BR","BRPI",3204028,0,0,0,0,7,0,0,0,0,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"19","BR","BRPR",11163018,0,0,0,0,3,0,0,0,0,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"20","BR","BRRJ",16550024,0.1,0.1,0,0,30,0.1,0.1,0,0,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"21","BR","BRRN",3442175,0.08,0.08,0,0,100,0.08,0.08,0,0,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"22","BR","BRRO",1768204,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"23","BR","BRRR",505665,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"24","BR","BRRS",11247972,0,0,0,0,4,0,0,0,0,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"25","BR","BRSC",6819190,0.00666666666666667,0.00666666666666667,0,0,300,0.00666666666666667,0.00666666666666667,0,0,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"26","BR","BRSE",2242937,0.075,0.075,0.015,0.015,200,0.075,0.075,0.015,0.015,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"27","BR","BRSP",44396484,0.00970873786407767,0.005,0,0,103,0.00970873786407767,0.005,0,0,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
"28","BR","BRTO",1515126,0.18,0.18,0.04,0.04,50,0.18,0.18,0.04,0.04,204453710,0.15,0.15,0,0,100,0.0425862070574793,0.0414863432158526,1603,0.0137969223791082,0.0137969223791082,1603,0.0488935348873396,0.047858254947159,0.0129867683932534,0.0129867683932534
