"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_contagious","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"2019/12/19","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/20","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/21","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/22","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/23","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/24","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/25","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/26","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/27","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/28","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/29","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/30","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/31","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/01","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/02","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/03","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/04","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/05","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/06","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/07","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/08","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/09","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/10","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/11","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/12","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/13","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/14","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/15","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/16","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/17","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/18","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/19","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/20","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/21","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/22","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/23","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/24","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/25","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/26","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/27","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/28","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/29","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/30","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/31","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/01","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/02","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/03","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/04","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/05","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/06","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/07","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/08","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/09","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/10","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/11","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/12","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/13","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/14","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/15","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/16","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/17","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/18","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/19","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/20","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/21","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/22","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/23","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/24","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/25","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/26","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/27","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/28","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/29","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/01","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/02","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/03","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/04","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/05","CM",25876387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/06","CM",25876387,1,0,1,0,0,0,0,0,3.86452714592652e-08,0,0,0,0,0
"2020/03/07","CM",25876387,0,0,1,0,0,0,0,0,3.86452714592652e-08,0,0,0,0,0
"2020/03/08","CM",25876387,1,0,2,0,0,0,0,0,7.72905429185303e-08,0,0,0,0,0
"2020/03/09","CM",25876387,0,0,2,0,0,0,0,0,7.72905429185303e-08,0,0,0,0,0
"2020/03/10","CM",25876387,0,0,2,0,0,0,0,0,7.72905429185303e-08,0,0,0,0,0
"2020/03/11","CM",25876387,0,0,2,0,0,0,0,0,7.72905429185303e-08,0,0,0,0,0
"2020/03/12","CM",25876387,0,0,2,0,72.463768115942,72.463768115942,72.463768115942,72.463768115942,7.72905429185303e-08,0,2.80038198980182e-06,2.80038198980182e-06,2.80038198980182e-06,2.80038198980182e-06
"2020/03/13","CM",25876387,0,0,2,0,72.463768115942,0,72.463768115942,72.463768115942,7.72905429185303e-08,0,2.80038198980182e-06,0,2.80038198980182e-06,2.80038198980182e-06
"2020/03/14","CM",25876387,0,0,2,0,144.927536231884,72.463768115942,144.927536231884,144.927536231884,7.72905429185303e-08,0,5.60076397960365e-06,2.80038198980182e-06,5.60076397960365e-06,5.60076397960365e-06
"2020/03/15","CM",25876387,0,0,2,0,144.927536231884,0,144.927536231884,144.927536231884,7.72905429185303e-08,0,5.60076397960365e-06,0,5.60076397960365e-06,5.60076397960365e-06
"2020/03/16","CM",25876387,2,0,4,0,434.782608695652,289.855072463768,434.782608695652,434.782608695652,1.54581085837061e-07,0,1.68022919388109e-05,1.12015279592073e-05,1.68022919388109e-05,1.68022919388109e-05
"2020/03/17","CM",25876387,6,0,10,0,434.782608695652,0,434.782608695652,434.782608695652,3.86452714592652e-07,0,1.68022919388109e-05,0,1.68022919388109e-05,1.68022919388109e-05
"2020/03/18","CM",25876387,0,0,10,0,434.782608695652,0,434.782608695652,434.782608695652,3.86452714592652e-07,0,1.68022919388109e-05,0,1.68022919388109e-05,1.68022919388109e-05
"2020/03/19","CM",25876387,3,0,13,0,434.782608695652,0,434.782608695652,434.782608695652,5.02388528970447e-07,0,1.68022919388109e-05,0,1.68022919388109e-05,1.68022919388109e-05
"2020/03/20","CM",25876387,7,0,20,0,507.246376811594,72.463768115942,507.246376811594,507.246376811594,7.72905429185303e-07,0,1.96026739286128e-05,2.80038198980182e-06,1.96026739286128e-05,1.96026739286128e-05
"2020/03/21","CM",25876387,7,0,27,0,579.710144927536,72.4637681159421,579.710144927536,579.710144927536,1.04342232940016e-06,0,2.24030559184146e-05,2.80038198980182e-06,2.24030559184146e-05,2.24030559184146e-05
"2020/03/22","CM",25876387,13,0,40,0,652.173913043478,72.463768115942,652.173913043478,652.173913043478,1.54581085837061e-06,0,2.52034379082164e-05,2.80038198980182e-06,2.52034379082164e-05,2.52034379082164e-05
"2020/03/23","CM",25876387,16,0,56,0,652.173913043478,0,652.173913043478,652.173913043478,2.16413520171885e-06,0,2.52034379082164e-05,0,2.52034379082164e-05,2.52034379082164e-05
"2020/03/24","CM",25876387,10,0,66,0,652.173913043478,0,579.710144927536,652.173913043478,2.5505879163115e-06,0,2.52034379082164e-05,0,2.24030559184146e-05,2.52034379082164e-05
"2020/03/25","CM",25876387,9,1,75,1,652.173913043478,0,579.710144927536,652.173913043478,2.89839535944489e-06,3.86452714592652e-08,2.52034379082164e-05,0,2.24030559184146e-05,2.52034379082164e-05
"2020/03/26","CM",25876387,0,0,75,1,724.63768115942,72.463768115942,579.710144927536,724.63768115942,2.89839535944489e-06,3.86452714592652e-08,2.80038198980182e-05,2.80038198980182e-06,2.24030559184146e-05,2.80038198980182e-05
"2020/03/27","CM",25876387,16,1,91,2,724.63768115942,0,579.710144927536,724.63768115942,3.51671970279313e-06,7.72905429185303e-08,2.80038198980182e-05,0,2.24030559184146e-05,2.80038198980182e-05
"2020/03/28","CM",25876387,0,0,91,2,869.565217391304,144.927536231884,434.782608695652,869.565217391304,3.51671970279313e-06,7.72905429185303e-08,3.36045838776219e-05,5.60076397960365e-06,1.68022919388109e-05,3.36045838776219e-05
"2020/03/29","CM",25876387,48,4,139,6,869.565217391304,0,434.782608695652,869.565217391304,5.37169273283786e-06,2.31871628755591e-07,3.36045838776219e-05,0,1.68022919388109e-05,3.36045838776219e-05
"2020/03/30","CM",25876387,0,0,139,6,869.565217391304,0,434.782608695652,797.101449275362,5.37169273283786e-06,2.31871628755591e-07,3.36045838776219e-05,0,1.68022919388109e-05,3.08042018878201e-05
