"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_active","p_cum_cases","p_cum_deaths","p_infected","p_daily","p_active"
"2019/12/21","GF",268700,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/22","GF",268700,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/23","GF",268700,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/24","GF",268700,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/25","GF",268700,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/26","GF",268700,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/27","GF",268700,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/28","GF",268700,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/29","GF",268700,0,0,0,0,72.463768115942,72.463768115942,72.463768115942,0,0,0.000269682799091708,0.000269682799091708,0.000269682799091708
"2019/12/30","GF",268700,0,0,0,0,72.463768115942,0,72.463768115942,0,0,0.000269682799091708,0,0.000269682799091708
"2019/12/31","GF",268700,0,0,0,0,72.463768115942,0,72.463768115942,0,0,0.000269682799091708,0,0.000269682799091708
"2020/01/01","GF",268700,0,0,0,0,72.463768115942,0,72.463768115942,0,0,0.000269682799091708,0,0.000269682799091708
"2020/01/02","GF",268700,0,0,0,0,72.463768115942,0,72.463768115942,0,0,0.000269682799091708,0,0.000269682799091708
"2020/01/03","GF",268700,0,0,0,0,72.463768115942,0,72.463768115942,0,0,0.000269682799091708,0,0.000269682799091708
"2020/01/04","GF",268700,0,0,0,0,72.463768115942,0,72.463768115942,0,0,0.000269682799091708,0,0.000269682799091708
"2020/01/05","GF",268700,0,0,0,0,72.463768115942,0,72.463768115942,0,0,0.000269682799091708,0,0.000269682799091708
"2020/01/06","GF",268700,0,0,0,0,72.463768115942,0,72.463768115942,0,0,0.000269682799091708,0,0.000269682799091708
"2020/01/07","GF",268700,0,0,0,0,72.463768115942,0,72.463768115942,0,0,0.000269682799091708,0,0.000269682799091708
"2020/01/08","GF",268700,0,0,0,0,72.463768115942,0,0,0,0,0.000269682799091708,0,0
"2020/01/09","GF",268700,0,0,0,0,72.463768115942,0,0,0,0,0.000269682799091708,0,0
"2020/01/10","GF",268700,0,0,0,0,72.463768115942,0,0,0,0,0.000269682799091708,0,0
"2020/01/11","GF",268700,160,1,160,1,72.463768115942,0,0,0.000595459620394492,3.72162262746558e-06,0.000269682799091708,0,0
"2020/01/12","GF",268700,0,0,160,1,72.463768115942,0,0,0.000595459620394492,3.72162262746558e-06,0.000269682799091708,0,0
"2020/01/13","GF",268700,0,0,160,1,72.463768115942,0,0,0.000595459620394492,3.72162262746558e-06,0.000269682799091708,0,0
"2020/01/14","GF",268700,0,0,160,1,72.463768115942,0,0,0.000595459620394492,3.72162262746558e-06,0.000269682799091708,0,0
"2020/01/15","GF",268700,0,0,160,1,72.463768115942,0,0,0.000595459620394492,3.72162262746558e-06,0.000269682799091708,0,0
"2020/01/16","GF",268700,0,0,160,1,72.463768115942,0,0,0.000595459620394492,3.72162262746558e-06,0.000269682799091708,0,0
"2020/01/17","GF",268700,0,0,160,1,72.463768115942,0,0,0.000595459620394492,3.72162262746558e-06,0.000269682799091708,0,0
"2020/01/18","GF",268700,0,0,160,1,72.463768115942,0,0,0.000595459620394492,3.72162262746558e-06,0.000269682799091708,0,0
"2020/01/19","GF",268700,0,0,160,1,72.463768115942,0,0,0.000595459620394492,3.72162262746558e-06,0.000269682799091708,0,0
"2020/01/20","GF",268700,0,0,160,1,72.463768115942,0,0,0.000595459620394492,3.72162262746558e-06,0.000269682799091708,0,0
"2020/01/21","GF",268700,0,0,160,1,72.463768115942,0,0,0.000595459620394492,3.72162262746558e-06,0.000269682799091708,0,0
"2020/01/22","GF",268700,0,0,160,1,72.463768115942,0,0,0.000595459620394492,3.72162262746558e-06,0.000269682799091708,0,0
"2020/01/23","GF",268700,0,0,160,1,72.463768115942,0,0,0.000595459620394492,3.72162262746558e-06,0.000269682799091708,0,0
"2020/01/24","GF",268700,0,0,160,1,72.463768115942,0,0,0.000595459620394492,3.72162262746558e-06,0.000269682799091708,0,0
"2020/01/25","GF",268700,0,0,160,1,72.463768115942,0,0,0.000595459620394492,3.72162262746558e-06,0.000269682799091708,0,0
"2020/01/26","GF",268700,0,0,160,1,217.391304347826,144.927536231884,144.927536231884,0.000595459620394492,3.72162262746558e-06,0.000809048397275125,0.000539365598183417,0.000539365598183417
"2020/01/27","GF",268700,0,0,160,1,217.391304347826,0,144.927536231884,0.000595459620394492,3.72162262746558e-06,0.000809048397275125,0,0.000539365598183417
"2020/01/28","GF",268700,0,0,160,1,217.391304347826,0,144.927536231884,0.000595459620394492,3.72162262746558e-06,0.000809048397275125,0,0.000539365598183417
