"Country","Cookie","Count"
"Germany","v436wxfnuckbhthkzv",18
"Germany","wy87h7xzk6kb9gbtdy",11
"Germany","zh61vzghszkc8226l2",7
"Germany","i9731ihs7lkbqrqshw",6
"Germany","59h2qoiz0xkb690hdw",4
"Germany","kuotb4ejplkcvvzib5",4
"Germany","1dhgdn51nikb4sm1co",3
"Germany","5ton7wrts1kcaet6ww",3
"Germany","bi86tc7nsrkb852ott",3
"Germany","kpflsmx0f4kb3vqs4v",3
"Germany","su6z4n69lkkwthpi4v",3
"Germany","vltu2zplj1esk9f8uz",3
"Germany","yzfxqzwtojkb8b5nbt",3
"Germany","3e9kv1vjmlkb90wy9h",2
"Germany","6681u9rzimkb3azuyp",2
"Germany","7jgp9lfl7s83yahjdk",2
"Germany","9bssn6k6fikb98lkks",2
"Germany","c0mvvxykzxkc8t77bb",2
"Germany","caf5q96ve0kb95zado",2
"Germany","cv63f0nx6gl8rqr6ug",2
"Germany","g18wmcwvgpkb2p3a6l",2
"Germany","gk3ftcxi85kca6n94r",2
"Germany","jl3ugrm923kb3dy5qv",2
"Germany","lspzy1n5tjkb95z5gi",2
"Germany","lxii3u8lupkb83y5tb",2
"Germany","ugyn67d6krkb89aze0",2
"Germany","w8h6vb8iqhkb83p57p",2
"Germany","yln5v17qnvkc985wzk",2
"Germany","026hj3t37fkb2sa0oe",1
"Germany","0748t3xi7rkca5btpm",1
"Germany","07me0fpfoaw1i7xvte",1
"Germany","0at6ndgotykb3akrek",1
"Germany","0aw7svmir37df3y2s3",1
"Germany","0c7uwukkrakbgb8yuh",1
"Germany","0uqufhbttro2wkkjir",1
"Germany","0v1svifhlarzg19ynk",1
"Germany","0v7qgbpeve6cerdkin",1
"Germany","0xf80816pij3szhqmo",1
"Germany","14bww4yhgzbl1fnm8w",1
"Germany","17jcpqaa0zkagr0ebi",1
"Germany","17wr7fpmjleg0u4qwf",1
"Germany","191wi9eiplcihchhqw",1
"Germany","1ld3ki0ph0s310wna6",1
"Germany","1oxlgq0mbxkb8frmxp",1
"Germany","1rza1bd9rvn0duiahw",1
"Germany","1swuxpqv7gkzom44ue",1
"Germany","1vmlm6c229tkzdgs2d",1
"Germany","1xryp0mt26kb3j3pl8",1
"Germany","216x68rqxj13dt9ore",1
"Germany","28pzwvmwdrkca7ilt5",1
"Germany","2kn7tyfil6kb3aw30p",1
"Germany","2krucove3okfpw1yz0",1
"Germany","2l1gngpat7iv5er7u2",1
"Germany","2lcdhgzrf9kb6b1uyf",1
"Germany","2r204pmtvhlf0tj3rg",1
"Germany","2x2yms0kzinxtdcl0h",1
"Germany","2xg18de80g6y2gdk1e",1
"Germany","373v8jhdk8kagqyeeo",1
"Germany","39ocxrz0s6kb84hhbt",1
"Germany","3ar1w5ctdzka86ex6k",1
"Germany","3j3k5aicmhkb670p74",1
"Germany","3m4veapw5mkb98cbaz",1
"Germany","3rfih2zslxka2z8tyu",1
"Germany","3v8my9wxwf9yq1a41q",1
"Germany","3vh119u86cn2psu6y8",1
"Germany","3yixllb17sfobw6ado",1
"Germany","42attg2ehaka2w1vwh",1
"Germany","44ch91nf7c9hzwfgl1",1
"Germany","44gl5krlvhoq6w8zkf",1
"Germany","4pgzz11bhybatyynnq",1
"Germany","4py0icuwvmk5vuktxn",1
