ISO2,ISO_3,country_agg,region_agg,date,first_date,count,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope
MM,MMR,Myanmar,Mandalay,2020-05-03,2020-04-30,100,0.01,0.0195013954179879,0.00430004876134549,3.7588942828835e-05,0,0,0,0,0.00592189500640205,0.0019024716175559,0.00364535765270406,0.00689024374474177,0.00334513189653597,2.51836498366821e-05,0.000479466183363871,0.000935025963133235,0.00066090140942536,5.16431820400402e-06,0.00243271071129599,0.00109807358705253,,,,,
MM,MMR,Myanmar,Mandalay,2020-05-04,2020-05-03,100,0.01,0.0195013954179879,0.00905228310232598,7.89416112939876e-05,0,0,0,0,0.00214329454990814,0.00112150192361392,0.00352724226807892,0.00660719415756377,0.00346372418696027,2.53009621815118e-05,0.00054185610815339,0.00105669502247513,0.000744680448772448,5.82349505218155e-06,0.00238854281108982,0.00108336985007636,,,,,
MM,MMR,Myanmar,Mandalay,2020-05-05,2020-05-04,100,0,0,0,0,0,0,0,0,0.00172143974960876,0.00101641121280369,0.00343962109281744,0.00637551092251372,0.00362393221939813,2.56471938713105e-05,0.00060488387697275,0.00117960796668111,0.000827792674829227,6.48061139594195e-06,0.00235881655852808,0.00107217570902338,,,,,
MM,MMR,Myanmar,Mandalay,2020-05-06,2020-05-05,100,0,0,0,0,0,0,0,0,0.0028169014084507,0.00133715801469582,0.0033838571419416,0.00619848709655638,0.00382370785579527,2.62165896969723e-05,0.000666393938186454,0.00129956116927242,0.000906519404816615,7.10813216914422e-06,0.00234650413942222,0.00106528813308012,,,,,
MM,MMR,Myanmar,Mandalay,2020-05-07,2020-05-07,134,0,0,0,0,0,0,0,0,0.000873457801069986,0.000604999859316638,0.0033589313319382,0.00607564145588564,0.00405662494981786,2.69802145331043e-05,0.00072398721253795,0.00141187609092694,0.000976554392000185,7.67444425892459e-06,0.00235269929877075,0.00106317217976853,,,,,
MM,MMR,Myanmar,Mandalay,2020-05-08,2020-05-07,100,0,0,0,0,0,0,0,0,0.00205399061032864,0.00107482076951694,0.00336130548526452,0.00600260692309098,0.00431144704713871,2.7884879396779e-05,0.000775260163455545,0.00151186549993605,0.00103331017116479,8.14629755800422e-06,0.00237892258876139,0.00106626778967755,,,,,
MM,MMR,Myanmar,Mandalay,2020-05-09,2020-05-08,100,0,0,0,0,0,0,0,0,0.000151446312282296,0.000296806839960864,0.00338481448830292,0.00597096710557197,0.00457201306394375,2.88530305711572e-05,0.000818122989759309,0.00159545399238428,0.00107237239189745,8.49232309292935e-06,0.00242562096148145,0.00107474027297457,-4.34238607335243e-05,0.000204480194567964,5.64428010659063e-05,6.85784970786817e-05,-1.18162496908999e-06
MM,MMR,Myanmar,Mandalay,2020-05-10,2020-05-09,100,0,0,0,0,0,0,0,0,0.000296515937731653,0.000410881642054855,0.00342129536420191,0.00596936042523134,0.00481880581353423,2.97916053348618e-05,0.00085115119106558,0.00165986359374613,0.00109006379846359,8.68727825985365e-06,0.00249199703445783,0.0010883967407795,-1.76578173128344e-05,0.000225846937762326,5.15491804853651e-05,5.756389161519e-05,1.72423705613352e-05
MM,MMR,Myanmar,Mandalay,2020-05-11,2020-05-10,100,0.01,0.0195013954179879,0.0138810837253924,0.000108269929538319,0.01,0.0195013954179879,0.0138810837253924,0.000108269929538319,0.00134851663170512,0.000880420445025674,0.00346075092394833,0.0059834647798781,0.00502884291985233,3.05912535921469e-05,0.000873892741944873,0.00170421279135766,0.00108403378902363,8.71631514821958e-06,0.00257616552471431,0.00110668413591642,3.52163852181539e-06,0.000234151783409034,4.48348108286873e-05,4.27068523657343e-05,3.6224827697705e-05
MM,MMR,Myanmar,Mandalay,2020-05-12,2020-05-11,100,0,0,0,0,0,0,0,0,0.00572666769849869,0.0018399334189616,0.00349293254004957,0.00599853786596959,0.00517920100577666,3.11447247090084e-05,0.000887033952166247,0.00172983998503745,0.0010537517115414,8.57829591352593e-06,0.00267525656054648,0.00112872708171469,1.81792330179958e-05,0.000225915524996899,3.67733356632988e-05,2.45387177874637e-05,5.47920701873761e-05
MM,MMR,Myanmar,Mandalay,2020-05-13,2020-05-12,100,0,0,0,0,0,0,0,0,0.00091855480710349,0.000734645777637984,0.0035093802851445,0.00600269817609203,0.00525167194207778,3.1370617154333e-05,0.000892336121919561,0.00174017995593072,0.00100077138768301,8.28714291237164e-06,0.00278548400774092,0.00115332417586386,2.50748255343838e-05,0.000199174498709987,2.80581515636018e-05,4.03616594713828e-06,7.21307848283613e-05
MM,MMR,Myanmar,Mandalay,2020-05-14,2020-05-13,100,0.02,0.0274394957835608,0.034984876046635,0.000156714751381102,0,0,0,0,0.00509439616421936,0.00170801738074944,0.00350439537380746,0.00598809451389494,0.0052347388505583,3.12216893453574e-05,0.000892301240681101,0.00174011193264834,0.000928665571069044,7.87052121221352e-06,0.00290269789830588,0.00117911428432641,2.3848314757156e-05,0.000153881967236598,1.95068462042594e-05,-1.74407666826236e-05,8.72958849240805e-05
MM,MMR,Myanmar,Mandalay,2020-05-15,2020-05-14,100,0.01,0.0195013954179879,0.0194427352420173,0.000123962577564113,0,0,0,0,0.00474425500370645,0.00163986641988236,0.00347651650245913,0.00595318809601991,0.0051268546829185,3.07007571880183e-05,0.000889602280223231,0.00173484858313769,0.000842602232853765,7.36579095738358e-06,0.00302272878045185,0.00120468480398547,1.5283669026035e-05,9.24736031624581e-05,1.19132150773203e-05,-3.82950265072808e-05,9.95179698284002e-05
MM,MMR,Myanmar,Mandalay,2020-05-16,2020-05-15,100,0,0,0,0,0,0,0,0,0.00103780578206079,0.000768404117449334,0.00342847435509372,0.00590201535758348,0.00493751634208781,2.98612514657572e-05,0.000886686385839724,0.0017291621822007,0.000748837285229955,6.81595262819132e-06,0.00314196113490124,0.00122878224929097,1.1964984819674e-06,1.97850880922647e-05,5.92253246235718e-06,-5.6871085538939e-05,0.000108327350073901
MM,MMR,Myanmar,Mandalay,2020-05-17,2020-05-16,100,0,0,0,0,0,0,0,0,0.00264084507042254,0.00121837379924112,0.00336649134679591,0.00584354800750956,0.00468669626956688,2.88042519871842e-05,0.000884578052532639,0.00172505063805127,0.000653477214082426,6.25928168978207e-06,0.00325754378029422,0.00125041556256591,-1.57099295254042e-05,-5.70244417142417e-05,1.78088509796085e-06,-7.17594291568679e-05,0.000113563042596652
MM,MMR,Myanmar,Mandalay,2020-05-18,2020-05-17,100,0,0,0,0,0,0,0,0,0.00326167531504818,0.00136071776889492,0.00329901493048384,0.00578936086140921,0.00440227637374901,2.76626078725521e-05,0.000882763426149985,0.00172151186338886,0.000561762299511692,5.72448347802275e-06,0.00336747381263098,0.00126893966607888,-3.23196015942892e-05,-0.000129487438671275,-7.11754336043635e-07,-8.19982353382843e-05,0.000115369542014083
MM,MMR,Myanmar,Mandalay,2020-05-19,2020-05-18,100,0,0,0,0,0,0,0,0,0.00696965296936257,0.0019648069564581,0.00323517318299017,0.00575075001387577,0.00411677055764769,2.65826168163518e-05,0.000879699025100952,0.00171553585373121,0.000477973836783557,5.23204745323e-06,0.00347043335217054,0.00128406718914624,-4.57011836923883e-05,-0.000189150230738348,-2.10618280310156e-06,-8.71329251499097e-05,0.000114158224071603
MM,MMR,Myanmar,Mandalay,2020-05-20,2020-05-19,100,0,0,0,0,0,0,0,0,0.0033680342927128,0.00140501403205838,0.00318354431871299,0.00573766538760233,0.00386329455678408,2.5707987811127e-05,0.000873068889908508,0.00170260616492496,0.00040507808359485,4.79278747130695e-06,0.00356515758476929,0.00129575781498203,-5.3475175849078e-05,-0.00022857404896237,-3.20539179543223e-06,-8.72645812456991e-05,0.000110409947743902
MM,MMR,Myanmar,Mandalay,2020-05-21,2020-05-20,100,0,0,0,0,0,0,0,0,0.00148257968865827,0.000918214105445834,0.00315015459031929,0.00575534035307352,0.00367145833476037,2.51567056653747e-05,0.000860134984429608,0.00167738324442067,0.000345043282187375,4.40892149994896e-06,0.00365023583538359,0.00130417099231337,-5.43936520233064e-05,-0.000242566058026355,-4.91121596560375e-06,-8.29264917777316e-05,0.000104584509155289
MM,MMR,Myanmar,Mandalay,2020-05-22,2020-05-21,100,0.01,0.0195013954179879,0.00195192352215389,3.93603933662668e-05,0.01,0.0195013954179879,0.00195192352215389,3.93603933662668e-05,0.00278755868544601,0.0012516680131677,0.00313886053910438,0.00580552611941091,0.00356362544310081,2.50112031529267e-05,0.000839191993564915,0.0016365414898119,0.000298452906552431,4.0793106746768e-06,0.00372330680414469,0.00130944411861043,-4.82689693315556e-05,-0.000228981816497834,-7.91573204580143e-06,-7.50640631129205e-05,9.68909448739092e-05
MM,MMR,Myanmar,Mandalay,2020-05-23,2020-05-23,100,0,0,0,0,0,0,0,0,0.00847944811727508,0.0021544704047102,0.00315176521357314,0.00588752513747254,0.00355344516190694,2.53145605784847e-05,0.000810336121968332,0.00158026851359833,0.000265391704060251,3.80517118644519e-06,0.00378095565959824,0.00131161223959142,-3.57876888704606e-05,-0.000188875184609991,-1.23736550940511e-05,-6.46809183370291e-05,8.72353132173372e-05
MM,MMR,Myanmar,Mandalay,2020-05-24,2020-05-23,100,0,0,0,0,0,0,0,0,0.000293427230046948,0.000406602253072662,0.00319031910007989,0.00600031424228232,0.00364693090123215,2.6080173034182e-05,0.000775832203196114,0.00151298105725362,0.000247471924883553,3.60041726143958e-06,0.00381865141018076,0.00131049602190298,-1.81159717339906e-05,-0.000125890912086143,-1.78218704923117e-05,-5.23817291046898e-05,7.51962662582977e-05
