ISO2,ISO_3,country,region,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
UG,UGA,Uganda,Central,2020-05-30,2020-05-08,9,23,101,1886971.05403555,0,0,0,2,21767.1938203823,1,2657.88137109102,71,2926.77605321508,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,Central,2020-05-31,2020-05-09,6,23,102,1832357.07648836,0,0,0,2,21767.1938203823,1,2657.88137109102,67,2987.12195121951,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,Central,2020-06-01,2020-05-11,6,22,102,2031161.71001732,0,0,0,2,21767.1938203823,1,2657.88137109102,68,2987.12195121951,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,Central,2020-06-02,2020-05-11,4,23,106,2082310.63633817,0,0,0,2,21767.1938203823,1,2657.88137109102,68,3107.81374722838,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,Central,2020-06-03,2020-05-13,5,22,100,2120303.19031415,0,0,0,2,21767.1938203823,1,2657.88137109102,66,2926.77605321508,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,Central,2020-06-04,2020-05-13,2,23,102,2161333.05169412,0,0,0,2,21767.1938203823,1,2657.88137109102,67,2987.12195121951,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,Central,2020-06-05,2020-05-14,4,23,102,2002659.16214323,0,0,0,2,21767.1938203823,1,2657.88137109102,67,2956.9490022173,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,Central,2020-06-06,2020-05-14,1,24,103,2020112.59475761,0,0,0,2,21767.1938203823,1,2657.88137109102,67,2987.12195121951,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,Central,2020-06-07,2020-05-15,2,24,100,1969577.07543648,0,0,0,2,21767.1938203823,1,2657.88137109102,48,2896.60310421286,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,Central,2020-06-08,2020-05-15,1,25,101,2099532.11384062,0,0,0,2,21767.1938203823,1,2657.88137109102,48,2926.77605321508,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,Central,2020-06-09,2020-05-16,2,25,100,2176472.42046418,0,0,0,2,21767.1938203823,1,2657.88137109102,48,2896.60310421286,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,Central,2020-06-10,2020-05-17,5,25,101,2205253.98459444,0,0,0,2,21767.1938203823,1,2657.88137109102,48,2896.60310421286,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,Central,2020-06-11,2020-05-19,5,24,100,2380357.74498071,0,0,0,2,21767.1938203823,1,2657.88137109102,49,2866.43015521064,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,Central,2020-06-12,2020-05-20,2,24,100,2267327.8422096,0,0,0,2,21767.1938203823,1,2657.88137109102,49,2866.43015521064,0,0,,,,0,0,0,0.0197183098591549,0.0124870460148915,0.0269495737034183,0.0104235713306067,0.0103867563933434,0.01046038626787,0.00985915492957747,0.00472023024666716,0.0149980796124878,0.00127276930083271,0.00125984552507854,0.00128569307658688,0.0201619515004093,0.0188050219677405,0.0215188810330781,,,
