ISO2,ISO_3,country,region,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
GP,GLP,Guadeloupe,Basse-Terre,2021-03-18,2020-12-12,2,59,100,1567992.44119586,0,0,0,3,69476.2542858861,1,55527.5832462616,16,737.5,0,29,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,Basse-Terre,2021-03-20,2020-12-14,2,59,100,1556013.67205894,0,0,0,3,69476.2542858861,1,55527.5832462616,17,737.5,0,29,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,Basse-Terre,2021-03-21,2020-12-16,1,59,100,1580801.68281771,0,0,0,3,69476.2542858861,1,55527.5832462616,17,737.5,0,29,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,Basse-Terre,2021-03-23,2020-12-20,2,58,100,1569229.38482497,0,0,0,3,69476.2542858861,1,55527.5832462616,17,737.5,0,28,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,Basse-Terre,2021-03-26,2020-12-20,1,59,101,1582751.80419498,0,0,0,3,69476.2542858861,1,55527.5832462616,17,745.694444444445,0,28,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,Basse-Terre,2021-03-27,2020-12-22,3,59,101,1607940.37174337,0,0,0,3,69476.2542858861,1,55527.5832462616,17,737.5,0,26,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,Basse-Terre,2021-03-28,2020-12-22,1,60,102,1628315.76516914,0,0,0,3,69476.2542858861,1,55527.5832462616,17,737.5,0,26,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,Basse-Terre,2021-03-29,2020-12-23,1,60,100,1597334.3806578,0,0,0,3,69476.2542858861,1,55527.5832462616,18,721.111111111111,0,26,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,Basse-Terre,2021-03-31,2020-12-24,2,60,100,1602343.39266178,0,0,0,3,69476.2542858861,1,55527.5832462616,18,729.305555555556,0,26,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,Basse-Terre,2021-08-26,2021-06-10,2,54,100,1808122.68779052,15,82,4,1,9196.9114815935,1,9196.9114815935,26,2692.62555066079,4,30,,,,,,,,,,,,,,,,,,,,,,,,
