ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
AR,ARG,Argentina,Buenos Aires,2020-05-01,2020-05-01,716,716,1,0.00279329608938548,0.00386582919246447,0.00379824020456411,3.3806617277085e-05,0.00139664804469274,0.0027354676206399,0.00140660344246579,2.05976196527237e-05,0.00300234722092996,0.000507579036083865,1,0,,,0.00306838956312266,,,0.00306838956312266
AR,ARG,Argentina,Buenos Aires,2020-05-02,2020-05-02,705,705,1,0.00283687943262411,0.00392606129685623,0.002955745035716,2.85162778757777e-05,0.00283687943262411,0.00392606129685623,0.002955745035716,2.85162778757777e-05,0.00144390778227635,0.000356289895883057,2,0,,,0.00305984220854994,,,0.00305984220854994
AR,ARG,Argentina,Buenos Aires,2020-05-03,2020-05-03,810,810,1,0.00246913580246914,0.00341775746790093,0.00302470921720287,2.97507282475188e-05,0,0,0,0,0.00151409239230259,0.000340145431287183,3,0,,,0.00305143928017523,,,0.00305143928017523
AR,ARG,Argentina,Buenos Aires,2020-05-04,2020-05-04,839,839,1,0.00595947556615018,0.00520802640259797,0.0057847391244191,4.09218313961637e-05,0.00238379022646007,0.00329976397321048,0.00168376894324591,2.21232167055126e-05,0.00235428822462567,0.00041726886082051,1,0,,,0.00304326535301696,,,0.00304326535301696
AR,ARG,Argentina,Buenos Aires,2020-05-05,2020-05-05,825,825,1,0.00484848484848485,0.00473989523245542,0.00176312401397735,2.24415355211617e-05,0.00242424242424242,0.00335569193110087,0.00090507723770384,1.6085721003128e-05,0.00258841646506474,0.000439332799759204,0,0,,,0.0030353130907101,,,0.0030353130907101
AR,ARG,Argentina,Buenos Aires,2020-05-06,2020-05-06,823,823,1,0.00243013365735115,0.00336383677830989,0.00240772819662698,2.67187134553082e-05,0.00243013365735115,0.00336383677830989,0.00240772819662698,2.67187134553082e-05,0.00147217007307755,0.000332931993390375,2,1,,,0.00302774164538693,,,0.00302774164538693
AR,ARG,Argentina,Buenos Aires,2020-05-07,2020-05-07,801,801,1,0.00124843945068664,0.00244536848223615,0.000704689951840012,1.49168984965345e-05,0.00124843945068664,0.00244536848223615,0.000704689951840012,1.49168984965345e-05,0.000866367761729687,0.000258837940601239,0,0,,,0.00302071061202958,,,0.00302071061202958
AR,ARG,Argentina,Buenos Aires,2020-05-08,2020-05-08,893,893,1,0.00447928331466965,0.00437977478371513,0.00489428351176346,3.88075747098922e-05,0.00335946248600224,0.00379512891969026,0.00451652335386395,3.72869180412541e-05,0.000953736577526583,0.00025664416521911,0,0,,,0.00301418137604282,,,0.00301418137604282
AR,ARG,Argentina,Buenos Aires,2020-05-09,2020-05-09,786,786,1,0.00381679389312977,0.00431077921667533,0.0062245352840618,4.4466841547764e-05,0.00254452926208651,0.00352198337112202,0.00587025462328245,4.31905450851078e-05,0.00108562332576329,0.000292114728040322,0,0,,,0.00300823760560074,,,0.00300823760560074
AR,ARG,Argentina,Buenos Aires,2020-05-10,2020-05-10,878,878,1,0.00113895216400911,0.00223103361496247,0.00151660318819699,2.13779878740835e-05,0.00113895216400911,0.00223103361496247,0.00151660318819699,2.13779878740835e-05,0.00255887666633818,0.000424848099518761,1,0,,,0.00300298595227821,,,0.00300298595227821
