"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","population_country","p_w_country_only","p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country"
"1","UA","UA05",1604270,0,0,280,0,0,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"2","UA","UA07",1042855,0,0,130,0,0,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"3","UA","UA09",2263676,0,0,275,0,0,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"4","UA","UA12",3258705,0.005,0.01,600,0.005,0.01,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"5","UA","UA14",4387702,0,0,575,0,0,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"6","UA","UA18",1249225,0.004,0.0025,250,0.004,0.0025,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"7","UA","UA21",1259497,0,0,201,0,0,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"8","UA","UA23",1755663,0,0,220,0,0,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"9","UA","UA26",1382721,0.0106007067137809,0.0113888888888889,283,0.0106007067137809,0.0113888888888889,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"10","UA","UA30",2900920,NA,NA,0,NA,NA,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"11","UA","UA32",1731673,0,0,190,0,0,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"12","UA","UA35",974724,0,0,100,0,0,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"13","UA","UA40",381685,NA,NA,0,NA,NA,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"14","UA","UA43",1963770,NA,NA,120,NA,NA,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"15","UA","UA46",2535476,0.0075,0.01,400,0.0075,0.01,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"16","UA","UA48",1159634,0.05,0.05,200,0.05,0.05,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"17","UA","UA51",2387282,0,0,250,0,0,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"18","UA","UA53",1440684,0,0,400,0,0,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"19","UA","UA56",1162049,0,0,200,0,0,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"20","UA","UA59",1115051,0,0,115,0,0,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"21","UA","UA61",1066523,0,0,300,0,0,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"22","UA","UA63",2720342,0,0,410,0,0,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"23","UA","UA65",1063803,0.06,0.06,250,0.06,0.06,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"24","UA","UA68",1296103,0,0,201,0,0,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"25","UA","UA71",1246166,0,0,170,0,0,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"26","UA","UA74",1047023,0,0,200,0,0,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
"27","UA","UA77",910001,NA,NA,0,NA,NA,45307223,0.0120481927710843,0.0150529100529101,4565,0.00451520741781106,0.00507325954744564,6200,0.00770964105809833,0.0093052246712213
