"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","population_country","p_w_country_only","p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country"
"1","UA","UA05",1604270,0.0160771704180064,0.00666666666666667,311,0.0160771704180064,0.00666666666666667,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"2","UA","UA07",1042855,0,0,150,0,0,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"3","UA","UA09",2263676,0,0,285,0,0,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"4","UA","UA12",3258705,0.00588235294117647,0.00476190476190476,340,0.00588235294117647,0.00476190476190476,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"5","UA","UA14",4387702,0,0,471,0,0,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"6","UA","UA18",1249225,0,0,306,0,0,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"7","UA","UA21",1259497,0,0,201,0,0,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"8","UA","UA23",1755663,0,0,381,0,0,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"9","UA","UA26",1382721,0,0,400,0,0,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"10","UA","UA30",2900920,NA,NA,0,NA,NA,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"11","UA","UA32",1731673,0,0,375,0,0,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"12","UA","UA35",974724,0,0,120,0,0,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"13","UA","UA40",381685,NA,NA,0,NA,NA,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"14","UA","UA43",1963770,NA,NA,120,NA,NA,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"15","UA","UA46",2535476,0,0,350,0,0,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"16","UA","UA48",1159634,0,0,150,0,0,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"17","UA","UA51",2387282,0.012448132780083,0.0333333333333333,241,0.012448132780083,0.0333333333333333,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"18","UA","UA53",1440684,0.0277777777777778,0.0208333333333333,180,0.0277777777777778,0.0208333333333333,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"19","UA","UA56",1162049,0,0,200,0,0,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"20","UA","UA59",1115051,0,0,140,0,0,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"21","UA","UA61",1066523,0,0,135,0,0,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"22","UA","UA63",2720342,0.0205882352941176,0.04,340,0.0205882352941176,0.04,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"23","UA","UA65",1063803,0,0,130,0,0,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"24","UA","UA68",1296103,0.0112994350282486,0.0166666666666667,177,0.0112994350282486,0.0166666666666667,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"25","UA","UA71",1246166,0,0,300,0,0,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"26","UA","UA74",1047023,0.1,0.06,120,0.1,0.06,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
"27","UA","UA77",910001,NA,NA,0,NA,NA,45307223,0.00901891772987242,0.00923456790123457,4546,0.00740856899627388,0.00840441254115931,5803,0.00811594607067131,0.0087690744666499
