ISO2,ISO_3,country,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
UG,UGA,Uganda,2020-05-17,2020-04-25,12,20,102,2401059.35559635,0,0,0,1,4328.06845073203,1,4328.06845073203,128,2956.9490022173,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2020-05-18,2020-04-29,6,18,101,2207417.52864751,0,0,0,1,4328.06845073203,1,4328.06845073203,127,2926.77605321508,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2020-05-19,2020-04-30,8,18,102,2321937.93567914,0,0,0,1,4328.06845073203,1,4328.06845073203,128,2956.9490022173,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2020-05-20,2020-05-07,11,14,103,2363048.69785183,0,0,0,2,10944.317271657,2,10944.317271657,149,3017.29490022173,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2020-05-21,2020-05-07,3,15,106,2389497.54380887,0,0,0,3,13602.198642748,3,13602.198642748,153,3107.81374722838,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2020-05-22,2020-05-08,7,15,104,2322686.92797514,0,0,0,4,32711.5110920393,3,13602.198642748,178,3077.64079822616,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2020-05-23,2020-05-11,14,13,102,2420704.26542065,0,0,0,4,32711.5110920393,3,13602.198642748,177,3047.46784922395,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2020-05-24,2020-05-11,6,14,108,2544965.75226823,0,0,0,4,32711.5110920393,3,13602.198642748,177,3228.50554323725,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2020-05-25,2020-05-13,11,13,103,2486301.86353909,0,0,0,3,28383.4426413073,2,9274.13019201595,74,3077.64079822616,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2020-05-26,2020-05-14,11,13,107,2321060.06988472,0,0,0,4,33657.8242264753,3,14548.511777184,74,3168.15964523282,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2020-05-27,2020-05-16,10,12,104,2153478.28760975,0,0,0,4,33657.8242264753,3,14548.511777184,56,3047.46784922395,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2020-05-28,2020-05-17,10,12,109,2294721.42823935,0,0,0,4,33657.8242264753,3,14548.511777184,57,3168.15964523282,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2020-05-29,2020-05-19,9,11,100,2150008.39888656,0,0,0,4,33657.8242264753,3,14548.511777184,57,2896.60310421286,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UG,UGA,Uganda,2020-05-30,2020-05-20,14,11,106,2010726.40319189,0,0,0,4,33657.8242264753,3,14548.511777184,72,3077.64079822616,0,0,,,,0,0,0,0.029512697323267,0.0208227389541243,0.0382026556924097,0.0102612626422742,0.0102265554647875,0.0102959698197609,0.0233356211393274,0.0155838548253272,0.0310873874533275,0.00495109037677847,0.00492691733783667,0.00497526341572026,0.0375861867961766,0.0357833793455217,0.0393889942468315,,,
UG,UGA,Uganda,2020-05-31,2020-05-22,9,10,101,2016745.58377891,0,0,0,2,24383.6940344593,1,5274.381585168,47,2926.77605321508,0,0,,,,0,0,0,0.0302197802197802,0.0214265242581999,0.0390130361813606,0.0110111593597494,0.0109750048127259,0.0110473139067729,0.0233516483516484,0.0155946216701051,0.0311086750331916,0.00504011511143409,0.00501558080878622,0.00506464941408195,0.0357168805654367,0.0339571481754399,0.0374766129554336,,,
UG,UGA,Uganda,2020-06-01,2020-05-23,13,10,107,2522625.79724189,0,0,0,1,5274.381585168,1,5274.381585168,25,3107.81374722838,0,0,,,,0,0,0,0.0300957592339261,0.0213380305658537,0.0388534879019985,0.0109330463705006,0.0108971949907828,0.0109688977502184,0.0232558139534884,0.0155302428437501,0.0309813850632267,0.00502023879770184,0.00499587237666203,0.00504460521874165,0.0331888828528929,0.0314939341913188,0.0348838315144669,,,
