ISO2,ISO_3,country,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,pos_RF_symp,pos_XGB,pos_XGB_symp,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_rf_symp,p_rf_symp_low,p_rf_symp_high,p_xgb,p_xgb_low,p_xgb_high,p_xgb_symp,p_xgb_symp_low,p_xgb_symp_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
PL,POL,Poland,2020-04-23,2020-04-23,201,1,201,24510173.3515471,0,0,0,0,0,0,0,12,5056.59938515931,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,POL,Poland,2020-04-24,2020-04-24,2078,1,2078,32623434.075635,0,0,7,10,82816.2709558062,6,50656.8598179836,241,51849.0116060365,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,POL,Poland,2020-04-25,2020-04-25,1508,1,1508,28693487.4973651,0,0,4,8,107062.276484726,7,88965.509973356,188,37610.0302528018,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,POL,Poland,2020-04-26,2020-04-26,1432,1,1432,29365483.9251191,0,0,6,6,112787.338271119,5,71190.1830246183,237,35622.6105939581,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,POL,Poland,2020-04-27,2020-04-27,1415,1,1415,29089430.1479078,0,0,7,4,104617.16853733,4,104617.16853733,136,35295.5668526294,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,POL,Poland,2020-04-28,2020-04-28,1343,1,1343,28684060.1642744,0,0,6,6,123774.080155879,4,59855.8815830855,182,33534.5620916286,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,POL,Poland,2020-04-29,2020-04-29,1244,1,1244,29875296.3317261,0,0,6,8,178303.663981101,7,164483.52629462,113,30943.3693718704,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,POL,Poland,2020-04-30,2020-04-30,1188,1,1188,28713434.720218,0,0,4,4,149857.219728514,3,135254.713760373,86,29433.936719584,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,POL,Poland,2020-05-01,2020-05-01,1061,1,1061,29197286.2709931,0,0,3,3,56411.3710100612,2,43198.7758753828,89,26339.599782397,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,POL,Poland,2020-05-02,2020-05-02,990,1,990,29217548.0666027,0,0,3,3,48985.7969093081,2,41418.4929926426,94,24628.9094431391,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,POL,Poland,2020-05-03,2020-05-03,3078,1,3078,29380915.9557862,0,0,18,14,88102.0268298643,12,68331.939572949,320,76578.5498926613,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,POL,Poland,2020-05-04,2020-05-04,3311,1,3311,29860746.8710202,0,0,10,11,49382.7902227833,7,26548.8063138791,390,82515.651658321,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,POL,Poland,2020-05-05,2020-05-05,3171,1,3171,29129607.147616,0,0,5,14,144273.843085496,11,84954.9869675051,534,79320.6858776482,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,POL,Poland,2020-05-06,2020-05-06,3138,1,3138,29430250.4015349,0,0,10,16,155426.023532098,14,145797.771679243,461,78113.1397558191,0,4,,,,,,,0.00353764210191589,0.00280397772851543,0.00427130647531635,,,,,,,,,,0.00425312027983147,0.00344896791367111,0.00505727264599182,0.00343771218921518,0.0034320311626297,0.00344339321580065,0.00333889816360601,0.00262606913757948,0.00405172718963254,0.00266147961492356,0.00265647900810113,0.00266648022174599,0.00491830302025603,0.00474511973249858,0.00509148630801348,0.153846153846154,0.0661340756973148,0.241558231994993
PL,POL,Poland,2020-05-07,2020-05-07,2918,1,2918,28940373.2129661,0,0,7,7,83296.3064059963,5,44404.3546402845,339,72402.4528880024,1,8,,,,,,,0.00344394618834081,0.00275621345212166,0.00413167892455995,,,,,,,,,,0.00408968609865471,0.00334048957133833,0.00483888262597109,0.00360284156967686,0.00359705751744319,0.00360862562191053,0.00319282511210762,0.00253055707400781,0.00385509315020743,0.00274059984982865,0.00273555300133143,0.00274564669832586,0.00491221343902277,0.00474774641715414,0.0050766804608914,0.150684931506849,0.0686203067206043,0.232749556293094
PL,POL,Poland,2020-05-08,2020-05-08,2763,1,2763,29078555.8181866,0,0,12,12,99939.161638668,10,86830.8202532109,305,68754.6573116437,1,14,,,,,,,0.00353641456582633,0.00284795047817134,0.00422487865348132,,,,,,,,,,0.00406162464985994,0.00332400051892885,0.00479924878079104,0.00367599476103697,0.00367012721322775,0.00368186230884618,0.0032563025210084,0.0025955739127499,0.00391703112926691,0.00285289233970855,0.00284772114123789,0.00285806353817922,0.00488543196222433,0.00472337313361016,0.00504749079083849,0.120481927710843,0.0504505963907754,0.190513259030911
PL,POL,Poland,2020-05-09,2020-05-09,2728,1,2728,28468664.587985,0,0,5,6,106235.285976039,5,103834.749606669,219,67647.7400333004,2,16,,,,,,,0.00342511752854265,0.00276156019694608,0.00408867486013922,,,,,,,,,,0.0038280725319006,0.00312670933558195,0.00452943572821925,0.00367599343236511,0.00367012427092675,0.00368186259380347,0.00305574210879785,0.00242886915623306,0.00368261506136264,0.00289086842469542,0.00288566158863134,0.0028960752607595,0.00472925563182806,0.0045730605018929,0.00488545076176321,0.105263157894737,0.0435507991805637,0.16697551660891
PL,POL,Poland,2020-05-10,2020-05-10,3152,1,3152,28729299.9038262,0,0,5,12,80444.372405285,9,65290.7966015831,535,78238.9258101763,0,8,,,,,,,0.00320634920634921,0.00258203839521299,0.00383066001748542,,,,,,,,,,0.00380952380952381,0.00312922556077285,0.00448982205827477,0.00360241645611481,0.00359660158377791,0.00360823132845171,0.00301587301587302,0.00241033214394965,0.00362141388779638,0.00288091181059287,0.00287570986998061,0.00288611375120512,0.0048523265453522,0.00469848320038391,0.0050061698903205,0.0980392156862745,0.040330455099478,0.155747976273071
PL,POL,Poland,2020-05-11,2020-05-11,3066,1,3066,29459424.6477293,0,0,6,12,87736.3850149652,11,48049.86506018,320,76025.0912534897,0,11,,,,,,,0.00301650025640252,0.00242616945613728,0.00360683105666777,,,,,,,,,,0.00386112032819523,0.00319352023602936,0.0045287204203611,0.00355779323489903,0.00355201697968773,0.00356356949011034,0.00307683026153057,0.00248064341748515,0.00367301710557599,0.00273971116999346,0.00273464025165882,0.0027447820883281,0.00483579127761994,0.00468605056526813,0.00498553198997174,0.091743119266055,0.037552271973656,0.145933966558454
PL,POL,Poland,2020-05-12,2020-05-12,3011,1,3011,29162910.1427752,0,0,9,5,25917.4440758871,3,16418.9324028285,203,74943.3311860178,0,8,,,,,,,0.00295815503029955,0.00238771879875221,0.00352859126184689,,,,,,,,,,0.0036474338723111,0.00301423493212645,0.00428063281249574,0.00331415767736429,0.00330858529269286,0.00331973006203572,0.00290071512679859,0.00233582798889833,0.00346560226469885,0.00263020552346081,0.00262523961957958,0.00263517142734204,0.00462878463249615,0.00448581501746504,0.00477175424752726,0.0782608695652174,0.0291728492302369,0.127348889900198
PL,POL,Poland,2020-05-13,2020-05-13,2950,1,2950,28588878.2094754,0,0,4,15,107502.129436128,12,76955.4432774474,375,73308.1124793742,0,7,,,,,,,0.00276522929500342,0.00222669017090761,0.00330376841909923,,,,,,,,,,0.00366872005475702,0.00304869084713141,0.00428874926238262,0.0031508169327531,0.00314537458441208,0.00315625928109413,0.00290212183436003,0.00235045141826727,0.00345379225045279,0.00242364382476358,0.00241886888943732,0.00242841876008984,0.00470134468892402,0.00456066449583475,0.00484202488201329,0.0695652173913044,0.0230667955859724,0.116063639196636
PL,POL,Poland,2020-05-14,2020-05-14,3281,1,3281,29697361.8469403,0,0,12,18,113268.331491453,14,91628.3235674496,263,81534.5204343349,2,12,,,,,,,0.00282251799678906,0.00229339359170076,0.00335164240187736,,,,,,,,,,0.00383240975710808,0.00321616196747097,0.0044486575467452,0.00305362124951685,0.00304826969882009,0.00305897280021361,0.00302967528095707,0.00248153419048183,0.0035778163714323,0.00231096597376565,0.00230630871322587,0.00231562323430542,0.00463059683057257,0.00449481438081506,0.00476637928033007,0.0806451612903226,0.0327195138107603,0.128570808769885
