ISO2,ISO_3,country,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,pos_RF_symp,pos_XGB,pos_XGB_symp,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_rf_symp,p_rf_symp_low,p_rf_symp_high,p_xgb,p_xgb_low,p_xgb_high,p_xgb_symp,p_xgb_symp_low,p_xgb_symp_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
AR,ARG,Argentina,2020-04-23,2020-04-23,2425,1,2425,30838430.6243426,0,0,9,7,12,9,9,85622.8908796072,3,28723.6528813642,327,76693.415849798,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,ARG,Argentina,2020-04-24,2020-04-24,2442,1,2442,30915250.9569068,0,0,4,3,12,8,7,100803.042405072,3,28772.9662641674,230,76756.9563765998,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,ARG,Argentina,2020-04-25,2020-04-25,2681,1,2681,30793468.49417,0,0,5,5,12,10,7,87161.5791361835,5,69896.8350431096,259,84254.7385392147,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,ARG,Argentina,2020-04-26,2020-04-26,2856,1,2856,31080085.3296807,0,0,10,9,14,17,9,68404.9949787365,6,45945.6750739219,322,89719.2238441713,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,ARG,Argentina,2020-04-27,2020-04-27,2645,1,2645,30952397.636368,0,0,8,5,13,10,5,59944.6222618905,2,19277.9940710177,251,83079.238793381,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,ARG,Argentina,2020-04-28,2020-04-28,2980,1,2980,30752514.9413849,0,0,8,7,12,10,12,116765.587095442,8,65094.0052802694,302,93563.4257156815,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,ARG,Argentina,2020-04-29,2020-04-29,2600,1,2600,30771084.558499,0,0,10,10,18,19,7,47481.3490978966,4,23313.3981890916,395,81808.4282573446,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,ARG,Argentina,2020-04-30,2020-04-30,2578,1,2578,31414614.0026028,0,0,2,2,6,6,6,85010.2094595679,3,32136.9117509727,484,81236.5635161282,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,ARG,Argentina,2020-05-01,2020-05-01,2537,1,2537,35665985.55442,0,0,10,6,14,13,15,181877.640595728,5,71418.2139478804,466,80346.9961409027,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,ARG,Argentina,2020-05-02,2020-05-02,2306,1,2306,36591454.3466587,0,0,5,3,7,7,9,136077.45637458,6,84980.5692525679,329,72499.7410808778,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
