ISO2,ISO_3,country,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
BA,BIH,Bosnia and Herzegovina,2020-04-24,2020-04-23,94,2,184,5284657.40006702,0,0,0,0,0,0,0,48,5710.56299621031,0,1,,,,,,,,,,,,,,,,,,,,,,,,
BA,BIH,Bosnia and Herzegovina,2020-04-25,2020-04-25,100,1,100,2450010.81137532,0,0,0,0,0,0,0,2,3176.09964395966,0,0,,,,,,,,,,,,,,,,,,,,,,,,
BA,BIH,Bosnia and Herzegovina,2020-04-26,2020-04-25,91,2,191,4963164.81742661,0,0,0,0,0,0,0,34,6063.46295665027,0,0,,,,,,,,,,,,,,,,,,,,,,,,
BA,BIH,Bosnia and Herzegovina,2020-04-27,2020-04-26,86,2,177,4862841.89584191,0,0,1,0,0,0,0,43,5550.15392328305,1,2,,,,,,,,,,,,,,,,,,,,,,,,
BA,BIH,Bosnia and Herzegovina,2020-04-28,2020-04-27,82,2,168,5056169.36016561,0,0,2,1,241849.0037,1,241849.0037,37,5293.49940659944,2,3,,,,,,,,,,,,,,,,,,,,,,,,
BA,BIH,Bosnia and Herzegovina,2020-04-29,2020-04-28,92,2,174,5293105.8561962,0,0,1,1,241849.0037,1,241849.0037,32,5485.99029411215,1,2,,,,,,,,,,,,,,,,,,,,,,,,
BA,BIH,Bosnia and Herzegovina,2020-04-30,2020-04-30,102,1,102,2524670.66147137,0,0,0,1,32155.1900625281,1,32155.1900625281,18,3240.26327313057,0,0,,,,,,,,,,,,,,,,,,,,,,,,
BA,BIH,Bosnia and Herzegovina,2020-05-01,2020-04-30,79,2,181,5232664.51125616,0,0,0,1,32155.1900625281,1,32155.1900625281,31,5742.64481079576,0,0,,,,,,,,,,,,,,,,,,,,,,,,
BA,BIH,Bosnia and Herzegovina,2020-05-02,2020-05-01,62,2,141,5355883.52265407,0,0,0,0,0,0,0,21,4491.45404196316,0,0,,,,,,,,,,,,,,,,,,,,,,,,
BA,BIH,Bosnia and Herzegovina,2020-05-03,2020-05-03,201,1,201,2622734.27995078,0,0,0,0,0,0,0,43,6320.11747333388,0,0,,,,,,,,,,,,,,,,,,,,,,,,
BA,BIH,Bosnia and Herzegovina,2020-05-04,2020-05-04,194,1,194,2660887.58003305,0,0,0,0,0,0,0,33,6031.38114206482,0,1,,,,,,,,,,,,,,,,,,,,,,,,
BA,BIH,Bosnia and Herzegovina,2020-05-05,2020-05-05,164,1,164,2678386.97246514,0,0,0,2,26027.5042278691,2,26027.5042278691,30,5165.17214825764,0,1,,,,,,,,,,,,,,,,,,,,,,,,
BA,BIH,Bosnia and Herzegovina,2020-05-06,2020-05-06,221,1,221,2635841.90728507,0,0,0,1,7637.64075061281,0,0,61,6961.7537650429,0,0,,,,,,,,,,,,,,,,,,,,,,,,
BA,BIH,Bosnia and Herzegovina,2020-05-07,2020-05-07,230,1,230,2656468.63311722,0,0,0,1,6327.27039124521,1,6327.27039124521,29,7218.40828172651,0,0,,,,0.00164744645799012,3.43090187871788e-05,0.00326058389719305,0.00329489291598023,0.00101545512657078,0.00557433070538968,0.0108332353300383,0.0108056960826832,0.0108607745773933,0.0028830313014827,0.000750371995298288,0.00501569060766712,0.0106925206248706,0.010665158872084,0.0107198823776572,0.00604308925457694,0.00549371299171896,0.00659246551743493,0.4,0.0963636851484017,0.703636314851598
BA,BIH,Bosnia and Herzegovina,2020-05-08,2020-05-08,183,1,183,2548072.7734417,0,0,0,3,26077.9702349139,3,26077.9702349139,32,5806.80843996666,0,2,,,,0.00164812525751957,3.43237038052666e-05,0.00326192681123388,0.00453234445817882,0.00186002586067886,0.00720466305567879,0.0119143967304456,0.0118847753433619,0.0119440181175294,0.00412031314379893,0.00157183008035504,0.00666879620724281,0.0117662107224459,0.011736771913336,0.0117956495315559,0.00582646973450009,0.00528731024368956,0.00636562922531063,0.363636363636364,0.0793617493403284,0.647910977932399
BA,BIH,Bosnia and Herzegovina,2020-05-09,2020-05-09,195,1,195,2760187.51883381,0,0,0,1,24205.9693022949,0,0,80,6159.70840040662,0,0,,,,0.00158604282315623,3.29824945668542e-05,0.0031391031517456,0.00475812846946868,0.00207242567265127,0.00744383126628608,0.012309960349146,0.0122799474567922,0.0123399732414998,0.00396510705789056,0.00151243047185861,0.00641778364392251,0.0116958244454247,0.0116665606991942,0.0117250881916553,0.00658864086681038,0.00602637354450953,0.00715090818911123,0.363636363636364,0.0793617493403284,0.647910977932399
