"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","population_country","p_w_country_only","p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country"
"1","PT","PT01",714200,0.0133333333333333,0.0133333333333333,75,0.0133333333333333,0.0133333333333333,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"2","PT","PT02",152758,0,0,50,0,0,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"3","PT","PT03",848185,0,0,270,0,0,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"4","PT","PT04",136252,NA,NA,0,NA,NA,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"5","PT","PT05",196264,NA,NA,0,NA,NA,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"6","PT","PT06",430104,0,0,80,0,0,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"7","PT","PT07",166706,0.02,0.02,100,0.02,0.02,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"8","PT","PT08",451006,0,0,50,0,0,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"9","PT","PT09",160939,NA,NA,0,NA,NA,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"10","PT","PT10",470930,0,0,215,0,0,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"11","PT","PT11",2250533,0,0,300,0,0,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"12","PT","PT12",118506,NA,NA,0,NA,NA,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"13","PT","PT13",1817117,0.005,0.0125,200,0.005,0.0125,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"14","PT","PT14",453638,NA,NA,40,NA,NA,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"15","PT","PT15",851258,0.0166666666666667,0.01,120,0.0166666666666667,0.01,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"16","PT","PT16",244836,0,0,30,0,0,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"17","PT","PT17",206661,NA,NA,17,NA,NA,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"18","PT","PT18",377653,0,0,120,0,0,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"19","PT","PT20",245766,0,0,100,0,0,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
"20","PT","PT30",267785,0,0,100,0,0,10561097,0.00350877192982456,0.00583333333333333,1140,0.00388961556758935,0.00474583945941421,1810,0.00374244209401245,0.0051660913293355
