"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","population_country","p_w_country_only","p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country"
"1","PT","PT01",714200,0,0,200,0,0,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"2","PT","PT02",152758,0,0,100,0,0,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"3","PT","PT03",848185,0,0,170,0,0,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"4","PT","PT04",136252,NA,NA,0,NA,NA,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"5","PT","PT05",196264,NA,NA,0,NA,NA,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"6","PT","PT06",430104,0,0,80,0,0,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"7","PT","PT07",166706,0.02,0.02,100,0.02,0.02,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"8","PT","PT08",451006,0.01,0.01,200,0.01,0.01,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"9","PT","PT09",160939,NA,NA,0,NA,NA,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"10","PT","PT10",470930,0,0,215,0,0,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"11","PT","PT11",2250533,0.00425531914893617,0.0111111111111111,235,0.00425531914893617,0.0111111111111111,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"12","PT","PT12",118506,NA,NA,0,NA,NA,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"13","PT","PT13",1817117,0.01,0.01,200,0.01,0.01,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"14","PT","PT14",453638,NA,NA,40,NA,NA,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"15","PT","PT15",851258,0.0116279069767442,0.00333333333333333,172,0.0116279069767442,0.00333333333333333,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"16","PT","PT16",244836,0,0,100,0,0,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"17","PT","PT17",206661,NA,NA,17,NA,NA,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"18","PT","PT18",377653,0,0,120,0,0,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"19","PT","PT20",245766,0,0,100,0,0,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
"20","PT","PT30",267785,0,0,100,0,0,10561097,0.00349344978165939,0.00538461538461539,1145,0.00489732299182579,0.00579822844225697,2092,0.00440074133422909,0.00565192416329509
