"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","population_country","p_w_country_only","p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country"
"1","PT","PT01",714200,0,0,100,0,0,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"2","PT","PT02",152758,0,0,100,0,0,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"3","PT","PT03",848185,0.01,0.01,100,0.01,0.01,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"4","PT","PT04",136252,0,0,30,0,0,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"5","PT","PT05",196264,0,0,100,0,0,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"6","PT","PT06",430104,0,0,100,0,0,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"7","PT","PT07",166706,0,0,100,0,0,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"8","PT","PT08",451006,0.01,0.01,100,0.01,0.01,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"9","PT","PT09",160939,0,0,100,0,0,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"10","PT","PT10",470930,0,0,70,0,0,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"11","PT","PT11",2250533,0.004,0.00333333333333333,250,0.004,0.00333333333333333,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"12","PT","PT12",118506,0,0,100,0,0,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"13","PT","PT13",1817117,0.02,0.02,200,0.02,0.02,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"14","PT","PT14",453638,0.005,0.005,200,0.005,0.005,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"15","PT","PT15",851258,0,0,120,0,0,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"16","PT","PT16",244836,0,0,50,0,0,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"17","PT","PT17",206661,0.03,0.03,100,0.03,0.03,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"18","PT","PT18",377653,0,0,105,0,0,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"19","PT","PT20",245766,0,0,100,0,0,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
"20","PT","PT30",267785,0,0,110,0,0,10561097,0.00371057513914657,0.00923076923076923,1078,0.0063255173207859,0.00618345297526068,2235,0.00547465475760836,0.00717500351055746
