"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2020/03/15","ESCT",7675217,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/16","ESCT",7675217,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/17","ESCT",7675217,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/18","ESCT",7675217,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/19","ESCT",7675217,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/20","ESCT",7675217,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/21","ESCT",7675217,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/22","ESCT",7675217,10,1010,10,1010,0.0108910891089109,0.00640096005552719,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/23","ESCT",7675217,12,1110,12,1110,0.0162162162162162,0.00743038290549747,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/24","ESCT",7675217,19,1730,19,1730,0.0236994219653179,0.00716779687370546,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/25","ESCT",7675217,32,2810,32,2810,0.0277580071174377,0.00607402059329998,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/26","ESCT",7675217,40,3690,40,3690,0.029810298102981,0.00548714450636036,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/27","ESCT",7675217,43,4090,43,4090,0.0396088019559902,0.00597731819870914,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/28","ESCT",7675217,46,4310,46,4310,0.0394431554524362,0.00581107950092909,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/29","ESCT",7675217,50,4670,42,3860,0.0379014989293362,0.00547680921666728,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/30","ESCT",7675217,50,4495,43,3915,0.039377085650723,0.00568566803291066,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/31","ESCT",7675217,50,4350,39,3330,0.0409195402298851,0.00588703145937154,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/01","ESCT",7675217,50,3910,32,2480,0.0457800511508951,0.00655121865724845,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/02","ESCT",7675217,50,3872,32,2162,0.047004132231405,0.00666643954651,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/03","ESCT",7675217,50,3872,30,1862,0.047004132231405,0.00666643954651,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/04","ESCT",7675217,50,3772,31,1892,0.0461293743372216,0.00669415507007612,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/05","ESCT",7675217,50,3749,28,1539,0.0453454254467858,0.00666009218218445,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/06","ESCT",7675217,50,3724,27,1509,0.0445757250268528,0.00662812359978147,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/07","ESCT",7675217,50,3309,32,1939,0.0429132668479903,0.00690511862993646,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/08","ESCT",7675217,50,3184,28,1784,0.0317211055276382,0.00608745763315421,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/09","ESCT",7675217,50,3406,41,2764,0.037874339401057,0.00641082912676718,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/10","ESCT",7675217,50,3365,44,2865,0.0323922734026746,0.00598171800422503,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/11","ESCT",7675217,50,3235,43,2735,0.037403400309119,0.00653865845625261,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/12","ESCT",7675217,50,3138,43,2681,0.0391969407265774,0.00678992373228194,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/13","ESCT",7675217,50,3088,43,2706,0.0385362694300518,0.00678907697902147,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/14","ESCT",7675217,50,3158,36,2341,0.0398986700443319,0.00682621202547436,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/15","ESCT",7675217,50,3168,36,2396,0.040719696969697,0.00688225146381417,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/16","ESCT",7675217,50,3151,17,944,0.0403046651856553,0.00686701885973067,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/17","ESCT",7675217,50,3226,14,843,0.0412275263484191,0.00686068258686872,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/18","ESCT",7675217,50,3146,13,843,0.0432294977749523,0.0071066138110561,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/19","ESCT",7675217,50,3086,11,730,0.0440699935191186,0.00724160230655344,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/20","ESCT",7675217,50,3086,9,580,0.0440699935191186,0.00724160230655344,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/21","ESCT",7675217,50,3086,8,480,0.0440699935191186,0.00724160230655344,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/22","ESCT",7675217,50,3086,6,350,0.0440699935191186,0.00724160230655344,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/23","ESCT",7675217,50,3086,4,260,0.0440699935191186,0.00724160230655344,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/24","ESCT",7675217,50,3086,3,160,0.0440699935191186,0.00724160230655344,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/25","ESCT",7675217,50,3086,1,40,0.0440699935191186,0.00724160230655344,NA,NA,NA,NA,NA,NA,NA,NA
