"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_active","p_infected","p_infected_low","p_infected_high","p_daily","p_active"
"2020-03-22","TL",1317780,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-23","TL",1317780,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-24","TL",1317780,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-25","TL",1317780,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-26","TL",1317780,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-27","TL",1317780,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-28","TL",1317780,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-29","TL",1317780,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-30","TL",1317780,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-31","TL",1317780,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-01","TL",1317780,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-02","TL",1317780,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-03","TL",1317780,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-04","TL",1317780,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-05","TL",1317780,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-06","TL",1317780,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-07","TL",1317780,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-08","TL",1317780,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-09","TL",1317780,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-10","TL",1317780,1,0,2,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-11","TL",1317780,0,0,2,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-12","TL",1317780,0,0,2,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-13","TL",1317780,2,0,4,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-14","TL",1317780,2,0,6,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-15","TL",1317780,2,0,8,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-16","TL",1317780,10,0,18,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-17","TL",1317780,0,0,18,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-18","TL",1317780,0,0,18,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-19","TL",1317780,1,0,19,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-20","TL",1317780,3,0,22,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-21","TL",1317780,1,0,23,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-22","TL",1317780,0,0,23,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-23","TL",1317780,0,0,23,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-24","TL",1317780,1,0,24,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-25","TL",1317780,0,0,24,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-26","TL",1317780,0,0,24,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-27","TL",1317780,0,0,24,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-28","TL",1317780,0,0,24,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-29","TL",1317780,0,0,24,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-30","TL",1317780,0,0,24,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-01","TL",1317780,0,0,24,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0
