"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_infected","p_infected_low","p_infected_high","p_daily","p_active"
"2020-01-03","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-04","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-05","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-06","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-07","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-08","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-09","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-10","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-11","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-12","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-13","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-14","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-15","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-16","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-17","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-18","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-19","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-20","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-21","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-22","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-23","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-24","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-25","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-26","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-27","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-28","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-29","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-30","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-31","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-01","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-02","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-03","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-04","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-05","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-06","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-07","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-08","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-09","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-10","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-11","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-12","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-13","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-14","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-15","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-16","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-17","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-18","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-19","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-20","GF",268700,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
