"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_infected","p_infected_low","p_infected_high","p_daily","p_active"
"2020-01-03","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-04","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-05","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-06","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-07","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-08","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-09","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-10","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-11","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-12","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-13","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-14","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-15","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-16","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-17","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-18","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-19","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-20","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-21","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-22","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-23","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-24","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-25","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-26","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-27","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-28","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-29","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-30","AE",9770526,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-31","AE",9770526,4,0,4,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-01","AE",9770526,0,0,4,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-02-02","AE",9770526,0,0,4,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-02-03","AE",9770526,1,0,5,0,0,0,NA,0,0,0,0,NA,0,0
"2020-02-04","AE",9770526,0,0,5,0,0,0,NA,0,0,0,0,NA,0,0
"2020-02-05","AE",9770526,0,0,5,0,0,0,NA,0,0,0,0,NA,0,0
"2020-02-06","AE",9770526,0,0,5,0,0,0,NA,0,0,0,0,NA,0,0
"2020-02-07","AE",9770526,0,0,5,0,0,0,NA,0,0,0,0,NA,0,0
"2020-02-08","AE",9770526,0,0,5,0,0,0,NA,0,0,0,0,NA,0,0
"2020-02-09","AE",9770526,0,0,5,0,0,0,NA,0,0,0,0,NA,0,0
"2020-02-10","AE",9770526,2,0,7,0,0,0,NA,0,0,0,0,NA,0,0
"2020-02-11","AE",9770526,0,0,7,0,0,0,NA,0,0,0,0,NA,0,0
"2020-02-12","AE",9770526,0,0,7,0,0,0,NA,0,0,0,0,NA,0,0
