"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_infected","p_infected_low","p_infected_high","p_daily","p_active"
"2020-01-03","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-04","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-05","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-06","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-07","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-08","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-09","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-10","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-11","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-12","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-13","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-14","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-15","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-16","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-17","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-18","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-19","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-20","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-21","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-22","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-23","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-24","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-25","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-26","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-27","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-28","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-29","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-30","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-31","PT",10276617,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
