"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_infected","p_infected_low","p_infected_high","p_daily","p_active"
"2020-10-16","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-10-17","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-10-18","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-10-19","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-10-20","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-10-21","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-10-22","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-10-23","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-10-24","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-10-25","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-10-26","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-10-27","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-10-28","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-10-29","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-10-30","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-10-31","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-11-01","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-11-02","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-11-03","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-11-04","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-11-05","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-11-06","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-11-07","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-11-08","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-11-09","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-11-10","VU",301295,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-11-11","VU",301295,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-11-12","VU",301295,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-11-13","VU",301295,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-11-14","VU",301295,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-11-15","VU",301295,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-11-16","VU",301295,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-11-17","VU",301295,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-11-18","VU",301295,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-11-19","VU",301295,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-11-20","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-11-21","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-11-22","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-11-23","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-11-24","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-11-25","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-11-26","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-11-27","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-11-28","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-11-29","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-11-30","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-01","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-02","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-03","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-04","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-05","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-06","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-07","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-08","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-09","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-10","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-11","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-12","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-13","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-14","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-15","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-16","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-17","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-18","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-19","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-20","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-21","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-22","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-23","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-24","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-25","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-26","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-27","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-28","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-29","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-30","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-12-31","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-01","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-02","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-03","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-04","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-05","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-06","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-07","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-08","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-09","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-10","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-11","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-12","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-13","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-14","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-15","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-16","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-17","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-18","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-19","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-20","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-21","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-22","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-23","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-24","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-25","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-26","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-27","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-28","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-29","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-30","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-01-31","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-01","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-02","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-03","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-04","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-05","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-06","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-07","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-08","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-09","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-10","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-11","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-12","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-13","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-14","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-15","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-16","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-17","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-18","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-19","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-20","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-21","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-22","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-23","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-24","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-25","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-26","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-27","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-02-28","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-01","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-02","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-03","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-04","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-05","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-06","VU",301295,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-07","VU",301295,2,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-08","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-09","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-10","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-11","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-12","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-13","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-14","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-15","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-16","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-17","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-18","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-19","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-20","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-21","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-22","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-23","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-24","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-25","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-26","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-27","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-28","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-29","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-30","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-03-31","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-01","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-02","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-03","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-04","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-05","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-06","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-07","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-08","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-09","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-10","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-11","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-12","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-13","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-14","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-15","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-16","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-17","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-18","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-19","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-20","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-21","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-22","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-23","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-24","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-25","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-26","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-27","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-28","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-29","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-04-30","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-01","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-02","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-03","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-04","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-05","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-06","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-07","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-08","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-09","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-10","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-11","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-12","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-13","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-14","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-15","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-16","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-17","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-18","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-19","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-20","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-21","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-22","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-23","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-24","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-25","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-26","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-27","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-28","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-29","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-30","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-05-31","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-01","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-02","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-03","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-04","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-05","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-06","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-07","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-08","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-09","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-10","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-11","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-12","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-13","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-14","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-15","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-16","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-17","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-18","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-19","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-20","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-21","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-22","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-23","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-24","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-25","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-26","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-27","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-28","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-29","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-06-30","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-01","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-02","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-03","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-04","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-05","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-06","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-07","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-08","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-09","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-10","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-11","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-12","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-13","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-14","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-15","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-16","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-17","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-18","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-19","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-20","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-21","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-22","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-23","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-24","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-25","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-26","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-27","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-28","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-29","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-30","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-07-31","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-01","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-02","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-03","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-04","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-05","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-06","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-07","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-08","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-09","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-10","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-11","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-12","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-13","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-14","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-15","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-16","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-17","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-18","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-19","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-20","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-21","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-22","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-23","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2021-08-24","VU",301295,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
