"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_infected","p_infected_low","p_infected_high","p_daily","p_active"
"2020-01-03","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-04","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-05","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-06","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-07","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-08","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-09","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-10","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-11","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-12","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-13","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-14","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-15","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-16","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-17","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-18","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-19","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-20","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-21","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-22","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-23","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-24","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-25","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-26","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-27","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-28","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-29","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-30","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-31","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-01","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-02","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-03","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-04","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-05","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-06","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-07","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-08","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-09","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-10","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-11","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-12","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-13","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-14","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-15","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-16","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-17","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-18","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-19","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-20","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-21","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-22","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-23","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-24","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-25","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-26","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-27","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-28","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-29","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-01","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-02","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-03","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-04","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-05","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-06","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-07","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-08","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-09","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-10","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-11","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-12","VC",110696,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-13","VC",110696,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-14","VC",110696,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-15","VC",110696,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-16","VC",110696,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-17","VC",110696,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-18","VC",110696,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-19","VC",110696,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-20","VC",110696,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-21","VC",110696,0,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-22","VC",110696,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-23","VC",110696,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-24","VC",110696,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-25","VC",110696,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-26","VC",110696,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-27","VC",110696,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-28","VC",110696,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-29","VC",110696,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-30","VC",110696,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-31","VC",110696,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-01","VC",110696,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-02","VC",110696,0,0,1,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-03","VC",110696,1,0,2,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-04","VC",110696,1,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-05","VC",110696,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-06","VC",110696,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-07","VC",110696,4,0,7,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-08","VC",110696,0,0,7,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-09","VC",110696,1,0,8,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-10","VC",110696,0,0,8,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-11","VC",110696,4,0,12,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-12","VC",110696,0,0,12,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-13","VC",110696,0,0,12,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-14","VC",110696,0,0,12,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-15","VC",110696,0,0,12,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-16","VC",110696,0,0,12,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-17","VC",110696,0,0,12,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-18","VC",110696,0,0,12,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-19","VC",110696,0,0,12,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-20","VC",110696,0,0,12,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-21","VC",110696,0,0,12,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-22","VC",110696,0,0,12,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-23","VC",110696,1,0,13,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-24","VC",110696,0,0,13,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-25","VC",110696,1,0,14,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-26","VC",110696,0,0,14,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-27","VC",110696,0,0,14,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-28","VC",110696,1,0,15,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-29","VC",110696,0,0,15,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-30","VC",110696,1,0,16,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-01","VC",110696,0,0,16,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-02","VC",110696,0,0,16,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-03","VC",110696,0,0,16,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-04","VC",110696,0,0,16,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-05","VC",110696,1,0,17,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-06","VC",110696,0,0,17,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-07","VC",110696,0,0,17,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-08","VC",110696,0,0,17,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-09","VC",110696,0,0,17,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-10","VC",110696,0,0,17,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-11","VC",110696,0,0,17,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-12","VC",110696,0,0,17,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-13","VC",110696,0,0,17,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-14","VC",110696,0,0,17,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-15","VC",110696,0,0,17,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-16","VC",110696,0,0,17,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-17","VC",110696,0,0,17,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-18","VC",110696,0,0,17,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-19","VC",110696,0,0,17,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-20","VC",110696,0,0,17,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-21","VC",110696,1,0,18,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-22","VC",110696,0,0,18,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-23","VC",110696,0,0,18,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-24","VC",110696,0,0,18,0,0,0,NA,0,0,0,0,NA,0,0
"2020-05-25","VC",110696,0,0,18,0,0,0,NA,0,0,0,0,NA,0,0
