"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_infected","p_infected_low","p_infected_high","p_daily","p_active"
"2020-01-03","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-04","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-05","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-06","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-07","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-08","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-09","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-10","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-11","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-12","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-13","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-14","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-15","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-16","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-17","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-18","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-19","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-20","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-21","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-22","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-23","SY",18276000,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
