"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_infected","p_infected_low","p_infected_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_recent","p_recent_low","p_recent_high","p_daily","p_daily_low","p_daily_high","p_active","p_active_low","p_active_high"
"2022/07/01","ITPZ",364960,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/02","ITPZ",364960,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/03","ITPZ",364960,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/04","ITPZ",364960,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/05","ITPZ",364960,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/06","ITPZ",364960,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","ITPZ",364960,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/08","ITPZ",364960,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/09","ITPZ",364960,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/10","ITPZ",364960,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/11","ITPZ",364960,1,12,1,12,0.666666666666667,0.399949351313594,0.933383982019739,0,0,0,0,0,0,0,0,0,0,0,0
"2022/07/12","ITPZ",364960,1,12,1,12,0.666666666666667,0.399949351313594,0.933383982019739,0,0,0,0,0,0,0,0,0,0,0,0
"2022/07/13","ITPZ",364960,1,12,1,12,0.666666666666667,0.399949351313594,0.933383982019739,0,0,0,0,0,0,0,0,0,0,0,0
"2022/07/14","ITPZ",364960,1,12,1,12,0.666666666666667,0.399949351313594,0.933383982019739,0,0,0,0,0,0,0,0,0,0,0,0
"2022/07/15","ITPZ",364960,2,22,2,22,0.727272727272727,0.541171307534733,0.913374147010721,0,0,0,0,0,0,0,0,0,0,0,0
"2022/07/16","ITPZ",364960,2,22,2,22,0.727272727272727,0.541171307534733,0.913374147010721,0,0,0,0,0,0,0,0,0,0,0,0
